Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Brison,Megan Brown-Hodges,Will Cooper,Hugh Curry,David Morse,Edd Twohig,Clifford James Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12007,"Kings--Hants/Kings--Hants"," 1","Maitland",168,2,10,27,46,0,0,1,254,448
12007,"Kings--Hants/Kings--Hants"," 2","Noel",98,0,1,6,26,0,0,0,131,263
12007,"Kings--Hants/Kings--Hants"," 3","East Noel",60,0,0,4,22,0,1,1,88,387
12007,"Kings--Hants/Kings--Hants"," 4","Noel Road",87,0,2,4,28,0,0,1,122,347
12007,"Kings--Hants/Kings--Hants"," 5","Minasville",78,0,3,6,16,1,0,1,105,217
12007,"Kings--Hants/Kings--Hants"," 6","East Walton",70,1,3,4,13,0,0,0,91,161
12007,"Kings--Hants/Kings--Hants"," 7","Latties Brook",93,0,3,16,34,0,0,1,147,367
12007,"Kings--Hants/Kings--Hants"," 8","Kennetcook",93,0,3,11,32,1,0,3,143,294
12007,"Kings--Hants/Kings--Hants"," 9","Shubenacadie",136,0,19,19,50,0,0,4,228,443
12007,"Kings--Hants/Kings--Hants"," 10","Shubenacadie",115,0,6,3,28,0,0,1,153,322
12007,"Kings--Hants/Kings--Hants"," 11","Shubenacadie",74,1,3,9,24,0,0,1,112,244
12007,"Kings--Hants/Kings--Hants"," 12","Shubenacadie",84,0,2,20,19,0,0,1,126,242
12007,"Kings--Hants/Kings--Hants"," 13","Shubenacadie",111,0,6,9,32,0,0,2,160,282
12007,"Kings--Hants/Kings--Hants"," 14","Milford Station",166,0,10,21,36,1,0,0,234,471
12007,"Kings--Hants/Kings--Hants"," 15","Micmac",177,0,4,16,3,0,1,2,203,285
12007,"Kings--Hants/Kings--Hants"," 16","Micmac",238,0,1,18,1,0,1,12,271,453
12007,"Kings--Hants/Kings--Hants"," 17","Nine Mile River",197,1,5,20,48,0,0,1,272,478
12007,"Kings--Hants/Kings--Hants"," 18","Nine Mile River",175,2,11,31,46,1,1,0,267,461
12007,"Kings--Hants/Kings--Hants"," 19","Carrolls Corner",111,2,7,13,24,1,0,0,158,315
12007,"Kings--Hants/Kings--Hants"," 20","Milford Station",179,0,7,16,49,0,1,1,253,464
12007,"Kings--Hants/Kings--Hants"," 21","Lantz",126,0,6,11,32,0,0,0,175,369
12007,"Kings--Hants/Kings--Hants"," 22","Lantz",84,0,4,6,32,2,1,2,131,237
12007,"Kings--Hants/Kings--Hants"," 23","Lantz",75,1,5,10,15,0,1,0,107,212
12007,"Kings--Hants/Kings--Hants"," 24","Lantz",113,0,3,9,31,0,0,2,158,333
12007,"Kings--Hants/Kings--Hants"," 25","Lantz",128,0,4,6,33,0,0,1,172,276
12007,"Kings--Hants/Kings--Hants"," 26","Lantz",132,0,4,4,18,0,1,0,159,275
12007,"Kings--Hants/Kings--Hants"," 27","Lantz",85,1,1,15,34,0,0,1,137,267
12007,"Kings--Hants/Kings--Hants"," 28","Elmsdale",137,0,4,19,33,1,0,0,194,354
12007,"Kings--Hants/Kings--Hants"," 29","Elmsdale",134,1,2,7,23,1,0,1,169,309
12007,"Kings--Hants/Kings--Hants"," 30","Elmsdale",163,0,9,16,24,0,0,2,214,371
12007,"Kings--Hants/Kings--Hants"," 31","Elmsdale",131,0,5,13,25,0,1,0,175,313
12007,"Kings--Hants/Kings--Hants"," 32","Rawdon Gold Mines",97,1,6,7,25,1,0,0,137,247
12007,"Kings--Hants/Kings--Hants"," 33","Rawdon Gold Mines",130,0,7,12,35,0,0,1,185,311
12007,"Kings--Hants/Kings--Hants"," 34","Rawdon Gold Mines",112,0,3,11,24,0,0,0,150,326
12007,"Kings--Hants/Kings--Hants"," 35","Gore",170,3,4,12,43,0,1,1,234,516
12007,"Kings--Hants/Kings--Hants"," 36","Clarksville",98,1,4,5,23,0,1,1,133,262
12007,"Kings--Hants/Kings--Hants"," 37","Pembroke",179,1,5,14,28,0,0,1,228,412
12007,"Kings--Hants/Kings--Hants"," 38","Scots Bay",75,1,6,3,12,0,0,0,97,141
12007,"Kings--Hants/Kings--Hants"," 39","Pereaux",143,2,16,11,35,0,0,2,209,444
12007,"Kings--Hants/Kings--Hants"," 40","Canning",144,1,7,17,35,0,0,2,206,386
12007,"Kings--Hants/Kings--Hants"," 41","Canning",139,0,12,22,26,0,1,1,201,389
12007,"Kings--Hants/Kings--Hants"," 42","Canning",96,1,4,7,15,1,0,0,124,267
12007,"Kings--Hants/Kings--Hants"," 43","Kingsport",133,1,9,11,33,0,2,0,189,337
12007,"Kings--Hants/Kings--Hants"," 44","Hortonville",140,0,2,26,33,2,0,1,204,377
12007,"Kings--Hants/Kings--Hants"," 45","Grand Pré",120,1,3,6,32,2,0,0,164,302
12007,"Kings--Hants/Kings--Hants"," 46","Summerville",116,1,3,2,30,0,1,0,153,253
12007,"Kings--Hants/Kings--Hants"," 47","Summerville",135,2,6,1,27,0,0,0,171,304
12007,"Kings--Hants/Kings--Hants"," 48","Centre Burlington",140,0,8,10,26,0,2,0,186,412
12007,"Kings--Hants/Kings--Hants"," 49","Scotch Village",103,0,5,16,36,0,1,0,161,279
12007,"Kings--Hants/Kings--Hants"," 50","Scotch Village",94,0,4,12,24,0,1,2,137,233
12007,"Kings--Hants/Kings--Hants"," 51","Brooklyn",182,1,7,4,42,0,1,1,238,391
12007,"Kings--Hants/Kings--Hants"," 52","Mantua",128,0,3,3,24,0,0,0,158,269
12007,"Kings--Hants/Kings--Hants"," 53","Newport Corner",105,0,3,4,24,0,0,0,136,272
12007,"Kings--Hants/Kings--Hants"," 54","Ardoise",97,0,5,10,52,1,1,0,166,284
12007,"Kings--Hants/Kings--Hants"," 55","Ardoise",112,0,3,7,10,1,1,1,135,276
12007,"Kings--Hants/Kings--Hants"," 56","Ardoise",143,0,6,8,37,1,0,1,196,309
12007,"Kings--Hants/Kings--Hants"," 57","South Rawdon",145,1,7,18,29,0,1,1,202,371
