Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Élise Gauthier,Denis Lemieux,Dany Morin,Caroline Ste-Marie,Dany St-Gelais,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 1","Saint-Honoré",36,23,41,32,2,6,140,260
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 2","Saguenay",16,11,19,9,1,1,57,112
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 3","Saguenay",74,72,78,49,13,6,292,441
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 4","Saguenay",44,70,66,45,4,3,232,438
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 5","Saguenay",52,55,68,39,6,2,222,396
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 6","Saguenay",46,60,55,31,4,5,201,352
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 7","Saguenay",39,62,70,33,1,6,211,383
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 8","Saguenay",48,57,74,18,1,4,202,343
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 9","Saguenay",20,35,34,13,7,2,111,255
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 10","Saguenay",42,55,46,22,4,1,170,338
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 11","Saguenay",42,55,63,33,8,4,205,342
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 12","Saguenay",54,71,87,37,4,9,262,401
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 13","Saguenay",66,93,100,41,7,2,309,534
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 14","Saguenay",35,62,65,20,2,2,186,303
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 15","Saguenay",38,68,76,33,0,3,218,364
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 16","Saguenay",42,63,64,16,5,3,193,363
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 17","Saguenay",31,81,55,37,12,4,220,419
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 18","Saguenay",42,65,71,47,1,2,228,396
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 19","Saguenay",47,76,78,27,5,1,234,420
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 20","Saguenay",53,79,70,25,2,4,233,425
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 21","Saguenay",70,64,79,58,5,3,279,412
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 22","Saguenay",39,74,67,33,5,2,220,465
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 23","Saguenay",36,82,66,20,8,0,212,372
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 24","Saguenay",41,49,65,12,4,2,173,351
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 25","Saguenay",46,51,48,23,3,2,173,362
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 26","Saguenay",48,69,55,32,9,3,216,376
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 27","Saguenay",47,51,45,10,5,3,161,357
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 28","Saguenay",32,44,47,31,4,9,167,326
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 29","Saguenay",53,58,42,22,4,0,179,403
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 30","Saguenay",57,67,58,40,4,4,230,436
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 31","Saguenay",51,76,64,56,6,11,264,506
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 32","Saguenay",56,100,67,46,5,8,282,441
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 33","Saguenay",47,75,75,63,7,2,269,455
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 34","Saguenay",48,82,56,30,5,4,225,421
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 35","Saguenay",69,102,87,47,7,3,315,484
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 36","Saguenay",60,66,56,45,9,5,241,440
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 37","Saguenay",53,81,78,26,2,4,244,408
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 38","Saguenay",51,75,79,40,3,2,250,443
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 39","Saguenay",23,62,66,27,3,3,184,398
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 40","Saguenay",33,56,51,34,3,1,178,315
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 41","Saguenay",26,60,82,33,4,1,206,374
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 42","Saguenay",33,47,59,23,4,3,169,345
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 43","Saguenay",36,51,64,18,3,1,173,360
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 44","Saguenay",26,49,50,12,6,5,148,390
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 45","Saguenay",41,37,53,17,5,1,154,359
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 46","Saguenay",46,46,53,12,6,6,169,401
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 47","Saguenay",54,41,61,11,3,5,175,422
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 48","Saguenay",39,57,65,15,5,5,186,436
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 49A","Saguenay",Merged with No./Fusionné avec le n°50,,,,,,,225
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 49B","Saguenay",Merged with No./Fusionné avec le n°400,,,,,,,217
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 50","Saguenay",41,54,47,19,8,2,171,293
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 51","Saguenay",24,38,75,13,5,3,158,412
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 52","Saguenay",39,45,63,19,6,2,174,411
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 53","Saguenay",30,37,63,24,3,3,160,350
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 54","Saguenay",47,59,63,32,4,3,208,399
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 55","Saguenay",50,45,47,17,8,5,172,352
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 56","Saguenay",28,61,29,23,2,1,144,407
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 57","Saguenay",47,68,77,18,10,0,220,354
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 58","Saguenay",29,64,71,41,1,3,209,371
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 59","Saguenay",47,75,57,25,2,2,208,329
