Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marjolaine Boutin-Sweet,Marianne Breton Fontaine,Christine Dandenault,Alexandre Dang,Nicolas Lemay,Simon Marchand,Marwah Rizqy,Anne-Marie Saint-Cerny,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24028,"Hochelaga/Hochelaga"," 1","Montréal",55,0,0,19,0,48,67,2,1,192,377
24028,"Hochelaga/Hochelaga"," 2","Montréal",68,0,1,17,0,46,60,3,6,201,400
24028,"Hochelaga/Hochelaga"," 3","Montréal",57,0,0,23,2,72,121,6,5,286,485
24028,"Hochelaga/Hochelaga"," 4","Montréal",51,1,0,21,2,59,100,7,6,247,402
24028,"Hochelaga/Hochelaga"," 5","Montréal",66,1,1,15,1,48,77,2,2,213,375
24028,"Hochelaga/Hochelaga"," 6","Montréal",44,0,1,38,0,70,101,7,0,261,385
24028,"Hochelaga/Hochelaga"," 7","Montréal",53,0,1,19,0,53,91,4,2,223,419
24028,"Hochelaga/Hochelaga"," 8","Montréal",48,0,1,27,2,62,119,15,5,279,442
24028,"Hochelaga/Hochelaga"," 9","Montréal",47,0,0,22,2,59,82,8,5,225,351
24028,"Hochelaga/Hochelaga"," 10","Montréal",80,0,0,30,2,49,98,8,8,275,445
24028,"Hochelaga/Hochelaga"," 11","Montréal",59,0,0,37,4,53,95,0,3,251,407
24028,"Hochelaga/Hochelaga"," 12","Montréal",60,2,3,12,5,69,64,12,5,232,483
24028,"Hochelaga/Hochelaga"," 13","Montréal",48,0,0,11,0,76,62,5,3,205,446
24028,"Hochelaga/Hochelaga"," 14","Montréal",46,1,1,14,2,37,54,7,3,165,349
24028,"Hochelaga/Hochelaga"," 15","Montréal",35,0,1,16,1,36,80,4,0,173,383
24028,"Hochelaga/Hochelaga"," 16","Montréal",35,0,0,18,0,22,82,6,5,168,360
24028,"Hochelaga/Hochelaga"," 17","Montréal",45,0,0,12,3,76,87,5,3,231,465
24028,"Hochelaga/Hochelaga"," 18","Montréal",31,0,1,11,0,39,48,0,5,135,380
24028,"Hochelaga/Hochelaga"," 19","Montréal",34,0,2,18,2,38,72,6,1,173,330
24028,"Hochelaga/Hochelaga"," 20","Montréal",30,1,1,11,1,37,88,3,0,172,321
24028,"Hochelaga/Hochelaga"," 21","Montréal",48,1,1,12,0,59,77,6,11,215,449
24028,"Hochelaga/Hochelaga"," 22","Montréal",39,0,0,4,3,52,53,2,1,154,457
24028,"Hochelaga/Hochelaga"," 23","Montréal",49,1,0,10,1,92,55,7,6,221,472
24028,"Hochelaga/Hochelaga"," 24","Montréal",43,0,0,7,1,84,49,8,0,192,419
24028,"Hochelaga/Hochelaga"," 25","Montréal",52,0,1,16,3,71,47,8,0,198,372
24028,"Hochelaga/Hochelaga"," 26","Montréal",41,0,1,7,5,43,50,5,0,152,306
24028,"Hochelaga/Hochelaga"," 27","Montréal",69,1,1,17,0,46,77,8,8,227,376
24028,"Hochelaga/Hochelaga"," 28","Montréal",59,1,0,20,4,62,91,5,2,244,403
24028,"Hochelaga/Hochelaga"," 29","Montréal",54,0,0,21,1,77,64,7,2,226,381
24028,"Hochelaga/Hochelaga"," 30","Montréal",66,1,0,25,1,59,98,2,2,254,380
24028,"Hochelaga/Hochelaga"," 31","Montréal",63,1,0,27,1,60,74,5,4,235,379
24028,"Hochelaga/Hochelaga"," 32","Montréal",89,0,0,20,4,77,93,5,4,292,441
24028,"Hochelaga/Hochelaga"," 33","Montréal",88,1,1,23,4,65,116,9,3,310,503
24028,"Hochelaga/Hochelaga"," 34","Montréal",25,0,0,22,2,20,118,4,5,196,429
24028,"Hochelaga/Hochelaga"," 35","Montréal",31,0,1,26,2,39,104,6,2,211,407
24028,"Hochelaga/Hochelaga"," 36","Montréal",40,2,2,24,2,24,128,3,3,228,449
24028,"Hochelaga/Hochelaga"," 37","Montréal",18,1,0,16,0,26,69,1,0,131,232
24028,"Hochelaga/Hochelaga"," 38","Montréal",35,1,0,24,0,51,106,6,0,223,404
24028,"Hochelaga/Hochelaga"," 39","Montréal",61,1,0,38,2,36,122,7,6,273,462
24028,"Hochelaga/Hochelaga"," 40","Montréal",37,0,1,20,0,45,101,3,4,211,369
24028,"Hochelaga/Hochelaga"," 41","Montréal",43,0,1,34,3,22,108,2,4,217,412
24028,"Hochelaga/Hochelaga"," 42","Montréal",39,0,1,28,3,37,106,5,0,219,392
24028,"Hochelaga/Hochelaga"," 43","Montréal",51,4,0,17,0,37,91,5,1,206,438
24028,"Hochelaga/Hochelaga"," 44","Montréal",54,0,0,26,1,32,129,3,0,245,468
24028,"Hochelaga/Hochelaga"," 45","Montréal",46,0,0,15,0,47,84,7,1,200,456
24028,"Hochelaga/Hochelaga"," 46A","Montréal",18,0,0,6,0,38,61,0,6,129,285
24028,"Hochelaga/Hochelaga"," 46B","Montréal",30,0,0,14,0,52,56,2,2,156,287
24028,"Hochelaga/Hochelaga"," 47","Montréal",74,1,0,24,0,71,135,3,5,313,514
24028,"Hochelaga/Hochelaga"," 48","Montréal",17,1,3,21,0,13,76,0,0,131,317
24028,"Hochelaga/Hochelaga"," 49","Montréal",46,2,0,22,3,40,69,3,2,187,351
24028,"Hochelaga/Hochelaga"," 50","Montréal",Void/Supprimé,,,,,,,,,,
24028,"Hochelaga/Hochelaga"," 51","Montréal",50,0,2,24,0,37,87,6,2,208,422
24028,"Hochelaga/Hochelaga"," 52","Montréal",49,1,4,21,2,55,85,5,2,224,470
24028,"Hochelaga/Hochelaga"," 53","Montréal",46,0,0,22,1,53,57,7,5,191,353
24028,"Hochelaga/Hochelaga"," 54","Montréal",55,2,1,21,1,55,112,3,3,253,439
24028,"Hochelaga/Hochelaga"," 55","Montréal",76,0,0,24,0,51,107,4,4,266,494
24028,"Hochelaga/Hochelaga"," 56","Montréal",54,1,1,10,2,46,75,4,5,198,435
24028,"Hochelaga/Hochelaga"," 57","Montréal",51,0,1,20,1,31,79,8,3,194,336
24028,"Hochelaga/Hochelaga"," 58","Montréal",61,1,0,16,1,52,59,4,4,198,360
24028,"Hochelaga/Hochelaga"," 59","Montréal",55,2,1,20,2,66,83,3,4,236,422
24028,"Hochelaga/Hochelaga"," 60","Montréal",61,1,0,21,2,49,62,3,5,204,395
24028,"Hochelaga/Hochelaga"," 61","Montréal",49,0,2,16,1,36,64,8,4,180,330
24028,"Hochelaga/Hochelaga"," 62","Montréal",56,0,0,23,3,71,76,6,2,237,416
24028,"Hochelaga/Hochelaga"," 63","Montréal",68,0,0,22,0,74,84,10,5,263,476
24028,"Hochelaga/Hochelaga"," 64","Montréal",58,1,2,20,1,52,57,4,7,202,314
24028,"Hochelaga/Hochelaga"," 65","Montréal",58,0,0,18,1,75,60,10,3,225,345
24028,"Hochelaga/Hochelaga"," 66","Montréal",71,0,0,20,1,65,62,3,3,225,413
24028,"Hochelaga/Hochelaga"," 67","Montréal",54,0,0,11,3,48,74,6,0,196,379
24028,"Hochelaga/Hochelaga"," 68","Montréal",52,0,1,9,1,47,64,5,2,181,396
24028,"Hochelaga/Hochelaga"," 69","Montréal",71,0,0,26,3,78,84,12,1,275,458
24028,"Hochelaga/Hochelaga"," 70","Montréal",60,0,0,17,0,64,84,3,1,229,392
24028,"Hochelaga/Hochelaga"," 71","Montréal",58,0,3,20,0,45,50,10,2,188,318
24028,"Hochelaga/Hochelaga"," 72","Montréal",76,1,1,11,0,69,59,8,3,228,394
24028,"Hochelaga/Hochelaga"," 73","Montréal",78,0,1,8,0,52,54,5,2,200,368
24028,"Hochelaga/Hochelaga"," 74","Montréal",48,1,0,14,3,71,53,7,4,201,381
24028,"Hochelaga/Hochelaga"," 75","Montréal",52,0,0,4,3,33,56,5,4,157,449
24028,"Hochelaga/Hochelaga"," 76","Montréal",41,1,0,13,0,57,43,4,3,162,393
24028,"Hochelaga/Hochelaga"," 77","Montréal",43,0,0,8,1,72,50,4,4,182,377
24028,"Hochelaga/Hochelaga"," 78","Montréal",32,2,0,17,2,48,49,6,5,161,348
24028,"Hochelaga/Hochelaga"," 79","Montréal",31,1,0,12,1,21,84,5,12,167,367
24028,"Hochelaga/Hochelaga"," 80","Montréal",56,0,1,11,2,46,49,6,4,175,330
24028,"Hochelaga/Hochelaga"," 81","Montréal",82,0,1,15,1,61,62,11,5,238,453
24028,"Hochelaga/Hochelaga"," 82","Montréal",85,1,1,26,1,50,70,5,2,241,459
24028,"Hochelaga/Hochelaga"," 83","Montréal",65,0,0,8,1,47,29,11,2,163,378
24028,"Hochelaga/Hochelaga"," 84","Montréal",65,0,0,14,2,81,65,8,0,235,447
24028,"Hochelaga/Hochelaga"," 85","Montréal",69,1,0,20,0,69,49,7,3,218,420
24028,"Hochelaga/Hochelaga"," 86","Montréal",34,0,1,13,1,81,48,7,6,191,396
24028,"Hochelaga/Hochelaga"," 87","Montréal",18,2,0,14,1,41,24,5,1,106,367
24028,"Hochelaga/Hochelaga"," 88","Montréal",43,0,1,11,1,58,69,4,5,192,401
24028,"Hochelaga/Hochelaga"," 89","Montréal",57,0,0,14,3,66,61,4,2,207,408
24028,"Hochelaga/Hochelaga"," 90","Montréal",45,0,0,10,2,44,30,6,3,140,290
24028,"Hochelaga/Hochelaga"," 91","Montréal",75,2,0,8,3,63,53,8,4,216,452
24028,"Hochelaga/Hochelaga"," 92A","Montréal",55,0,0,10,0,34,60,3,3,165,284
24028,"Hochelaga/Hochelaga"," 92B","Montréal",56,0,0,5,0,35,48,4,3,151,279
24028,"Hochelaga/Hochelaga"," 93","Montréal",53,1,1,10,0,49,35,6,3,158,422
24028,"Hochelaga/Hochelaga"," 94","Montréal",58,1,2,7,1,52,30,9,4,164,381
24028,"Hochelaga/Hochelaga"," 95","Montréal",81,0,0,4,1,82,40,11,9,228,403
