Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Affine Lwalalika,Pierre Nantel,Michael O'Grady,Casandra Poitras,John Sedlak,Denis Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 1","Longueuil",1,56,75,7,20,75,0,234,499
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 2","Longueuil",0,35,51,12,12,47,8,165,345
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 3","Longueuil",1,50,77,4,13,50,4,199,423
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 4","Longueuil",1,56,39,1,16,76,4,193,377
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 5A","Longueuil",0,62,51,6,13,41,1,174,326
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 5B","Longueuil",0,79,68,3,13,63,5,231,369
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 6","Longueuil",1,81,57,11,17,66,4,237,540
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 7","Longueuil",1,56,31,5,15,77,8,193,378
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 8","Longueuil",2,81,60,9,11,54,1,218,473
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 9","Longueuil",0,59,51,4,10,68,5,197,458
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 10","Longueuil",0,52,44,4,10,60,1,171,331
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 11A","Longueuil",Merged with No./Fusionné avec le n°12,,,,,,,,115
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 11B","Mobile poll/Bureau itinérant",1,48,84,6,18,55,9,221,164
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 12","Longueuil",1,52,45,6,17,59,5,185,317
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 13","Longueuil",0,61,116,2,57,39,1,276,449
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 14","Longueuil",0,79,46,6,12,67,4,214,403
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 15A","Longueuil",0,46,90,4,27,47,0,214,355
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 15B","Longueuil",0,61,99,3,23,44,0,230,341
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 16","Longueuil",0,82,97,6,28,62,5,280,461
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 17","Longueuil",1,63,69,3,17,48,0,201,390
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 18","Longueuil",0,57,66,6,34,47,2,212,326
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 19","Longueuil",0,59,102,4,35,32,3,235,376
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 20","Longueuil",0,69,49,6,16,46,0,186,331
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 21","Longueuil",3,54,56,2,16,47,3,181,328
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 22","Longueuil",0,98,72,6,12,69,3,260,462
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 23","Longueuil",0,107,83,7,20,56,3,276,435
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 24","Longueuil",0,106,84,5,20,44,1,260,423
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 25","Longueuil",0,105,74,3,17,70,3,272,429
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 26","Longueuil",1,63,81,3,22,47,0,217,409
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 27","Longueuil",0,118,90,5,24,38,4,279,426
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 28","Longueuil",0,74,70,11,12,81,9,257,427
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 29","Longueuil",0,67,61,6,19,79,4,236,487
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 30","Longueuil",0,93,87,8,21,40,1,250,489
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 31A","Longueuil",1,66,79,7,19,50,1,223,442
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 31B","Longueuil",0,83,80,9,25,57,6,260,475
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 32","Longueuil",0,77,65,6,13,63,2,226,388
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 33","Longueuil",0,81,61,7,10,66,2,227,399
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 34","Longueuil",0,67,80,3,32,41,4,227,439
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 35","Longueuil",2,51,46,4,17,48,4,172,399
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 36","Longueuil",0,98,58,9,14,47,6,232,381
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 37","Longueuil",0,72,82,8,20,45,0,227,374
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 38","Longueuil",1,79,70,7,17,32,1,207,357
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 39","Longueuil",0,44,47,9,9,64,4,177,447
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 40","Longueuil",1,97,77,2,18,63,3,261,410
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 41","Longueuil",0,75,76,16,20,72,9,268,461
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 42","Longueuil",1,116,67,11,17,77,3,292,498
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 43","Longueuil",0,79,53,3,21,19,2,177,314
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 44","Longueuil",1,77,85,3,19,60,3,248,495
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 45","Longueuil",0,66,75,8,14,40,3,206,342
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 46","Longueuil",0,91,53,7,11,57,1,220,333
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 47","Longueuil",0,64,50,5,9,41,2,171,346
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 48","Longueuil",0,83,45,3,10,48,2,191,294
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 49","Longueuil",0,33,30,5,11,30,1,110,318
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 50","Longueuil",0,44,42,6,7,45,3,147,469
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 51","Longueuil",1,71,77,3,16,55,3,226,391
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 52","Longueuil",5,69,64,3,17,70,0,228,397
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 53","Longueuil",1,66,85,3,25,34,0,214,338
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 54","Longueuil",1,61,58,10,15,55,4,204,370
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 55","Longueuil",2,61,46,13,8,69,1,200,413
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 56","Longueuil",0,67,54,7,6,74,3,211,405
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 57","Longueuil",0,52,56,4,6,65,4,187,386
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 58","Longueuil",0,75,112,2,30,58,3,280,444
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 59","Longueuil",1,123,73,2,13,82,1,295,364
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 60","Longueuil",0,76,68,7,15,29,0,195,325
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 61","Longueuil",0,69,74,6,13,61,2,225,456
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 62","Longueuil",0,95,65,4,8,55,4,231,456
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 63","Longueuil",0,88,73,11,27,32,2,233,386
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 64","Longueuil",0,70,82,1,23,31,1,208,310
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 65","Longueuil",0,72,56,4,13,74,4,223,404
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 66","Longueuil",0,60,51,4,14,49,3,181,335
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 67","Longueuil",0,41,33,5,10,36,0,125,399
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 68A","Longueuil",Merged with No./Fusionné avec le n°59,,,,,,,,118
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 68B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°11B,,,,,,,,98
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 68C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°11B,,,,,,,,199
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 69","Longueuil",0,68,107,4,34,65,1,279,391
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 70","Longueuil",2,73,174,3,39,77,6,374,471
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 71A","Longueuil",0,69,78,3,15,46,3,214,396
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 71B","Longueuil",1,57,90,4,14,45,6,217,432
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 72","Longueuil",0,104,75,4,10,60,1,254,549
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 73","Longueuil",0,67,74,8,19,54,8,230,448
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 74","Longueuil",0,101,51,6,16,73,3,250,453
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 75","Longueuil",0,76,89,1,19,64,2,251,461
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 76A","Longueuil",1,56,40,3,26,58,1,185,358
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 76B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,128
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 77","Longueuil",1,110,64,8,16,88,3,290,509
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 78","Longueuil",2,95,100,4,25,55,4,285,520
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 79","Longueuil",0,29,34,0,2,31,4,100,395
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 80","Longueuil",3,81,79,7,10,64,4,248,441
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 81","Longueuil",0,35,33,5,4,30,4,111,365
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 82","Longueuil",0,22,21,3,5,41,2,94,315
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 83","Longueuil",1,38,48,4,9,47,0,147,452
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 84","Longueuil",0,43,42,7,15,56,2,165,425
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 85","Longueuil",0,57,66,13,14,62,4,216,462
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 86","Longueuil",2,51,55,3,18,72,7,208,458
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 87","Longueuil",0,46,48,8,15,44,5,166,446
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 88","Longueuil",0,41,73,6,12,67,7,206,444
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 89","Longueuil",0,52,33,3,8,60,1,157,368
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 90","Longueuil",0,48,67,4,14,62,4,199,485
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 91","Longueuil",0,37,56,7,9,33,4,146,320
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 92","Longueuil",2,34,46,6,16,60,6,170,397
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 93","Longueuil",0,79,47,6,10,67,5,214,466
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 94","Longueuil",1,40,59,5,19,49,9,182,375
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 95","Longueuil",0,42,66,7,11,43,4,173,400
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 96","Longueuil",1,43,53,2,15,67,3,184,502
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 97","Longueuil",2,30,45,4,10,55,5,151,406
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 98","Longueuil",2,41,68,2,10,53,2,178,444
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 99","Longueuil",0,65,86,6,37,64,0,258,536
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 100","Longueuil",0,37,33,10,16,50,3,149,406
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 101","Longueuil",2,60,59,5,48,43,4,221,579
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 102","Longueuil",0,75,84,10,22,61,3,255,448
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 103","Longueuil",1,42,55,6,10,89,5,208,400
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 104","Longueuil",1,29,39,2,2,36,2,111,339
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 105","Longueuil",0,60,40,10,8,60,5,183,425
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 106","Longueuil",0,37,53,3,15,60,1,169,374
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 107","Longueuil",4,64,33,7,14,75,3,200,427
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 108","Longueuil",0,37,41,6,10,41,3,138,385
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 109A","Longueuil",0,45,52,6,14,57,5,179,420
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 109B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,,7
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 110","Longueuil",1,39,48,4,13,41,6,152,499
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 111","Longueuil",0,34,36,2,9,59,2,142,391
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 112","Longueuil",0,38,48,3,6,45,8,148,354
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 113","Longueuil",1,84,77,18,15,71,5,271,529
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 114","Longueuil",1,31,26,5,6,51,3,123,407
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 115","Longueuil",0,55,64,7,22,47,1,196,396
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 116","Longueuil",4,87,67,5,22,60,3,248,450
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 117","Longueuil",0,13,32,4,13,29,1,92,277
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 118","Longueuil",0,24,45,3,11,37,3,123,344
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 119","Longueuil",0,41,69,4,10,62,4,190,478
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 120","Longueuil",1,78,57,5,10,70,7,228,424
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 121","Longueuil",1,74,42,4,8,45,1,175,428
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 122","Longueuil",0,116,56,9,5,65,6,257,430
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 123","Longueuil",0,64,48,7,9,69,0,197,379
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 124","Longueuil",0,51,37,7,2,62,3,162,361
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 125","Longueuil",2,88,34,8,10,58,4,204,413
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 126","Longueuil",0,48,56,7,13,44,0,168,330
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 127","Longueuil",0,83,44,3,9,54,3,196,358
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 128","Longueuil",0,53,38,5,10,47,3,156,340
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 129","Longueuil",0,54,28,9,4,35,2,132,337
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 130","Longueuil",1,88,48,9,11,63,2,222,436
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 131","Longueuil",0,50,70,11,13,60,8,212,485
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 132","Longueuil",2,65,87,3,26,70,4,257,525
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 133","Longueuil",0,101,69,6,22,78,0,276,491
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 134","Longueuil",2,92,79,11,22,57,3,266,501
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 135","Longueuil",0,60,50,1,19,50,5,185,437
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 136","Longueuil",1,67,67,3,9,42,0,189,378
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 137","Longueuil",0,95,81,1,23,40,1,241,404
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 138","Longueuil",2,61,70,7,13,69,2,224,376
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 139","Longueuil",1,62,53,3,19,51,3,192,364
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 140","Longueuil",0,107,80,10,20,69,5,291,547
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 141","Longueuil",1,74,64,7,23,49,1,219,432
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 142","Longueuil",0,31,39,4,10,40,3,127,445
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 143","Longueuil",0,91,74,5,23,58,5,256,505
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 144","Longueuil",0,42,40,5,3,38,7,135,444
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 145","Longueuil",0,87,45,9,10,56,2,209,433
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 146","Longueuil",1,119,55,11,16,63,1,266,450
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 147","Longueuil",0,95,38,9,11,87,4,244,419
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 148","Longueuil",2,91,54,6,13,70,2,238,418
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 149","Longueuil",2,64,38,7,12,59,2,184,423
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 150","Longueuil",0,87,57,10,9,49,2,214,399
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 151","Longueuil",1,64,48,5,18,70,2,208,411
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 152","Longueuil",0,62,45,6,7,61,7,188,411
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 153","Longueuil",0,40,56,4,7,58,5,170,430
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 154","Longueuil",0,75,39,6,14,51,2,187,393
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 155","Longueuil",0,49,35,8,19,69,8,188,443
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 156","Longueuil",0,41,53,8,13,57,5,177,403
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 157","Longueuil",0,50,46,8,21,83,9,217,433
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 158","Longueuil",0,53,44,7,10,66,2,182,427
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 159","Longueuil",0,36,81,5,20,44,7,193,378
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 160","Longueuil",0,46,61,3,11,49,8,178,395
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 161","Longueuil",0,48,72,1,18,40,4,183,373
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 162","Longueuil",1,46,83,4,21,52,5,212,420
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 163","Longueuil",1,36,49,3,11,50,6,156,355
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 164","Longueuil",0,86,59,3,23,76,3,250,486
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 165","Longueuil",0,37,93,10,23,59,5,227,488
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 166","Longueuil",0,60,60,4,12,62,0,198,356
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 167","Longueuil",0,44,91,8,14,55,5,217,403
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 168","Longueuil",0,75,77,5,19,66,2,244,407
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 169","Longueuil",1,57,87,3,23,61,4,236,460
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 170","Longueuil",0,58,56,3,16,61,0,194,413
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 171","Longueuil",0,101,73,11,41,40,5,271,467
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 172","Longueuil",2,53,89,6,12,56,1,219,423
