Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Berthiaume,Luc Berthold,Jean-François Delisle,Justin Gervais,Virginie Provost,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 1","Lyster",41,74,24,1,21,3,164,298
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 2","Lyster",69,109,25,10,24,6,243,407
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 3","Lyster",44,81,30,6,14,4,179,288
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 4","Lyster",59,54,24,4,22,5,168,270
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 5","Laurierville",44,101,35,3,26,7,216,411
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 6","Laurierville",45,93,32,4,17,0,191,336
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 7","Laurierville",63,82,33,4,24,3,209,341
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 8","Inverness",54,96,34,13,32,3,232,329
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 9","Inverness",59,110,32,2,28,3,234,366
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 10","Saint-Jacques-de-Leeds",38,124,25,2,12,5,206,273
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 11","Saint-Jacques-de-Leeds",31,118,19,5,11,1,185,266
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 12","Saint-Pierre-de-Broughton",51,71,33,9,20,3,187,323
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 13","Saint-Pierre-de-Broughton",55,64,43,7,27,6,202,330
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 14","Sacré-Coeur-de-Jésus",26,61,11,5,19,5,127,278
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 15","East Broughton",43,74,12,3,10,3,145,295
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 16","East Broughton",19,87,31,10,17,3,167,330
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 17","East Broughton",26,76,21,3,11,4,141,297
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 18","Sacré-Coeur-de-Jésus",26,70,33,4,21,1,155,323
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 19","Sacré-Coeur-de-Jésus",34,69,28,9,13,2,155,314
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 20","Sacré-Coeur-de-Jésus",39,87,30,4,28,1,189,378
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 21","Sainte-Clotilde-de-Beauce",37,79,12,6,13,2,149,227
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 22","Sainte-Clotilde-de-Beauce",34,72,17,2,6,4,135,201
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 23","Adstock",40,53,34,5,18,3,153,255
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 24","Adstock",39,43,27,2,13,5,129,303
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 25","Adstock",37,52,21,0,14,4,128,282
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 26","Thetford Mines",37,71,29,4,20,5,166,417
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 27","Thetford Mines",65,89,41,4,30,3,232,432
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 28","Thetford Mines",47,57,33,0,18,4,159,375
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 29","Thetford Mines",28,42,15,3,7,4,99,277
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 30","Thetford Mines",62,116,64,7,35,7,291,484
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 31","Thetford Mines",42,60,30,2,10,0,144,280
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 32","Kinnear's Mills",53,80,28,3,23,3,190,313
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 33","Saint-Jean-de-Brébeuf",37,91,32,3,20,4,187,289
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 34","Thetford Mines",67,85,40,3,19,0,214,427
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 35","Thetford Mines",65,65,50,2,14,4,200,404
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 36","Thetford Mines",43,60,51,1,28,0,183,370
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 37","Thetford Mines",65,49,41,1,16,3,175,389
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 38","Thetford Mines",53,57,57,5,23,5,200,393
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 39","Thetford Mines",47,42,41,3,26,6,165,360
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 40","Thetford Mines",42,46,36,1,14,0,139,351
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 41","Thetford Mines",35,33,25,6,18,7,124,337
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 42","Thetford Mines",64,98,48,2,23,4,239,405
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 43","Thetford Mines",47,78,38,4,20,3,190,408
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 44","Thetford Mines",45,48,32,6,15,5,151,395
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 45","Thetford Mines",51,56,47,4,27,3,188,403
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 46","Thetford Mines",41,55,36,5,9,3,149,405
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 47","Thetford Mines",42,63,58,0,23,4,190,415
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 48","Thetford Mines",63,71,48,2,12,8,204,423
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 49","Thetford Mines",43,46,47,2,15,6,159,402
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 50","Thetford Mines",42,53,31,0,26,2,154,370
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 51","Thetford Mines",61,103,48,2,19,3,236,478
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 52A","Thetford Mines",29,34,21,3,15,1,103,226
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 52B","Thetford Mines",Merged with No./Fusionné avec le n°400,,,,,,,73
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 53","Thetford Mines",57,65,51,5,26,7,211,490
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 54","Thetford Mines",29,39,43,1,19,3,134,341
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 55","Thetford Mines",73,59,48,4,21,4,209,447
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 56","Thetford Mines",42,33,32,3,24,2,136,364
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 57","Thetford Mines",45,38,26,3,18,11,141,365
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 58","Thetford Mines",49,60,46,7,30,3,195,364
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 59","Thetford Mines",48,26,42,3,26,2,147,412
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 60","Thetford Mines",42,45,28,1,12,2,130,359
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 61","Thetford Mines",48,42,33,2,19,1,145,372
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 62","Thetford Mines",55,47,27,3,17,3,152,358
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 63","Thetford Mines",34,41,24,3,14,4,120,310
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 64","Thetford Mines",36,67,28,1,14,3,149,301
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 65","Thetford Mines",65,67,39,4,12,5,192,399
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 66","Thetford Mines",30,57,25,5,22,5,144,345
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 67","Thetford Mines",43,60,36,3,17,5,164,366
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 68","Saint-Adrien-d'Irlande",34,65,39,2,22,2,164,312
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 69","Thetford Mines",58,77,42,2,24,4,207,349
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 70","Thetford Mines",48,43,32,2,23,11,159,354
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 71","Thetford Mines",81,105,45,0,31,6,268,479
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 72","Thetford Mines",38,72,42,4,33,2,191,377
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 73","Thetford Mines",38,61,36,4,23,7,169,368
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 74","Thetford Mines",42,57,29,6,23,3,160,404
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 75","Thetford Mines",46,39,27,5,21,2,140,365
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 76","Thetford Mines",36,67,35,6,21,3,168,403
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 77","Thetford Mines",26,45,31,3,22,3,130,315
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 78","Thetford Mines",81,79,32,5,26,10,233,520
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 79","Thetford Mines",76,77,55,5,26,5,244,454
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 80","Thetford Mines",41,49,19,4,12,3,128,267
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 81","Thetford Mines",51,87,51,5,27,5,226,486
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 82","Adstock",102,87,47,3,36,5,280,430
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 83","Adstock",54,77,20,5,12,4,172,293
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 84","Adstock",30,92,20,2,13,3,160,236
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 85","Adstock",83,103,32,4,7,3,232,303
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 86","Saint-Joseph-de-Coleraine",53,53,46,1,26,3,182,417
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 87","Saint-Joseph-de-Coleraine",32,36,19,1,16,1,105,309
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 88","Saint-Joseph-de-Coleraine",29,44,29,4,12,6,124,311
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 89","Saint-Joseph-de-Coleraine",29,66,21,2,20,1,139,399
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 90","Irlande",51,68,43,2,33,3,200,379
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 91","Irlande",43,52,48,6,19,0,168,375
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 92","Saint-Ferdinand",59,68,42,5,13,1,188,354
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 93","Saint-Ferdinand",42,67,23,0,10,3,145,268
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 94","Saint-Ferdinand",39,64,39,1,17,4,164,391
