Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Valérie Assouline,Frank Baylis,Lysane Blanchette-Lamothe,Natalie Laplante,Abraham Weizfeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 1","Pierrefonds",42,130,62,23,2,3,262,508
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 2","Pierrefonds",31,159,44,19,7,1,261,440
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 3","Pierrefonds",15,126,59,8,7,1,216,466
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 4","Pierrefonds",35,115,44,13,3,3,213,405
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 5","Pierrefonds",26,104,65,19,3,4,221,463
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 6","Pierrefonds",23,69,23,1,1,1,118,296
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 7","Pierrefonds",11,128,54,3,3,1,200,543
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 8","Pierrefonds",11,88,24,0,1,0,124,282
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 9","Pierrefonds",15,73,21,9,0,0,118,272
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 10","Pierrefonds",44,79,41,21,5,4,194,407
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 11","Pierrefonds",31,104,56,13,0,4,208,429
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 12","Roxboro",24,120,45,11,3,1,204,427
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 13","Roxboro",21,105,37,15,5,0,183,412
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 14","Roxboro",21,74,30,15,6,3,149,318
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 15","Pierrefonds",31,155,42,10,4,0,242,545
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 16","Roxboro",30,123,43,13,4,1,214,440
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 17","Pierrefonds",33,97,59,6,0,1,196,374
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 18","Pierrefonds",24,97,35,4,1,0,161,369
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 19","Pierrefonds",11,98,20,4,4,2,139,373
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 20","Pierrefonds",31,120,47,16,6,1,221,440
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 21","Dollard-des-Ormeaux",16,106,25,8,0,1,156,367
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 22","Dollard-des-Ormeaux",26,163,43,7,2,3,244,446
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 23","Pierrefonds",17,123,9,4,1,1,155,379
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 24","Roxboro",29,94,37,6,4,2,172,345
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 25","Roxboro",55,159,32,7,2,0,255,523
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 26","Roxboro",39,135,61,12,6,3,256,364
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 27","Roxboro",30,114,54,8,2,0,208,377
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 28","Roxboro",30,122,49,12,2,4,219,363
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 29","Pierrefonds",22,95,46,17,8,3,191,418
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 30","Pierrefonds",22,115,46,7,0,1,191,487
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 31","Roxboro",36,123,56,12,8,1,236,376
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 32","Roxboro",33,155,38,10,10,1,247,382
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 33","Roxboro",36,115,41,9,9,0,210,353
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 34","Pierrefonds",45,142,43,7,3,1,241,524
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 35","Pierrefonds",29,138,34,4,3,1,209,446
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 36","Pierrefonds",41,186,35,19,3,1,285,492
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 37","Pierrefonds",34,146,38,16,6,0,240,495
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 38","Pierrefonds",13,84,25,12,0,2,136,298
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 39","Pierrefonds",26,134,33,8,7,2,210,423
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 40","Pierrefonds",19,162,25,6,3,0,215,447
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 41","Pierrefonds",34,153,38,10,2,1,238,433
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 42","Pierrefonds",33,124,52,3,3,1,216,429
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 43","Pierrefonds",40,137,46,11,3,2,239,439
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 44","Pierrefonds",43,180,35,9,0,0,267,549
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 45","Pierrefonds",19,72,21,4,0,2,118,294
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 46","Dollard-des-Ormeaux",41,137,36,3,1,0,218,412
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 47","Dollard-des-Ormeaux",48,154,24,6,3,0,235,432
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 48","Pierrefonds",50,198,39,6,5,3,301,646
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 49","Pierrefonds",32,161,34,6,3,1,237,484
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 50","Pierrefonds",28,137,34,3,2,0,204,450
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 51","Pierrefonds",20,144,40,7,4,2,217,463
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 52","Pierrefonds",33,157,34,10,3,1,238,428
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 53","Pierrefonds",27,135,35,6,7,1,211,405
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 54","Pierrefonds",29,143,25,2,4,1,204,417
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 55","Pierrefonds",33,108,51,3,5,0,200,441
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 56","Pierrefonds",26,138,49,8,3,4,228,461
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 57","Pierrefonds",16,137,36,12,3,0,204,462
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 58","Pierrefonds",23,122,45,10,2,0,202,344
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 59","Pierrefonds",31,121,32,4,1,1,190,443
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 60","Pierrefonds",25,114,48,10,1,1,199,427
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 61","Saint-Raphaël-de-l'Île-Bizard",27,114,53,19,0,1,214,379
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 62","Saint-Raphaël-de-l'Île-Bizard",61,130,50,25,10,1,277,491
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 63","Saint-Raphaël-de-l'Île-Bizard",46,142,42,19,2,1,252,448
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 64","Saint-Raphaël-de-l'Île-Bizard",61,155,70,19,4,0,309,508
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 65","Saint-Raphaël-de-l'Île-Bizard",36,134,35,21,4,2,232,437
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 66","Saint-Raphaël-de-l'Île-Bizard",41,126,48,14,2,1,232,439
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 67","Saint-Raphaël-de-l'Île-Bizard",33,109,39,12,7,0,200,353
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 68","Saint-Raphaël-de-l'Île-Bizard",30,112,52,13,3,1,211,367
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 69","Saint-Raphaël-de-l'Île-Bizard",31,117,56,39,2,4,249,477
24056,"Pierrefonds--Dollard/Pierrefonds--Dollard"," 70","Saint-Raphaël-de-l'Île-Bizard",13,96,38,14,4,3,168,299
