Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Paul Bédard,Sacki Carignan Deschamps,François-Philippe Champagne,Jacques Grenier,Martial Toupin,Jean-Yves Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 1","Radisson",0,3,6,3,1,1,1,15,24
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 2","Obedjiwan 28",4,12,114,0,2,30,2,164,505
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 3","Obedjiwan 28",2,5,147,0,1,29,0,184,700
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 4","Wemotaci",Merged with No./Fusionné avec le n°5,,,,,,,,342
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 5","Wemotaci",3,12,247,5,1,17,2,287,350
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 6","Coucoucache 24A",1,43,84,22,5,31,9,195,442
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 7","La Tuque",0,32,52,6,3,23,2,118,401
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 8","La Tuque",0,53,70,25,5,24,0,177,431
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 9","La Tuque",0,40,63,14,2,15,2,136,411
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 10","La Tuque",0,38,77,30,3,32,3,183,368
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 11","La Tuque",0,39,65,21,2,45,5,177,395
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 12","La Tuque",1,42,71,22,1,26,5,168,418
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 13","Haute-Mauricie",2,57,79,21,3,31,4,197,437
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 14","Haute-Mauricie",0,24,56,19,0,25,3,127,335
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 15","Haute-Mauricie",0,45,58,22,3,39,6,173,438
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 16","La Tuque",0,42,86,17,1,31,4,181,449
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 17","Lac-Édouard",0,26,47,7,2,12,2,96,154
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 18","La Bostonnais",0,28,64,11,1,14,4,122,229
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 19","La Bostonnais",0,26,44,8,2,28,1,109,233
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 20","La Tuque",1,41,65,22,8,30,5,172,409
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 21","La Tuque",0,49,62,26,4,46,6,193,432
