Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jocelyn Beaudoin,Pierre Breton,Sylvie Fontaine,Claire Mailhot,Simon McMillan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Shefford/Shefford"," 1","Maricourt",48,67,26,46,9,6,202,352
24072,"Shefford/Shefford"," 2","Racine",51,65,33,55,4,5,213,330
24072,"Shefford/Shefford"," 3","Racine",40,63,43,48,6,2,202,327
24072,"Shefford/Shefford"," 4","Racine",34,72,43,42,5,4,200,335
24072,"Shefford/Shefford"," 5","Valcourt",36,79,24,42,5,5,191,345
24072,"Shefford/Shefford"," 6","Valcourt",37,50,30,31,3,6,157,328
24072,"Shefford/Shefford"," 7","Valcourt",38,60,24,49,2,4,177,341
24072,"Shefford/Shefford"," 8","Valcourt",28,79,18,51,7,4,187,335
24072,"Shefford/Shefford"," 9","Valcourt",19,44,19,16,1,1,100,255
24072,"Shefford/Shefford"," 10","Valcourt",29,55,28,29,4,5,150,332
24072,"Shefford/Shefford"," 11","Valcourt",33,53,26,47,3,0,162,265
24072,"Shefford/Shefford"," 12","Valcourt",24,61,16,43,5,6,155,323
24072,"Shefford/Shefford"," 13","Lawrenceville",39,43,24,35,3,1,145,276
24072,"Shefford/Shefford"," 14","Lawrenceville",24,39,24,43,0,5,135,239
24072,"Shefford/Shefford"," 15","Bonsecours",30,54,27,43,2,3,159,249
24072,"Shefford/Shefford"," 16","Bonsecours",38,52,17,55,0,2,164,241
24072,"Shefford/Shefford"," 17","Sainte-Anne-de-la-Rochelle",38,29,8,39,4,4,122,241
24072,"Shefford/Shefford"," 18","Sainte-Anne-de-la-Rochelle",47,38,19,23,3,0,130,225
24072,"Shefford/Shefford"," 19","Saint-Joachim-de-Shefford",42,69,37,61,5,6,220,357
24072,"Shefford/Shefford"," 20","Saint-Joachim-de-Shefford",77,80,24,75,8,5,269,386
24072,"Shefford/Shefford"," 21","Saint-Joachim-de-Shefford",49,65,16,42,2,7,181,305
24072,"Shefford/Shefford"," 22","Roxton Pond",60,56,39,50,2,6,213,363
24072,"Shefford/Shefford"," 23","Roxton Pond",37,44,16,29,6,5,137,291
24072,"Shefford/Shefford"," 24","Roxton Pond",40,85,22,32,2,3,184,328
24072,"Shefford/Shefford"," 25","Roxton Pond",55,69,24,38,6,10,202,361
24072,"Shefford/Shefford"," 26","Roxton Pond",47,49,24,42,4,5,171,315
24072,"Shefford/Shefford"," 27","Roxton Pond",67,68,17,50,3,9,214,427
24072,"Shefford/Shefford"," 28","Roxton Pond",39,62,19,27,1,8,156,296
24072,"Shefford/Shefford"," 29","Roxton Pond",43,55,28,53,5,10,194,353
24072,"Shefford/Shefford"," 30","Roxton Pond",34,52,24,39,2,3,154,277
24072,"Shefford/Shefford"," 31","Sainte-Cécile-de-Milton",56,54,24,35,5,4,178,314
24072,"Shefford/Shefford"," 32","Sainte-Cécile-de-Milton",50,50,29,27,3,6,165,316
24072,"Shefford/Shefford"," 33","Sainte-Cécile-de-Milton",48,62,25,60,4,7,206,337
24072,"Shefford/Shefford"," 34","Sainte-Cécile-de-Milton",56,39,15,26,3,1,140,265
24072,"Shefford/Shefford"," 35","Sainte-Cécile-de-Milton",74,81,29,33,2,5,224,402
24072,"Shefford/Shefford"," 36","Granby",64,68,26,43,4,9,214,408
24072,"Shefford/Shefford"," 37","Granby",59,110,17,53,10,7,256,460
24072,"Shefford/Shefford"," 38","Granby",54,102,37,56,1,10,260,477
24072,"Shefford/Shefford"," 39","Granby",41,99,39,53,7,1,240,416
24072,"Shefford/Shefford"," 40","Granby",42,108,35,56,5,3,249,437
24072,"Shefford/Shefford"," 41","Granby",36,98,31,46,2,2,215,435
24072,"Shefford/Shefford"," 42","Granby",50,122,23,66,1,1,263,444
24072,"Shefford/Shefford"," 43","Granby",23,119,24,55,4,3,228,435
24072,"Shefford/Shefford"," 44","Granby",23,81,34,26,4,2,170,320
24072,"Shefford/Shefford"," 45","Granby",40,88,19,68,1,4,220,374
24072,"Shefford/Shefford"," 46","Granby",45,97,26,53,4,2,227,441
24072,"Shefford/Shefford"," 47","Granby",48,84,22,50,1,6,211,400
24072,"Shefford/Shefford"," 48","Granby",61,74,17,37,5,7,201,364
24072,"Shefford/Shefford"," 49","Granby",41,82,20,61,4,7,215,407
24072,"Shefford/Shefford"," 50","Granby",43,101,29,39,3,3,218,375
24072,"Shefford/Shefford"," 51","Granby",50,102,29,36,4,8,229,425
24072,"Shefford/Shefford"," 52","Granby",48,91,29,58,4,3,233,407
24072,"Shefford/Shefford"," 53","Granby",43,83,35,40,2,3,206,380
24072,"Shefford/Shefford"," 54","Granby",61,89,32,59,6,9,256,433
24072,"Shefford/Shefford"," 55","Granby",43,92,27,54,5,2,223,408
24072,"Shefford/Shefford"," 56","Granby",60,107,19,61,5,6,258,449
24072,"Shefford/Shefford"," 57","Granby",39,87,11,49,6,4,196,410
24072,"Shefford/Shefford"," 58","Granby",35,113,23,53,7,0,231,433
24072,"Shefford/Shefford"," 59","Granby",53,86,18,41,3,4,205,417
24072,"Shefford/Shefford"," 60","Granby",48,82,19,38,6,6,199,387
24072,"Shefford/Shefford"," 61","Granby",50,81,30,51,5,5,222,393
24072,"Shefford/Shefford"," 62","Granby",60,104,21,41,4,6,236,396
24072,"Shefford/Shefford"," 63A","Granby",35,53,19,34,1,1,143,265
24072,"Shefford/Shefford"," 63B","Granby",32,45,18,27,2,4,128,242
24072,"Shefford/Shefford"," 64","Granby",25,65,19,33,1,4,147,392
24072,"Shefford/Shefford"," 65","Granby",53,70,28,39,3,4,197,423
24072,"Shefford/Shefford"," 66","Granby",37,51,13,29,5,4,139,416
24072,"Shefford/Shefford"," 67","Granby",57,81,26,33,9,2,208,468
24072,"Shefford/Shefford"," 68","Granby",45,94,25,41,1,8,214,466
24072,"Shefford/Shefford"," 69","Granby",44,82,32,43,3,5,209,466
24072,"Shefford/Shefford"," 70","Granby",51,118,24,46,5,5,249,436
24072,"Shefford/Shefford"," 71","Granby",60,95,23,46,7,6,237,448
24072,"Shefford/Shefford"," 72","Granby",58,72,32,51,4,2,219,440
24072,"Shefford/Shefford"," 73","Granby",56,104,29,62,4,6,261,438
24072,"Shefford/Shefford"," 74","Granby",59,82,28,45,8,9,231,418
24072,"Shefford/Shefford"," 75","Granby",56,74,27,35,3,4,199,440
24072,"Shefford/Shefford"," 76A","Granby",21,27,9,16,5,3,81,259
24072,"Shefford/Shefford"," 76B","Granby",28,47,5,23,2,1,106,296
24072,"Shefford/Shefford"," 77A","Granby",31,56,13,26,1,3,130,281
24072,"Shefford/Shefford"," 77B","Granby",50,60,8,19,1,2,140,282
24072,"Shefford/Shefford"," 77C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,63
24072,"Shefford/Shefford"," 78","Granby",46,92,36,35,9,12,230,437
24072,"Shefford/Shefford"," 79","Granby",45,58,23,47,0,3,176,413
24072,"Shefford/Shefford"," 80","Granby",56,93,30,59,9,9,256,472
24072,"Shefford/Shefford"," 81","Granby",49,66,33,28,3,2,181,352
24072,"Shefford/Shefford"," 82","Granby",40,81,13,35,5,3,177,398
24072,"Shefford/Shefford"," 83","Granby",51,101,23,32,2,2,211,452
