Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Boudreau,Vincent François,Jennifer Kaszel,Jamie Nicholls,Peter Schiefke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 1","Pointe-Fortune",24,71,6,58,98,2,259,461
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 2","Rigaud",12,46,8,37,62,1,166,341
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 3","Rigaud",11,65,3,29,59,4,171,372
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 4","Rigaud",17,50,7,37,70,3,184,319
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 5","Rigaud",20,26,2,42,50,1,141,282
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 6","Rigaud",13,40,2,19,51,3,128,319
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 7","Rigaud",9,37,1,21,54,5,127,298
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 8","Rigaud",29,57,3,40,70,2,201,403
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 9","Rigaud",23,33,3,55,80,0,194,382
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 10","Rigaud",31,24,5,35,67,1,163,279
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 11","Rigaud",48,41,7,52,82,4,234,418
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 12","Rigaud",25,35,5,53,88,3,209,439
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 13","Hudson",38,3,4,52,132,0,229,437
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 14","Hudson",17,9,4,64,124,1,219,359
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 15","Hudson",26,9,4,68,147,0,254,468
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 16","Hudson",68,6,7,35,139,1,256,521
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 17","Hudson",29,31,4,44,101,0,209,479
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 18","Vaudreuil-Dorion",41,24,9,49,121,4,248,453
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 19","Hudson",31,4,8,43,156,0,242,433
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 20","Hudson",57,2,10,71,135,0,275,458
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 21","Hudson",29,1,3,58,129,0,220,366
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 22","Hudson",39,3,4,64,149,0,259,439
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 23","Hudson",35,23,11,69,134,0,272,470
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 24","Hudson",40,4,5,69,137,0,255,435
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 25","Vaudreuil-Dorion",32,22,4,49,114,0,221,410
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 26","L'Île-Cadieux",45,43,1,46,104,0,239,453
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 27","L'Île-Cadieux",52,19,2,27,112,1,213,430
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 28","Vaudreuil-Dorion",36,10,2,24,96,0,168,362
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 29","Vaudreuil-sur-le-Lac",37,26,4,46,130,4,247,474
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 30","Vaudreuil-sur-le-Lac",30,53,1,43,105,1,233,447
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 31","Vaudreuil-Dorion",32,33,5,48,130,3,251,468
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 32","Vaudreuil-Dorion",21,30,5,54,134,2,246,484
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 33","Vaudreuil-Dorion",18,28,7,52,104,8,217,377
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 34","Vaudreuil-Dorion",26,22,10,63,112,0,233,411
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 35","Vaudreuil-Dorion",28,21,1,56,138,5,249,474
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 36","Vaudreuil-Dorion",23,27,4,33,99,1,187,399
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges"," 37","L'Île-Perrot",26,41,7,38,118,3,233,447
