Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Aubin,Yvon Boivin,Maxime Rousseau,Dominic Therrien,Éric Trottier,André Valois,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24076,"Trois-Rivières/Trois-Rivières"," 1","Trois-Rivières",74,35,0,54,6,39,0,208,370
24076,"Trois-Rivières/Trois-Rivières"," 2","Trois-Rivières",54,65,0,53,3,21,3,199,417
24076,"Trois-Rivières/Trois-Rivières"," 3","Trois-Rivières",74,77,0,54,1,24,4,234,434
24076,"Trois-Rivières/Trois-Rivières"," 4","Trois-Rivières",74,57,0,53,4,30,3,221,360
24076,"Trois-Rivières/Trois-Rivières"," 5","Trois-Rivières",52,60,1,49,2,26,4,194,364
24076,"Trois-Rivières/Trois-Rivières"," 6","Trois-Rivières",63,54,0,38,5,34,5,199,380
24076,"Trois-Rivières/Trois-Rivières"," 7","Trois-Rivières",57,37,0,35,3,31,1,164,344
24076,"Trois-Rivières/Trois-Rivières"," 8","Trois-Rivières",69,43,3,29,3,36,3,186,446
24076,"Trois-Rivières/Trois-Rivières"," 9A","Trois-Rivières",66,50,0,41,4,40,2,203,415
24076,"Trois-Rivières/Trois-Rivières"," 9B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,70
24076,"Trois-Rivières/Trois-Rivières"," 10","Trois-Rivières",60,82,2,54,3,32,5,238,483
24076,"Trois-Rivières/Trois-Rivières"," 11","Trois-Rivières",62,57,1,30,3,24,1,178,387
24076,"Trois-Rivières/Trois-Rivières"," 12","Trois-Rivières",60,53,0,53,4,24,3,197,397
24076,"Trois-Rivières/Trois-Rivières"," 13","Trois-Rivières",48,77,1,60,2,18,2,208,400
24076,"Trois-Rivières/Trois-Rivières"," 14","Trois-Rivières",66,55,0,60,3,37,1,222,400
24076,"Trois-Rivières/Trois-Rivières"," 15","Trois-Rivières",65,57,1,53,2,35,2,215,374
24076,"Trois-Rivières/Trois-Rivières"," 16","Trois-Rivières",64,66,0,62,5,37,4,238,392
24076,"Trois-Rivières/Trois-Rivières"," 17","Trois-Rivières",77,74,0,49,5,38,7,250,425
24076,"Trois-Rivières/Trois-Rivières"," 18","Trois-Rivières",57,61,1,41,3,42,4,209,408
24076,"Trois-Rivières/Trois-Rivières"," 19","Trois-Rivières",53,72,0,41,8,35,6,215,383
24076,"Trois-Rivières/Trois-Rivières"," 20","Trois-Rivières",62,58,4,27,4,38,2,195,380
24076,"Trois-Rivières/Trois-Rivières"," 21","Trois-Rivières",41,36,0,33,7,40,2,159,382
24076,"Trois-Rivières/Trois-Rivières"," 22","Trois-Rivières",33,55,1,36,4,26,2,157,381
24076,"Trois-Rivières/Trois-Rivières"," 23","Trois-Rivières",29,31,2,11,1,22,5,101,293
24076,"Trois-Rivières/Trois-Rivières"," 24","Trois-Rivières",42,36,1,28,4,24,6,141,406
24076,"Trois-Rivières/Trois-Rivières"," 25","Trois-Rivières",62,45,0,39,0,18,9,173,418
24076,"Trois-Rivières/Trois-Rivières"," 26","Trois-Rivières",52,56,3,25,6,27,2,171,424
24076,"Trois-Rivières/Trois-Rivières"," 27","Trois-Rivières",38,62,2,16,1,36,1,156,371
24076,"Trois-Rivières/Trois-Rivières"," 28","Trois-Rivières",75,58,1,39,4,42,2,221,455
24076,"Trois-Rivières/Trois-Rivières"," 29","Trois-Rivières",67,60,2,43,3,45,7,227,446
24076,"Trois-Rivières/Trois-Rivières"," 30","Trois-Rivières",69,71,1,34,1,22,0,198,403
24076,"Trois-Rivières/Trois-Rivières"," 31","Trois-Rivières",67,61,1,36,1,47,6,219,406
24076,"Trois-Rivières/Trois-Rivières"," 32","Trois-Rivières",42,58,0,33,1,21,1,156,365
24076,"Trois-Rivières/Trois-Rivières"," 33","Trois-Rivières",92,65,0,44,1,26,1,229,423
24076,"Trois-Rivières/Trois-Rivières"," 34","Trois-Rivières",21,30,0,13,2,20,3,89,379
24076,"Trois-Rivières/Trois-Rivières"," 35","Trois-Rivières",38,51,0,30,4,33,5,161,349
24076,"Trois-Rivières/Trois-Rivières"," 36","Trois-Rivières",44,46,0,21,3,20,5,139,299
24076,"Trois-Rivières/Trois-Rivières"," 37","Trois-Rivières",39,59,0,25,2,30,0,155,348
24076,"Trois-Rivières/Trois-Rivières"," 38","Trois-Rivières",53,44,1,32,1,26,1,158,364
24076,"Trois-Rivières/Trois-Rivières"," 39","Trois-Rivières",60,41,3,30,7,38,3,182,371
24076,"Trois-Rivières/Trois-Rivières"," 40A","Trois-Rivières",58,57,0,30,4,51,3,203,401
24076,"Trois-Rivières/Trois-Rivières"," 40B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,12
24076,"Trois-Rivières/Trois-Rivières"," 41","Trois-Rivières",51,47,1,27,4,42,5,177,432
24076,"Trois-Rivières/Trois-Rivières"," 42","Trois-Rivières",36,42,0,20,8,32,0,138,456
24076,"Trois-Rivières/Trois-Rivières"," 43","Trois-Rivières",46,57,5,25,2,52,3,190,448
24076,"Trois-Rivières/Trois-Rivières"," 44","Trois-Rivières",45,44,0,23,7,28,3,150,357
24076,"Trois-Rivières/Trois-Rivières"," 45","Trois-Rivières",19,33,0,26,2,24,4,108,319
24076,"Trois-Rivières/Trois-Rivières"," 46","Trois-Rivières",40,38,3,24,4,39,1,149,374
24076,"Trois-Rivières/Trois-Rivières"," 47","Trois-Rivières",40,42,0,25,3,43,4,157,341
24076,"Trois-Rivières/Trois-Rivières"," 48","Trois-Rivières",48,53,1,32,5,42,2,183,361
24076,"Trois-Rivières/Trois-Rivières"," 49","Trois-Rivières",42,42,0,15,5,32,8,144,383
24076,"Trois-Rivières/Trois-Rivières"," 50A","Trois-Rivières",42,33,0,25,1,32,2,135,336
24076,"Trois-Rivières/Trois-Rivières"," 50B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°511,,,,,,,,46
24076,"Trois-Rivières/Trois-Rivières"," 51","Trois-Rivières",49,35,3,23,5,31,2,148,388
24076,"Trois-Rivières/Trois-Rivières"," 52","Trois-Rivières",48,29,0,24,3,36,5,145,378
24076,"Trois-Rivières/Trois-Rivières"," 53","Trois-Rivières",42,48,0,34,1,30,3,158,394
24076,"Trois-Rivières/Trois-Rivières"," 54","Trois-Rivières",53,52,0,40,5,26,0,176,377
24076,"Trois-Rivières/Trois-Rivières"," 55","Trois-Rivières",53,53,2,34,4,48,3,197,404
24076,"Trois-Rivières/Trois-Rivières"," 56","Trois-Rivières",30,36,0,22,2,24,5,119,318
24076,"Trois-Rivières/Trois-Rivières"," 57","Trois-Rivières",57,53,0,27,6,40,8,191,409
24076,"Trois-Rivières/Trois-Rivières"," 58","Trois-Rivières",23,27,1,20,5,44,5,125,338
24076,"Trois-Rivières/Trois-Rivières"," 59","Trois-Rivières",32,49,0,26,6,21,4,138,358
24076,"Trois-Rivières/Trois-Rivières"," 60","Trois-Rivières",23,39,0,20,2,24,3,111,337
24076,"Trois-Rivières/Trois-Rivières"," 61","Trois-Rivières",36,37,1,21,2,21,2,120,346
24076,"Trois-Rivières/Trois-Rivières"," 62","Trois-Rivières",90,55,0,24,7,42,2,220,521
24076,"Trois-Rivières/Trois-Rivières"," 63","Trois-Rivières",48,46,0,24,6,28,2,154,375
24076,"Trois-Rivières/Trois-Rivières"," 64","Trois-Rivières",46,38,1,8,8,33,1,135,352
24076,"Trois-Rivières/Trois-Rivières"," 65","Trois-Rivières",41,28,0,19,7,38,5,138,423
24076,"Trois-Rivières/Trois-Rivières"," 66","Trois-Rivières",42,41,2,22,6,44,2,159,406
24076,"Trois-Rivières/Trois-Rivières"," 67","Trois-Rivières",73,46,0,29,8,29,1,186,386
24076,"Trois-Rivières/Trois-Rivières"," 68","Trois-Rivières",91,45,2,29,3,25,1,196,384
24076,"Trois-Rivières/Trois-Rivières"," 69","Trois-Rivières",33,40,3,21,1,18,3,119,358
24076,"Trois-Rivières/Trois-Rivières"," 70","Trois-Rivières",58,49,1,9,5,36,5,163,445
24076,"Trois-Rivières/Trois-Rivières"," 71A","Trois-Rivières",55,31,2,20,4,20,3,135,232
24076,"Trois-Rivières/Trois-Rivières"," 71B","Trois-Rivières",49,74,2,19,1,15,4,164,210
24076,"Trois-Rivières/Trois-Rivières"," 72","Trois-Rivières",40,32,0,10,1,23,3,109,379
24076,"Trois-Rivières/Trois-Rivières"," 73","Trois-Rivières",28,26,2,18,4,17,2,97,350
24076,"Trois-Rivières/Trois-Rivières"," 74","Trois-Rivières",101,48,1,37,9,58,6,260,439
24076,"Trois-Rivières/Trois-Rivières"," 75","Trois-Rivières",111,76,1,46,4,42,2,282,460
24076,"Trois-Rivières/Trois-Rivières"," 76","Trois-Rivières",79,69,2,39,7,39,5,240,414
24076,"Trois-Rivières/Trois-Rivières"," 77","Trois-Rivières",82,57,0,22,5,26,1,193,442
24076,"Trois-Rivières/Trois-Rivières"," 78","Trois-Rivières",60,49,0,23,10,28,5,175,417
24076,"Trois-Rivières/Trois-Rivières"," 79","Trois-Rivières",49,61,0,43,5,26,2,186,422
24076,"Trois-Rivières/Trois-Rivières"," 80","Trois-Rivières",23,44,1,27,0,14,2,111,444
24076,"Trois-Rivières/Trois-Rivières"," 81A","Trois-Rivières",38,48,1,23,3,30,3,146,410
24076,"Trois-Rivières/Trois-Rivières"," 81B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,38
24076,"Trois-Rivières/Trois-Rivières"," 82","Trois-Rivières",52,49,1,32,3,40,8,185,463
24076,"Trois-Rivières/Trois-Rivières"," 83","Trois-Rivières",54,61,1,29,3,20,2,170,405
24076,"Trois-Rivières/Trois-Rivières"," 84","Trois-Rivières",51,55,0,37,1,33,0,177,326
24076,"Trois-Rivières/Trois-Rivières"," 85","Trois-Rivières",42,46,0,24,0,17,1,130,250
24076,"Trois-Rivières/Trois-Rivières"," 86","Trois-Rivières",31,42,1,34,2,18,2,130,361
24076,"Trois-Rivières/Trois-Rivières"," 87","Trois-Rivières",56,50,0,45,2,37,2,192,365
24076,"Trois-Rivières/Trois-Rivières"," 88","Trois-Rivières",71,70,1,62,3,26,2,235,379
24076,"Trois-Rivières/Trois-Rivières"," 89","Trois-Rivières",70,50,0,48,6,46,3,223,412
24076,"Trois-Rivières/Trois-Rivières"," 90","Trois-Rivières",71,42,2,23,3,35,3,179,429
24076,"Trois-Rivières/Trois-Rivières"," 91","Trois-Rivières",89,73,2,43,4,57,4,272,490
24076,"Trois-Rivières/Trois-Rivières"," 92","Trois-Rivières",61,47,1,19,2,36,2,168,331
24076,"Trois-Rivières/Trois-Rivières"," 93","Trois-Rivières",72,71,0,39,3,42,1,228,388
24076,"Trois-Rivières/Trois-Rivières"," 94","Trois-Rivières",82,71,1,41,1,42,4,242,492
24076,"Trois-Rivières/Trois-Rivières"," 95","Trois-Rivières",83,85,0,60,3,29,1,261,498
24076,"Trois-Rivières/Trois-Rivières"," 96","Trois-Rivières",62,75,0,50,4,10,2,203,350
24076,"Trois-Rivières/Trois-Rivières"," 97","Trois-Rivières",76,97,1,36,0,38,4,252,453
24076,"Trois-Rivières/Trois-Rivières"," 98","Trois-Rivières",46,74,0,31,0,23,5,179,349
24076,"Trois-Rivières/Trois-Rivières"," 99","Trois-Rivières",61,55,1,29,2,28,1,177,342
24076,"Trois-Rivières/Trois-Rivières"," 100","Trois-Rivières",57,46,1,30,4,35,4,177,343
24076,"Trois-Rivières/Trois-Rivières"," 101","Trois-Rivières",51,43,0,34,2,26,1,157,345
24076,"Trois-Rivières/Trois-Rivières"," 102","Trois-Rivières",78,83,1,53,5,38,4,262,470
24076,"Trois-Rivières/Trois-Rivières"," 103","Trois-Rivières",62,62,0,67,3,43,2,239,414
24076,"Trois-Rivières/Trois-Rivières"," 104","Trois-Rivières",62,44,2,48,2,51,3,212,436
24076,"Trois-Rivières/Trois-Rivières"," 105","Trois-Rivières",62,42,0,38,5,21,3,171,314
24076,"Trois-Rivières/Trois-Rivières"," 106","Trois-Rivières",112,70,2,60,3,34,3,284,497
24076,"Trois-Rivières/Trois-Rivières"," 107","Trois-Rivières",54,58,1,21,5,22,1,162,299
24076,"Trois-Rivières/Trois-Rivières"," 108","Trois-Rivières",59,47,1,37,2,33,4,183,424
24076,"Trois-Rivières/Trois-Rivières"," 109","Trois-Rivières",45,52,1,33,5,22,1,159,339
24076,"Trois-Rivières/Trois-Rivières"," 110","Trois-Rivières",71,76,1,47,3,41,2,241,443
24076,"Trois-Rivières/Trois-Rivières"," 111","Trois-Rivières",69,59,1,44,10,39,2,224,438
24076,"Trois-Rivières/Trois-Rivières"," 112","Trois-Rivières",61,63,1,35,1,37,5,203,397
24076,"Trois-Rivières/Trois-Rivières"," 113","Trois-Rivières",50,34,0,34,3,35,6,162,373
24076,"Trois-Rivières/Trois-Rivières"," 114","Trois-Rivières",60,66,3,53,5,25,3,215,517
24076,"Trois-Rivières/Trois-Rivières"," 115","Trois-Rivières",45,63,0,43,1,28,2,182,388
24076,"Trois-Rivières/Trois-Rivières"," 116","Trois-Rivières",36,52,0,30,2,16,0,136,315
24076,"Trois-Rivières/Trois-Rivières"," 117","Trois-Rivières",49,92,1,41,2,23,3,211,419
24076,"Trois-Rivières/Trois-Rivières"," 118","Trois-Rivières",81,64,0,36,1,31,1,214,385
24076,"Trois-Rivières/Trois-Rivières"," 119","Trois-Rivières",46,54,1,32,0,20,0,153,296
24076,"Trois-Rivières/Trois-Rivières"," 120","Trois-Rivières",62,84,0,47,3,30,2,228,422
24076,"Trois-Rivières/Trois-Rivières"," 121","Trois-Rivières",64,79,1,52,5,35,1,237,483
24076,"Trois-Rivières/Trois-Rivières"," 122","Trois-Rivières",84,101,4,41,4,40,3,277,550
24076,"Trois-Rivières/Trois-Rivières"," 123","Trois-Rivières",72,67,0,18,3,33,1,194,453
24076,"Trois-Rivières/Trois-Rivières"," 124A","Trois-Rivières",42,38,0,18,0,23,1,122,272
24076,"Trois-Rivières/Trois-Rivières"," 124B","Trois-Rivières",Merged with No./Fusionné avec le n°400,,,,,,,,51
24076,"Trois-Rivières/Trois-Rivières"," 125","Trois-Rivières",Void/Supprimé,,,,,,,,
24076,"Trois-Rivières/Trois-Rivières"," 126","Trois-Rivières",57,42,2,22,8,41,0,172,355
24076,"Trois-Rivières/Trois-Rivières"," 127A","Trois-Rivières",56,39,1,20,3,34,2,155,356
24076,"Trois-Rivières/Trois-Rivières"," 127B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510,,,,,,,,22
24076,"Trois-Rivières/Trois-Rivières"," 128","Trois-Rivières",37,36,3,9,2,12,3,102,275
24076,"Trois-Rivières/Trois-Rivières"," 129","Trois-Rivières",48,61,1,17,3,18,4,152,293
24076,"Trois-Rivières/Trois-Rivières"," 130","Trois-Rivières",49,55,0,30,1,32,3,170,410
24076,"Trois-Rivières/Trois-Rivières"," 131","Trois-Rivières",32,47,0,17,1,22,2,121,446
24076,"Trois-Rivières/Trois-Rivières"," 132","Trois-Rivières",70,45,1,29,3,39,3,190,429
24076,"Trois-Rivières/Trois-Rivières"," 133","Trois-Rivières",55,64,0,32,3,33,6,193,352
24076,"Trois-Rivières/Trois-Rivières"," 134","Trois-Rivières",64,43,0,28,2,25,4,166,339
24076,"Trois-Rivières/Trois-Rivières"," 135","Trois-Rivières",41,51,0,18,3,34,2,149,324
24076,"Trois-Rivières/Trois-Rivières"," 136","Trois-Rivières",24,39,1,7,0,15,0,86,271
24076,"Trois-Rivières/Trois-Rivières"," 137","Trois-Rivières",56,65,0,36,4,40,4,205,468
24076,"Trois-Rivières/Trois-Rivières"," 138","Trois-Rivières",63,39,0,19,7,45,4,177,311
24076,"Trois-Rivières/Trois-Rivières"," 139","Trois-Rivières",40,27,0,15,3,22,0,107,283
24076,"Trois-Rivières/Trois-Rivières"," 140","Trois-Rivières",57,45,1,16,7,39,2,167,328
24076,"Trois-Rivières/Trois-Rivières"," 141","Trois-Rivières",38,29,2,15,2,27,2,115,287
24076,"Trois-Rivières/Trois-Rivières"," 142","Trois-Rivières",64,45,1,17,3,47,1,178,395
24076,"Trois-Rivières/Trois-Rivières"," 143","Trois-Rivières",68,50,0,25,3,33,2,181,336
24076,"Trois-Rivières/Trois-Rivières"," 144","Trois-Rivières",41,35,0,4,3,17,3,103,360
24076,"Trois-Rivières/Trois-Rivières"," 145","Trois-Rivières",33,25,1,9,2,22,1,93,317
24076,"Trois-Rivières/Trois-Rivières"," 146","Trois-Rivières",52,51,0,18,3,36,2,162,394
24076,"Trois-Rivières/Trois-Rivières"," 147","Trois-Rivières",45,37,1,10,1,30,3,127,493
24076,"Trois-Rivières/Trois-Rivières"," 148","Trois-Rivières",51,78,2,19,8,24,3,185,320
24076,"Trois-Rivières/Trois-Rivières"," 149A","Trois-Rivières",48,33,0,12,4,21,0,118,203
24076,"Trois-Rivières/Trois-Rivières"," 149B","Trois-Rivières",56,161,1,55,1,25,2,301,347
24076,"Trois-Rivières/Trois-Rivières"," 150","Trois-Rivières",15,34,1,6,1,26,1,84,321
24076,"Trois-Rivières/Trois-Rivières"," 151A","Trois-Rivières",64,36,2,14,3,47,0,166,354
24076,"Trois-Rivières/Trois-Rivières"," 151B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,,,11
24076,"Trois-Rivières/Trois-Rivières"," 152","Trois-Rivières",56,34,0,12,3,24,1,130,388
24076,"Trois-Rivières/Trois-Rivières"," 153","Trois-Rivières",24,12,1,13,3,28,2,83,299
24076,"Trois-Rivières/Trois-Rivières"," 154","Trois-Rivières",37,27,0,15,4,22,0,105,348
