Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Alexander,Stephanie Brown,Jeff Hill,Mark Holland,Bob Kesic,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35001,"Ajax/Ajax"," 1","Ajax",99,10,1,100,0,0,210,503
35001,"Ajax/Ajax"," 2","Ajax",86,13,1,113,0,1,214,406
35001,"Ajax/Ajax"," 3","Ajax",68,18,3,159,0,1,249,497
35001,"Ajax/Ajax"," 4A","Ajax",42,18,1,108,0,1,170,366
35001,"Ajax/Ajax"," 4B","Ajax",29,10,0,129,0,0,168,325
35001,"Ajax/Ajax"," 5","Ajax",67,21,3,149,1,0,241,450
35001,"Ajax/Ajax"," 6","Ajax",85,5,0,109,0,1,200,409
35001,"Ajax/Ajax"," 7","Ajax",67,27,3,146,1,0,244,480
35001,"Ajax/Ajax"," 8","Ajax",52,14,2,177,0,1,246,512
35001,"Ajax/Ajax"," 9","Ajax",70,16,1,160,0,1,248,462
35001,"Ajax/Ajax"," 10","Ajax",57,13,1,149,0,3,223,456
35001,"Ajax/Ajax"," 11","Ajax",76,21,2,165,0,1,265,487
35001,"Ajax/Ajax"," 12","Ajax",64,22,4,175,0,2,267,540
35001,"Ajax/Ajax"," 13A","Ajax",41,10,1,92,0,0,144,286
35001,"Ajax/Ajax"," 13B","Ajax",45,11,0,84,0,1,141,276
35001,"Ajax/Ajax"," 14","Ajax",60,19,1,143,0,0,223,481
35001,"Ajax/Ajax"," 15","Ajax",78,18,3,139,0,2,240,429
35001,"Ajax/Ajax"," 16","Ajax",74,11,2,123,0,2,212,501
35001,"Ajax/Ajax"," 17","Ajax",69,12,1,178,0,2,262,552
35001,"Ajax/Ajax"," 18","Ajax",47,16,3,133,0,2,201,499
35001,"Ajax/Ajax"," 19","Ajax",63,7,2,107,1,0,180,436
35001,"Ajax/Ajax"," 20","Ajax",45,9,0,143,0,2,199,430
35001,"Ajax/Ajax"," 21","Ajax",60,17,2,113,0,1,193,396
35001,"Ajax/Ajax"," 22A","Ajax",46,17,4,128,0,2,197,378
35001,"Ajax/Ajax"," 22B","Ajax",55,13,1,95,0,0,164,365
35001,"Ajax/Ajax"," 23","Ajax",81,20,1,123,0,0,225,429
35001,"Ajax/Ajax"," 24","Ajax",82,19,3,143,0,1,248,482
35001,"Ajax/Ajax"," 25","Ajax",53,15,4,154,0,1,227,503
35001,"Ajax/Ajax"," 26","Ajax",62,16,1,124,0,0,203,481
35001,"Ajax/Ajax"," 27","Ajax",55,26,2,127,0,1,211,559
35001,"Ajax/Ajax"," 28A","Ajax",42,10,1,111,0,2,166,345
35001,"Ajax/Ajax"," 28B","Ajax",36,6,2,83,0,0,127,326
35001,"Ajax/Ajax"," 29","Ajax",71,13,2,143,0,3,232,488
35001,"Ajax/Ajax"," 30","Ajax",72,9,1,184,0,3,269,540
35001,"Ajax/Ajax"," 31","Ajax",66,9,0,89,0,1,165,399
35001,"Ajax/Ajax"," 32","Ajax",86,20,2,133,0,6,247,445
35001,"Ajax/Ajax"," 33","Ajax",106,31,3,127,0,2,269,491
35001,"Ajax/Ajax"," 34","Ajax",73,24,2,93,0,0,192,428
35001,"Ajax/Ajax"," 35","Ajax",60,14,3,108,0,16,201,384
35001,"Ajax/Ajax"," 36","Ajax",44,29,4,128,0,4,209,451
35001,"Ajax/Ajax"," 37","Ajax",50,15,0,123,0,1,189,387
35001,"Ajax/Ajax"," 38","Ajax",58,14,2,99,0,1,174,360
35001,"Ajax/Ajax"," 39","Ajax",67,8,6,123,0,0,204,369
