Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karthika Gobinath,Kamal Khera,Adaoma Patterson,Ninder Thind,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Brampton West/Brampton-Ouest"," 1","Brampton",5,120,16,50,0,191,412
35012,"Brampton West/Brampton-Ouest"," 2","Brampton",4,113,31,74,3,225,452
35012,"Brampton West/Brampton-Ouest"," 3","Brampton",3,91,12,84,0,190,469
35012,"Brampton West/Brampton-Ouest"," 4","Brampton",5,130,18,73,3,229,471
35012,"Brampton West/Brampton-Ouest"," 5","Brampton",2,138,27,73,1,241,510
35012,"Brampton West/Brampton-Ouest"," 6","Brampton",3,144,25,45,1,218,464
35012,"Brampton West/Brampton-Ouest"," 7","Brampton",5,101,36,50,2,194,355
35012,"Brampton West/Brampton-Ouest"," 8","Brampton",3,119,37,86,0,245,495
35012,"Brampton West/Brampton-Ouest"," 9","Brampton",1,115,33,44,0,193,447
35012,"Brampton West/Brampton-Ouest"," 10","Brampton",6,107,20,56,0,189,416
35012,"Brampton West/Brampton-Ouest"," 11","Brampton",5,108,34,71,1,219,485
35012,"Brampton West/Brampton-Ouest"," 12","Brampton",0,80,15,42,0,137,288
35012,"Brampton West/Brampton-Ouest"," 13","Brampton",3,100,28,61,3,195,412
35012,"Brampton West/Brampton-Ouest"," 14","Brampton",4,101,15,59,1,180,386
35012,"Brampton West/Brampton-Ouest"," 15","Brampton",2,80,22,47,1,152,348
35012,"Brampton West/Brampton-Ouest"," 16","Brampton",1,149,31,70,3,254,543
35012,"Brampton West/Brampton-Ouest"," 17","Brampton",4,124,40,72,3,243,507
35012,"Brampton West/Brampton-Ouest"," 18","Brampton",8,113,19,44,1,185,406
35012,"Brampton West/Brampton-Ouest"," 19","Brampton",7,110,36,66,1,220,415
35012,"Brampton West/Brampton-Ouest"," 20","Brampton",4,102,32,53,0,191,481
35012,"Brampton West/Brampton-Ouest"," 21","Brampton",4,144,37,82,0,267,550
35012,"Brampton West/Brampton-Ouest"," 22","Brampton",4,102,9,69,0,184,415
35012,"Brampton West/Brampton-Ouest"," 23","Brampton",0,127,18,65,3,213,525
35012,"Brampton West/Brampton-Ouest"," 24","Brampton",1,102,8,54,1,166,359
35012,"Brampton West/Brampton-Ouest"," 25","Brampton",1,85,21,41,4,152,372
35012,"Brampton West/Brampton-Ouest"," 26","Brampton",2,116,31,55,3,207,462
35012,"Brampton West/Brampton-Ouest"," 27","Brampton",1,60,27,28,0,116,297
35012,"Brampton West/Brampton-Ouest"," 28","Brampton",5,92,30,45,5,177,463
35012,"Brampton West/Brampton-Ouest"," 29","Brampton",1,128,22,47,2,200,554
35012,"Brampton West/Brampton-Ouest"," 30","Brampton",1,111,12,35,2,161,478
35012,"Brampton West/Brampton-Ouest"," 31","Brampton",1,116,26,50,1,194,470
35012,"Brampton West/Brampton-Ouest"," 32","Brampton",2,97,16,42,2,159,380
35012,"Brampton West/Brampton-Ouest"," 33","Brampton",3,85,11,35,1,135,311
35012,"Brampton West/Brampton-Ouest"," 34","Brampton",2,107,16,53,0,178,416
35012,"Brampton West/Brampton-Ouest"," 35","Brampton",3,98,38,50,0,189,472
35012,"Brampton West/Brampton-Ouest"," 36","Brampton",2,108,23,111,1,245,549
35012,"Brampton West/Brampton-Ouest"," 37","Brampton",6,124,19,72,1,222,531
35012,"Brampton West/Brampton-Ouest"," 38","Brampton",5,109,23,37,0,174,461
35012,"Brampton West/Brampton-Ouest"," 39","Brampton",3,110,21,65,0,199,437
35012,"Brampton West/Brampton-Ouest"," 40","Brampton",6,130,26,67,0,229,460
