Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Brandt,Rob Ferguson,Marc Laferriere,Phil McColeman,Danielle Takacs,The Engineer Turmel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Brantford--Brant/Brantford--Brant"," 1","Brant",7,3,46,200,88,1,1,346,548
35013,"Brantford--Brant/Brantford--Brant"," 2","Brant",7,3,29,137,50,0,1,227,398
35013,"Brantford--Brant/Brantford--Brant"," 3","Brant",8,2,26,119,69,1,0,225,427
35013,"Brantford--Brant/Brantford--Brant"," 4","Brant",8,2,29,147,86,2,2,276,494
35013,"Brantford--Brant/Brantford--Brant"," 5","Brant",12,2,25,147,65,0,0,251,427
35013,"Brantford--Brant/Brantford--Brant"," 6","Brant",7,3,33,151,76,0,1,271,431
35013,"Brantford--Brant/Brantford--Brant"," 7","Brant",7,6,35,129,73,1,0,251,420
35013,"Brantford--Brant/Brantford--Brant"," 8","Brant",4,1,34,140,65,0,2,246,476
35013,"Brantford--Brant/Brantford--Brant"," 9","Brant",3,2,22,165,54,1,1,248,448
35013,"Brantford--Brant/Brantford--Brant"," 10","Brant",9,3,23,107,58,0,0,200,379
35013,"Brantford--Brant/Brantford--Brant"," 11","Brant",10,3,57,168,86,1,2,327,538
35013,"Brantford--Brant/Brantford--Brant"," 12","Brantford",1,1,31,93,74,1,0,201,358
35013,"Brantford--Brant/Brantford--Brant"," 13","Brantford",1,1,56,73,53,0,2,186,324
35013,"Brantford--Brant/Brantford--Brant"," 14","Brantford",2,2,42,92,59,0,2,199,329
35013,"Brantford--Brant/Brantford--Brant"," 15","Brantford",7,2,88,77,69,1,2,246,429
35013,"Brantford--Brant/Brantford--Brant"," 16","Brantford",6,7,86,77,72,0,3,251,433
35013,"Brantford--Brant/Brantford--Brant"," 17","Brantford",5,0,61,70,51,0,0,187,347
35013,"Brantford--Brant/Brantford--Brant"," 18","Brantford",7,0,64,65,56,0,1,193,341
35013,"Brantford--Brant/Brantford--Brant"," 19","Brantford",4,1,39,74,57,0,0,175,320
35013,"Brantford--Brant/Brantford--Brant"," 20","Brantford",4,3,102,79,68,1,1,258,478
35013,"Brantford--Brant/Brantford--Brant"," 21","Brantford",3,2,57,83,52,0,1,198,335
35013,"Brantford--Brant/Brantford--Brant"," 22","Brantford",5,2,55,141,102,2,2,309,499
35013,"Brantford--Brant/Brantford--Brant"," 23","Brantford",4,3,43,99,88,1,0,238,416
35013,"Brantford--Brant/Brantford--Brant"," 24","Brantford",3,3,56,74,68,0,1,205,424
35013,"Brantford--Brant/Brantford--Brant"," 25","Brantford",5,1,61,134,42,1,1,245,438
35013,"Brantford--Brant/Brantford--Brant"," 26","Brantford",4,0,38,81,82,1,0,206,386
35013,"Brantford--Brant/Brantford--Brant"," 27","Brantford",9,1,58,85,58,1,1,213,394
