Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Khalid Ahmed,Maureen Harquail,Yasmin Ratansi,Laura Elizabeth Sanderson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35019,"Don Valley East/Don Valley-Est"," 1","North York",28,69,161,10,0,268,493
35019,"Don Valley East/Don Valley-Est"," 2","North York",25,101,149,10,0,285,500
35019,"Don Valley East/Don Valley-Est"," 3","North York",Void/Supprimé,,,,,,
35019,"Don Valley East/Don Valley-Est"," 4","North York",11,33,83,6,0,133,338
35019,"Don Valley East/Don Valley-Est"," 5","North York",19,31,96,4,1,151,402
35019,"Don Valley East/Don Valley-Est"," 6","North York",31,65,108,7,2,213,451
35019,"Don Valley East/Don Valley-Est"," 7","North York",19,44,82,1,3,149,283
35019,"Don Valley East/Don Valley-Est"," 8","North York",20,35,104,5,0,164,388
35019,"Don Valley East/Don Valley-Est"," 9","North York",14,50,88,4,1,157,365
35019,"Don Valley East/Don Valley-Est"," 10","North York",11,86,107,10,3,217,392
35019,"Don Valley East/Don Valley-Est"," 11","North York",26,46,108,4,0,184,383
35019,"Don Valley East/Don Valley-Est"," 12","North York",19,58,98,4,0,179,337
35019,"Don Valley East/Don Valley-Est"," 13","North York",21,78,133,5,1,238,464
35019,"Don Valley East/Don Valley-Est"," 14","North York",16,75,124,3,2,220,439
35019,"Don Valley East/Don Valley-Est"," 15","North York",38,68,89,8,2,205,442
35019,"Don Valley East/Don Valley-Est"," 16","North York",33,86,128,9,0,256,526
35019,"Don Valley East/Don Valley-Est"," 17","North York",8,31,118,4,0,161,413
35019,"Don Valley East/Don Valley-Est"," 18","North York",17,41,112,15,1,186,420
35019,"Don Valley East/Don Valley-Est"," 19","North York",41,38,162,2,1,244,366
35019,"Don Valley East/Don Valley-Est"," 20","North York",24,31,97,0,0,152,415
35019,"Don Valley East/Don Valley-Est"," 21","North York",16,70,139,7,4,236,540
35019,"Don Valley East/Don Valley-Est"," 22","North York",14,76,137,8,0,235,486
35019,"Don Valley East/Don Valley-Est"," 23A","North York",28,20,68,5,0,121,308
35019,"Don Valley East/Don Valley-Est"," 23B","North York",22,42,54,4,0,122,342
35019,"Don Valley East/Don Valley-Est"," 24","North York",8,19,61,1,1,90,295
35019,"Don Valley East/Don Valley-Est"," 25","North York",13,65,98,1,1,178,360
35019,"Don Valley East/Don Valley-Est"," 26","North York",6,86,77,6,3,178,329
35019,"Don Valley East/Don Valley-Est"," 27","North York",11,108,95,4,0,218,394
35019,"Don Valley East/Don Valley-Est"," 28","North York",24,57,98,1,3,183,429
35019,"Don Valley East/Don Valley-Est"," 29","North York",25,49,130,6,0,210,420
35019,"Don Valley East/Don Valley-Est"," 30","North York",9,95,126,6,0,236,414
35019,"Don Valley East/Don Valley-Est"," 31","North York",14,98,101,8,0,221,456
