Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stacey Leadbetter,Andrew Moriarity,Erin O'Toole,Derek Spence,Corinna Traill,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35023,"Durham/Durham"," 1","Scugog",7,0,69,34,60,0,170,332
35023,"Durham/Durham"," 2","Scugog",8,0,98,27,55,0,188,311
35023,"Durham/Durham"," 3","Scugog",10,4,83,36,59,1,193,330
35023,"Durham/Durham"," 4","Scugog",1,1,73,42,54,1,172,303
35023,"Durham/Durham"," 5","Scugog",6,2,76,40,45,1,170,299
35023,"Durham/Durham"," 6","Scugog",11,4,111,52,69,0,247,406
35023,"Durham/Durham"," 7","Scugog",6,1,97,27,41,0,172,319
35023,"Durham/Durham"," 8","Scugog",7,0,87,40,72,2,208,408
35023,"Durham/Durham"," 9","Scugog",10,1,76,42,50,0,179,369
35023,"Durham/Durham"," 10","Scugog",6,3,108,46,57,1,221,405
35023,"Durham/Durham"," 11","Scugog",4,0,105,38,68,1,216,377
35023,"Durham/Durham"," 12","Scugog",1,1,85,40,52,0,179,344
35023,"Durham/Durham"," 13","Scugog",1,0,94,27,71,0,193,354
35023,"Durham/Durham"," 14","Scugog",3,0,88,24,45,0,160,306
35023,"Durham/Durham"," 15","Scugog",5,0,115,21,68,0,209,374
35023,"Durham/Durham"," 16","Scugog",9,3,106,19,64,1,202,400
35023,"Durham/Durham"," 17","Scugog",1,0,82,32,46,2,163,287
35023,"Durham/Durham"," 18","Scugog",3,0,73,11,51,0,138,298
35023,"Durham/Durham"," 19","Scugog",5,0,138,9,68,0,220,364
35023,"Durham/Durham"," 20","Scugog",1,0,120,4,75,0,200,301
35023,"Durham/Durham"," 21","Scugog",6,0,72,30,44,0,152,296
35023,"Durham/Durham"," 22","Scugog",4,2,66,18,41,1,132,277
35023,"Durham/Durham"," 23","Scugog",6,2,119,29,63,0,219,355
35023,"Durham/Durham"," 24","Scugog",6,4,104,22,67,0,203,340
35023,"Durham/Durham"," 25","Scugog",9,3,110,22,57,0,201,329
35023,"Durham/Durham"," 26","Scugog",9,0,94,22,54,0,179,326
35023,"Durham/Durham"," 27","Scugog",12,0,74,16,46,0,148,289
35023,"Durham/Durham"," 28","Scugog",8,1,58,20,42,0,129,273
35023,"Durham/Durham"," 29","Scugog",4,0,88,18,49,1,160,317
35023,"Durham/Durham"," 30","Scugog",5,4,74,19,50,1,153,286
35023,"Durham/Durham"," 31","Scugog",9,1,122,26,88,2,248,419
35023,"Durham/Durham"," 32","Scugog",6,1,78,28,80,0,193,394
35023,"Durham/Durham"," 33","Scugog",6,1,112,32,76,0,227,434
35023,"Durham/Durham"," 34","Scugog",6,1,91,26,61,1,186,345
35023,"Durham/Durham"," 35","Scugog",7,1,93,35,76,1,213,383
35023,"Durham/Durham"," 36","Scugog",5,2,77,28,75,2,189,309
35023,"Durham/Durham"," 37","Scugog",7,1,71,20,60,3,162,292
35023,"Durham/Durham"," 38","Scugog",4,0,70,25,41,0,140,279
35023,"Durham/Durham"," 39","Scugog",6,2,79,13,65,0,165,300
35023,"Durham/Durham"," 40","Scugog",6,1,113,25,78,0,223,395
35023,"Durham/Durham"," 41","Scugog",8,2,97,24,52,0,183,323
35023,"Durham/Durham"," 42","Scugog",11,3,79,17,54,0,164,314
35023,"Durham/Durham"," 43","Scugog",3,3,116,27,58,0,207,379
35023,"Durham/Durham"," 44","Scugog",2,1,95,31,68,2,199,367
35023,"Durham/Durham"," 45","Scugog",1,0,93,28,99,0,221,404
35023,"Durham/Durham"," 46","Scugog",5,0,115,21,76,1,218,429
35023,"Durham/Durham"," 47","Scugog",8,0,93,24,51,1,177,334
35023,"Durham/Durham"," 48","Scugog",9,0,90,17,103,2,221,460
35023,"Durham/Durham"," 49","Scugog",11,0,101,29,71,0,212,464
35023,"Durham/Durham"," 50","Oshawa",13,2,98,19,70,1,203,394
35023,"Durham/Durham"," 51","Oshawa",6,2,126,23,69,1,227,402
35023,"Durham/Durham"," 52","Oshawa",8,0,92,30,68,0,198,379
35023,"Durham/Durham"," 53","Clarington",5,5,115,16,51,0,192,403
35023,"Durham/Durham"," 54","Clarington",10,1,95,22,83,0,211,414
35023,"Durham/Durham"," 55","Clarington",2,1,81,18,73,0,175,337
35023,"Durham/Durham"," 56","Clarington",4,0,91,21,49,0,165,281
35023,"Durham/Durham"," 57","Clarington",6,0,131,44,77,1,259,425
35023,"Durham/Durham"," 58","Clarington",4,4,121,35,77,1,242,373
35023,"Durham/Durham"," 59","Clarington",2,9,107,20,74,2,214,343
35023,"Durham/Durham"," 60","Clarington",5,4,93,26,44,0,172,340
35023,"Durham/Durham"," 61","Clarington",9,0,97,33,55,0,194,341
35023,"Durham/Durham"," 62","Clarington",6,1,88,24,60,1,180,373
35023,"Durham/Durham"," 63","Clarington",3,3,83,22,62,0,173,338
35023,"Durham/Durham"," 64","Clarington",1,4,84,21,55,0,165,270
35023,"Durham/Durham"," 65A","Clarington",4,2,92,20,61,0,179,336
35023,"Durham/Durham"," 65B","Clarington",1,2,83,25,75,1,187,312
35023,"Durham/Durham"," 66","Clarington",9,3,116,22,45,1,196,363
35023,"Durham/Durham"," 67","Clarington",7,1,103,28,47,0,186,334
35023,"Durham/Durham"," 68","Clarington",2,0,96,23,61,0,182,285
35023,"Durham/Durham"," 69","Clarington",6,0,56,37,32,0,131,257
35023,"Durham/Durham"," 70","Clarington",5,2,72,25,69,0,173,319
35023,"Durham/Durham"," 71","Clarington",5,1,85,55,50,0,196,339
35023,"Durham/Durham"," 72","Clarington",8,3,82,44,55,0,192,333
35023,"Durham/Durham"," 73","Clarington",3,0,73,23,45,0,144,277
35023,"Durham/Durham"," 74","Clarington",5,0,84,21,66,0,176,268
35023,"Durham/Durham"," 75","Clarington",5,2,101,47,98,0,253,477
35023,"Durham/Durham"," 76","Clarington",6,2,106,43,61,0,218,378
35023,"Durham/Durham"," 77","Clarington",6,1,81,35,68,1,192,321
35023,"Durham/Durham"," 78","Clarington",4,0,69,28,62,0,163,290
35023,"Durham/Durham"," 79","Clarington",9,0,40,30,33,1,113,268
35023,"Durham/Durham"," 80","Clarington",8,0,111,35,68,2,224,428
35023,"Durham/Durham"," 81","Clarington",0,0,155,35,87,0,277,416
35023,"Durham/Durham"," 82","Clarington",5,1,114,62,143,1,326,540
35023,"Durham/Durham"," 83","Clarington",6,1,116,53,91,1,268,412
35023,"Durham/Durham"," 84","Clarington",2,0,76,40,65,1,184,280
35023,"Durham/Durham"," 85","Clarington",11,1,103,50,109,0,274,481
35023,"Durham/Durham"," 86","Clarington",18,3,91,37,108,0,257,446
35023,"Durham/Durham"," 87","Clarington",8,3,78,54,96,0,239,415
35023,"Durham/Durham"," 88","Clarington",7,1,104,28,69,1,210,345
35023,"Durham/Durham"," 89","Clarington",4,2,59,31,63,0,159,313
35023,"Durham/Durham"," 90","Clarington",5,3,64,32,65,0,169,338
35023,"Durham/Durham"," 91","Clarington",5,0,78,38,69,3,193,388
35023,"Durham/Durham"," 92A","Clarington",5,0,87,39,96,2,229,471
35023,"Durham/Durham"," 92B","Clarington",2,1,103,28,80,0,214,403
35023,"Durham/Durham"," 93","Clarington",4,0,50,11,71,1,137,288
35023,"Durham/Durham"," 94","Clarington",8,2,46,28,51,0,135,258
35023,"Durham/Durham"," 95","Clarington",3,0,116,32,76,1,228,479
35023,"Durham/Durham"," 96","Clarington",3,0,103,28,63,2,199,364
35023,"Durham/Durham"," 97","Clarington",4,1,76,23,37,0,141,262
35023,"Durham/Durham"," 98","Clarington",1,1,52,29,64,0,147,270
35023,"Durham/Durham"," 99","Clarington",5,0,75,14,60,0,154,300
35023,"Durham/Durham"," 100","Clarington",3,0,66,24,97,2,192,404
35023,"Durham/Durham"," 101","Clarington",4,0,91,32,92,0,219,382
35023,"Durham/Durham"," 102","Clarington",5,0,94,49,103,1,252,465
35023,"Durham/Durham"," 103","Clarington",1,4,101,50,71,3,230,370
35023,"Durham/Durham"," 104","Clarington",3,3,107,29,80,0,222,338
35023,"Durham/Durham"," 105","Clarington",2,0,101,44,95,0,242,408
35023,"Durham/Durham"," 106","Clarington",1,0,77,25,86,1,190,318
35023,"Durham/Durham"," 107","Clarington",6,1,74,41,76,3,201,353
35023,"Durham/Durham"," 108","Clarington",6,0,82,37,60,1,186,357
35023,"Durham/Durham"," 109","Clarington",4,1,98,42,52,0,197,367
35023,"Durham/Durham"," 110","Clarington",5,0,80,32,83,0,200,393
35023,"Durham/Durham"," 111","Clarington",2,0,51,16,74,0,143,262
35023,"Durham/Durham"," 112","Clarington",2,2,53,18,61,0,136,249
35023,"Durham/Durham"," 113","Clarington",3,0,59,35,66,0,163,358
35023,"Durham/Durham"," 114","Clarington",3,0,46,36,58,0,143,270
35023,"Durham/Durham"," 115","Clarington",4,1,60,34,57,3,159,329
35023,"Durham/Durham"," 116","Clarington",5,0,45,12,40,0,102,217
35023,"Durham/Durham"," 117","Clarington",2,0,51,24,63,1,141,281
35023,"Durham/Durham"," 118","Clarington",7,0,63,28,56,0,154,310
35023,"Durham/Durham"," 119","Clarington",10,0,82,29,59,0,180,333
35023,"Durham/Durham"," 120","Clarington",5,5,95,29,70,1,205,386
35023,"Durham/Durham"," 121","Clarington",4,2,47,34,37,0,124,275
35023,"Durham/Durham"," 122","Clarington",6,2,95,33,70,0,206,413
35023,"Durham/Durham"," 123","Clarington",4,1,61,33,50,1,150,281
35023,"Durham/Durham"," 124","Clarington",6,0,20,15,22,1,64,212
35023,"Durham/Durham"," 125","Clarington",5,2,74,38,62,0,181,333
35023,"Durham/Durham"," 126","Clarington",3,0,78,37,47,0,165,331
35023,"Durham/Durham"," 127","Clarington",1,8,68,20,35,0,132,258
35023,"Durham/Durham"," 128","Clarington",5,2,71,20,55,0,153,297
35023,"Durham/Durham"," 129","Clarington",2,0,38,16,34,0,90,216
35023,"Durham/Durham"," 130","Clarington",5,1,49,30,35,1,121,252
35023,"Durham/Durham"," 131","Clarington",2,1,51,18,36,1,109,205
35023,"Durham/Durham"," 132","Clarington",2,1,77,32,84,0,196,354
35023,"Durham/Durham"," 133","Clarington",3,1,64,24,84,0,176,309
35023,"Durham/Durham"," 134","Clarington",3,2,86,30,47,0,168,305
35023,"Durham/Durham"," 135","Clarington",3,1,85,23,55,2,169,295
35023,"Durham/Durham"," 136","Clarington",3,0,105,18,74,1,201,284
35023,"Durham/Durham"," 137","Clarington",6,0,154,30,97,1,288,419
35023,"Durham/Durham"," 138","Clarington",4,1,77,14,69,0,165,248
35023,"Durham/Durham"," 139","Clarington",3,2,110,21,74,2,212,313
35023,"Durham/Durham"," 140","Clarington",6,0,117,8,93,2,226,324
35023,"Durham/Durham"," 141","Clarington",5,0,79,36,59,1,180,367
35023,"Durham/Durham"," 142","Clarington",3,2,95,39,88,2,229,413
35023,"Durham/Durham"," 143","Clarington",8,1,105,40,73,0,227,444
35023,"Durham/Durham"," 144","Clarington",12,0,93,61,91,0,257,457
35023,"Durham/Durham"," 145","Clarington",0,0,49,21,27,0,97,215
35023,"Durham/Durham"," 146","Clarington",5,0,90,38,87,1,221,409
35023,"Durham/Durham"," 147","Clarington",6,0,85,30,75,2,198,402
35023,"Durham/Durham"," 148","Clarington",5,0,137,47,102,0,291,500
35023,"Durham/Durham"," 149A","Clarington",4,3,104,44,85,0,240,464
35023,"Durham/Durham"," 149B","Clarington",12,1,73,44,74,0,204,413
35023,"Durham/Durham"," 150","Clarington",7,2,73,19,57,1,159,310
35023,"Durham/Durham"," 151A","Clarington",1,1,74,21,59,1,157,309
35023,"Durham/Durham"," 151B","Clarington",2,1,76,18,58,2,157,329
35023,"Durham/Durham"," 152","Clarington",5,2,87,13,32,0,139,259
35023,"Durham/Durham"," 153","Clarington",6,2,75,39,79,0,201,362
35023,"Durham/Durham"," 154","Clarington",4,2,73,45,57,2,183,357
35023,"Durham/Durham"," 155","Clarington",9,0,96,24,55,0,184,342
35023,"Durham/Durham"," 156","Clarington",13,0,125,49,59,1,247,410
35023,"Durham/Durham"," 157","Clarington",8,0,109,55,85,1,258,499
35023,"Durham/Durham"," 158","Clarington",6,1,79,47,86,1,220,419
35023,"Durham/Durham"," 159","Clarington",5,0,87,28,89,0,209,436
35023,"Durham/Durham"," 160","Clarington",6,1,89,64,80,2,242,491
35023,"Durham/Durham"," 161","Clarington",3,2,77,26,64,1,173,333
35023,"Durham/Durham"," 162","Clarington",7,0,54,37,62,0,160,327
35023,"Durham/Durham"," 163","Clarington",4,0,67,47,45,0,163,365
35023,"Durham/Durham"," 164","Clarington",3,0,121,35,60,0,219,406
35023,"Durham/Durham"," 165","Clarington",5,1,78,45,95,3,227,420
35023,"Durham/Durham"," 166","Clarington",6,0,85,47,59,1,198,365
35023,"Durham/Durham"," 167","Clarington",1,1,78,11,54,1,146,274
35023,"Durham/Durham"," 168","Clarington",2,0,102,34,70,0,208,388
35023,"Durham/Durham"," 169","Clarington",5,0,101,20,57,1,184,380
