Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tanya De Mello,Ted Opitz,Shawn Rizvi,Rob Wolvin,Borys Wrzesnewskyj,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35027,"Etobicoke Centre/Etobicoke-Centre"," 1","Etobicoke",14,83,3,0,108,1,209,344
35027,"Etobicoke Centre/Etobicoke-Centre"," 2","Etobicoke",11,73,3,3,121,0,211,362
35027,"Etobicoke Centre/Etobicoke-Centre"," 3","Etobicoke",18,77,2,1,74,3,175,342
35027,"Etobicoke Centre/Etobicoke-Centre"," 4","Etobicoke",18,68,9,1,129,0,225,459
35027,"Etobicoke Centre/Etobicoke-Centre"," 5","Etobicoke",13,78,1,1,132,1,226,527
35027,"Etobicoke Centre/Etobicoke-Centre"," 6","Etobicoke",10,64,7,1,94,0,176,313
35027,"Etobicoke Centre/Etobicoke-Centre"," 7","Etobicoke",14,90,3,1,101,2,211,388
35027,"Etobicoke Centre/Etobicoke-Centre"," 8","Etobicoke",13,94,2,1,97,1,208,416
35027,"Etobicoke Centre/Etobicoke-Centre"," 9","Etobicoke",20,62,0,2,109,1,194,418
35027,"Etobicoke Centre/Etobicoke-Centre"," 10","Etobicoke",18,88,2,5,129,1,243,469
35027,"Etobicoke Centre/Etobicoke-Centre"," 11","Etobicoke",23,87,8,2,151,5,276,446
35027,"Etobicoke Centre/Etobicoke-Centre"," 12","Etobicoke",27,61,4,1,107,0,200,448
35027,"Etobicoke Centre/Etobicoke-Centre"," 13","Etobicoke",21,98,2,1,147,1,270,546
35027,"Etobicoke Centre/Etobicoke-Centre"," 14","Etobicoke",12,72,3,1,140,3,231,516
35027,"Etobicoke Centre/Etobicoke-Centre"," 15","Etobicoke",13,57,3,1,91,2,167,327
35027,"Etobicoke Centre/Etobicoke-Centre"," 16","Etobicoke",11,118,2,3,119,0,253,362
35027,"Etobicoke Centre/Etobicoke-Centre"," 17","Etobicoke",2,86,1,0,93,0,182,352
35027,"Etobicoke Centre/Etobicoke-Centre"," 18","Etobicoke",14,71,8,0,83,1,177,354
35027,"Etobicoke Centre/Etobicoke-Centre"," 19","Etobicoke",12,96,1,3,89,2,203,402
35027,"Etobicoke Centre/Etobicoke-Centre"," 20","Etobicoke",12,68,1,0,126,1,208,411
35027,"Etobicoke Centre/Etobicoke-Centre"," 21","Etobicoke",39,87,2,0,159,3,290,530
35027,"Etobicoke Centre/Etobicoke-Centre"," 22","Etobicoke",7,82,3,1,109,0,202,401
35027,"Etobicoke Centre/Etobicoke-Centre"," 23","Etobicoke",19,82,4,2,104,1,212,438
35027,"Etobicoke Centre/Etobicoke-Centre"," 24","Etobicoke",14,100,2,4,108,0,228,414
35027,"Etobicoke Centre/Etobicoke-Centre"," 25","Etobicoke",13,76,4,2,90,1,186,360
35027,"Etobicoke Centre/Etobicoke-Centre"," 26","Etobicoke",9,84,1,1,108,1,204,363
35027,"Etobicoke Centre/Etobicoke-Centre"," 27","Etobicoke",10,75,1,1,115,1,203,357
35027,"Etobicoke Centre/Etobicoke-Centre"," 28","Etobicoke",10,79,1,0,98,0,188,397
35027,"Etobicoke Centre/Etobicoke-Centre"," 29","Etobicoke",34,69,4,0,112,3,222,560
35027,"Etobicoke Centre/Etobicoke-Centre"," 30","Etobicoke",15,105,5,2,125,0,252,451
35027,"Etobicoke Centre/Etobicoke-Centre"," 31","Etobicoke",11,80,2,1,152,0,246,416
35027,"Etobicoke Centre/Etobicoke-Centre"," 32","Etobicoke",8,98,3,2,118,3,232,401
35027,"Etobicoke Centre/Etobicoke-Centre"," 33","Etobicoke",8,41,1,2,88,0,140,319
35027,"Etobicoke Centre/Etobicoke-Centre"," 34","Etobicoke",32,101,4,3,158,0,298,506
35027,"Etobicoke Centre/Etobicoke-Centre"," 35","Etobicoke",14,122,3,0,125,2,266,423
35027,"Etobicoke Centre/Etobicoke-Centre"," 36","Etobicoke",24,92,2,3,152,4,277,408
35027,"Etobicoke Centre/Etobicoke-Centre"," 37","Etobicoke",19,83,5,3,142,2,254,420
