Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leslie Bory,Dave Bylsma,Wayne Ettinger,Diane Finley,John Harris,Joan Mouland,Dustin Wakeford,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 1","Haldimand County",0,3,12,112,48,103,0,0,278,483
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 2","Haldimand County",2,5,5,123,26,66,2,1,230,393
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 3","Haldimand County",0,3,6,74,32,101,0,0,216,363
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 4","Haldimand County",1,1,8,64,39,73,1,2,189,387
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 5","Haldimand County",1,3,9,73,33,91,0,0,210,373
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 6","Haldimand County",2,2,11,87,40,96,0,1,239,373
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 7","Haldimand County",0,2,4,85,49,76,0,0,216,414
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 8","Haldimand County",1,2,7,70,38,86,3,0,207,380
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 9","Haldimand County",0,3,9,68,21,65,1,0,167,354
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 10","Haldimand County",0,2,8,84,29,97,0,0,220,488
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 11","Haldimand County",0,1,12,120,42,97,0,1,273,524
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 12","Haldimand County",2,2,6,81,52,91,2,1,237,428
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 13","Haldimand County",2,1,9,80,50,75,1,0,218,369
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 14","Haldimand County",1,2,3,112,31,122,1,1,273,452
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 15","Haldimand County",1,4,7,95,49,103,0,0,259,423
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 16","Haldimand County",1,0,2,97,26,117,1,0,244,444
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 17","Haldimand County",1,4,7,135,31,104,1,1,284,464
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 18","Haldimand County",1,3,4,102,45,103,1,2,261,449
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 19","Haldimand County",2,3,3,105,59,104,1,1,278,462
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 20","Haldimand County",0,2,4,86,49,91,0,2,234,430
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 21","Haldimand County",1,1,8,115,27,104,0,2,258,505
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 22A","Haldimand County",0,2,9,104,54,81,0,3,253,400
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 22B","Haldimand County",1,0,6,106,37,76,2,0,228,376
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 23","Haldimand County",0,7,4,60,14,45,0,0,130,289
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 24A","Haldimand County",0,1,7,80,23,47,1,2,161,308
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 24B","Haldimand County",0,4,11,69,16,62,0,0,162,296
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 25","Haldimand County",0,4,6,123,26,78,0,2,239,513
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 26","Haldimand County",0,17,13,190,39,78,2,2,341,510
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 27","Haldimand County",0,20,1,161,19,44,0,0,245,387
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 28","Haldimand County",0,21,4,92,10,32,0,1,160,332
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 29","Haldimand County",1,9,7,117,25,70,4,1,234,436
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 30","Haldimand County",1,31,1,138,19,51,2,0,243,404
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 31","Haldimand County",0,13,16,104,28,60,0,1,222,410
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 32","Haldimand County",0,3,10,78,26,73,0,2,192,324
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 33","Haldimand County",1,4,7,75,28,55,0,1,171,347
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 34","Haldimand County",0,12,8,82,24,95,0,1,222,445
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 35","Haldimand County",0,12,5,69,37,72,1,1,197,428
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 36","Haldimand County",0,6,5,78,31,68,1,4,193,388
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 37","Haldimand County",0,6,10,113,35,65,0,1,230,401
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 38","Haldimand County",1,5,13,109,41,86,5,0,260,545
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 39","Haldimand County",0,5,13,89,32,70,1,2,212,429
