Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bill MacCallum,David Marquis,Mike Perry,Jamie Schmale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 1","Oxtongue Lake",6,21,14,31,0,72,135
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 2","Sherborne",8,101,29,97,0,235,388
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 3","Dysart and Others",1,42,20,68,0,131,261
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 4","Dysart and Others",10,65,35,75,2,187,340
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 5","Dysart and Others",8,61,43,67,0,179,324
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 6A","Harcourt",4,61,21,68,2,156,324
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 6B","Harcourt",7,40,18,77,0,142,326
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 7","Harburn",7,88,26,85,1,207,400
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 8","Harburn",12,63,26,62,0,163,306
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 9","Dysart and Others",7,48,23,52,0,130,335
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 10","Dysart and Others",6,66,33,52,0,157,381
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 11","Dysart and Others",13,44,32,80,0,169,301
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 12","Haliburton",9,82,42,47,0,180,366
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 13","Dysart and Others",8,57,29,65,0,159,396
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 14","Dysart and Others",7,90,22,50,0,169,300
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 15","Dysart and Others",7,70,23,64,1,165,362
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 16","Dysart and Others",11,51,29,70,1,162,390
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 17","Highlands East",9,68,31,74,1,183,371
