Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Bratina,Diane Bubanko,Erin Davis,Wendell Fields,Bob Mann,Wayne Marston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 1","Hamilton ",103,61,14,0,2,69,0,249,422
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 2","Hamilton ",90,53,10,0,0,89,1,243,376
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 3","Hamilton ",58,27,3,0,0,47,1,136,279
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 4","Hamilton ",41,51,11,0,1,91,2,197,402
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 5","Hamilton ",50,42,7,0,1,75,1,176,393
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 6","Hamilton ",46,39,8,0,1,80,0,174,391
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 7","Hamilton ",48,51,7,0,1,100,1,208,405
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 8","Hamilton ",50,21,5,0,4,78,4,162,357
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 9","Hamilton ",33,35,4,0,0,46,0,118,397
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 10","Hamilton ",42,29,1,0,1,69,1,143,393
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 11","Hamilton ",44,35,9,0,0,77,0,165,393
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 12","Hamilton ",54,27,3,0,0,64,1,149,366
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 13","Hamilton ",47,38,9,0,0,75,3,172,419
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 14","Hamilton ",57,29,3,0,0,107,2,198,415
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 15","Hamilton ",69,31,2,0,1,97,2,202,450
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 16","Hamilton ",60,25,12,1,2,82,0,182,424
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 17","Hamilton ",60,40,13,1,0,99,0,213,481
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 18","Hamilton ",58,30,8,0,0,83,2,181,461
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 19","Hamilton ",57,42,4,0,2,109,0,214,442
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 20","Hamilton ",65,44,2,0,1,82,1,195,390
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 21","Hamilton ",69,45,7,1,0,78,1,201,389
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 22","Hamilton ",57,39,9,0,2,87,1,195,385
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 23","Hamilton ",67,27,11,0,0,81,1,187,342
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 24","Hamilton ",73,43,7,1,0,99,0,223,367
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 25","Hamilton ",63,39,4,0,0,70,3,179,371
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 26","Hamilton ",61,28,11,2,2,94,0,198,400
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 27","Hamilton ",66,46,10,0,3,94,1,220,435
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 28","Hamilton ",54,30,8,0,0,96,1,189,385
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 29","Hamilton ",64,37,6,1,0,96,0,204,428
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 30","Hamilton ",65,36,4,0,1,90,1,197,439
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 31","Hamilton ",49,45,3,0,2,88,0,187,450
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 32","Hamilton ",40,25,3,0,4,98,0,170,504
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 33","Hamilton ",43,25,4,0,0,72,1,145,510
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 34","Hamilton ",47,46,4,1,0,97,4,199,424
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 35","Hamilton ",70,37,5,0,1,77,2,192,465
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 36","Hamilton ",58,42,5,0,1,91,1,198,425
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 37","Hamilton ",51,42,10,0,2,65,2,172,385
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 38","Hamilton ",82,30,6,0,1,47,0,166,376
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 39","Hamilton ",78,18,9,0,1,56,0,162,454
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 40","Hamilton ",124,59,6,1,0,85,2,277,452
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 41","Hamilton ",43,17,3,0,2,52,0,117,307
