Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Betty Bannon,Mike Bossio,Daryl Kramp,Cam Mather,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 1","Bangor",23,74,162,10,0,269,435
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 2","Carlow",28,71,115,9,1,224,338
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 3","Maynooth",28,44,93,6,0,171,310
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 4","Maynooth",29,64,78,10,0,181,330
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 5","Herschel",18,46,77,4,0,145,327
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 6","Monteagle",32,47,82,5,1,167,329
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 7","Monteagle",21,55,75,4,0,155,306
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 8","Monteagle",14,36,51,5,0,106,306
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 9","Mayo",20,60,135,9,0,224,391
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 10","Dungannon",27,43,80,5,1,156,392
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 11","Dungannon",38,44,58,10,1,151,369
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 12","Bancroft",6,15,39,0,0,60,138
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 13","Bancroft",10,10,22,0,0,42,153
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 14","Bancroft",22,48,84,2,0,156,320
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 15","Bancroft",18,71,72,6,1,168,357
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 16","Bancroft",24,50,47,4,0,125,284
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 17","Herschel",27,44,96,6,2,175,333
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 18","Herschel",22,46,73,10,0,151,311
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 19","Herschel",18,73,72,2,0,165,329
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 20","Faraday",22,35,60,6,0,123,291
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 21","Faraday",14,34,49,3,0,100,248
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 22","Faraday",23,71,99,8,1,202,351
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 23","Bancroft",22,48,76,5,0,151,396
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 24","Dungannon",21,55,108,11,1,196,384
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 25","Faraday",19,59,70,5,0,153,398
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 26","Dungannon",24,54,91,2,0,171,324
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 27","Limerick",30,46,44,4,0,124,239
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 28","Denbigh--Abinger--Ashby",22,61,111,1,2,197,319
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 29","Vennachar",12,30,52,1,0,95,209
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 30","Massanoga",12,52,77,2,2,145,265
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 31","Queensborough",10,34,28,3,0,75,192
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 32","Tudor and Cashel",8,23,41,2,0,74,149
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 33","Tudor and Cashel",19,39,102,5,0,165,349
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 34","Wollaston",33,83,74,12,1,203,399
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 35","Wollaston",23,56,83,7,1,170,351
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 36","Marmora and Lake",28,89,95,7,0,219,405
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 37","Marmora and Lake",29,57,85,2,3,176,311
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 38","Marmora and Lake",26,64,80,7,0,177,281
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 39","Marmora",23,90,99,14,3,229,436
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 40","Marmora",29,54,86,3,0,172,385
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 41","Marmora and Lake",23,80,57,3,1,164,351
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 42","Marmora and Lake",19,53,83,4,0,159,334
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 43","Deloro",10,30,33,4,0,77,260
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 44","Deloro",22,30,83,4,0,139,268
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 45","Eldorado",18,57,93,4,2,174,382
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 46","Eldorado",18,54,64,9,0,145,302
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 47","Eldorado",23,63,97,5,1,189,381
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 48","Eldorado",25,59,121,4,3,212,443
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 49","Eldorado",14,31,40,4,0,89,333
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 50","Actinolite",20,102,77,7,0,206,502
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 51","Flinton",30,83,134,10,1,258,443
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 52","Northbrook",12,32,71,3,2,120,261
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 53","Northbrook",7,39,47,2,1,96,258
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 54","Kaladar",10,28,44,4,2,88,203
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 55","Erinsville",21,135,93,5,0,254,449
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington"," 56","Bellheck",28,58,68,11,0,165,352
