Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suzanna Dieleman,Ali Hamadi,Irene Mathyssen,Matthew Peloza,Khalil Ramal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"London--Fanshawe/London--Fanshawe"," 1A","London",84,0,61,14,84,3,246,379
35051,"London--Fanshawe/London--Fanshawe"," 1B","London",67,0,49,3,59,1,179,324
35051,"London--Fanshawe/London--Fanshawe"," 1C","Mobile poll/Bureau itinérant",27,3,25,1,34,2,92,195
35051,"London--Fanshawe/London--Fanshawe"," 2","London",121,5,77,6,106,0,315,523
35051,"London--Fanshawe/London--Fanshawe"," 3","London",94,4,73,9,89,0,269,519
35051,"London--Fanshawe/London--Fanshawe"," 4","London",37,1,105,8,65,1,217,457
35051,"London--Fanshawe/London--Fanshawe"," 5","London",53,3,89,2,32,2,181,391
35051,"London--Fanshawe/London--Fanshawe"," 6","London",22,4,58,2,64,0,150,413
35051,"London--Fanshawe/London--Fanshawe"," 7","London",35,4,69,6,50,2,166,363
35051,"London--Fanshawe/London--Fanshawe"," 8","London",38,2,61,10,74,0,185,381
35051,"London--Fanshawe/London--Fanshawe"," 9","London",52,0,81,5,49,1,188,362
35051,"London--Fanshawe/London--Fanshawe"," 10","London",37,0,58,2,64,1,162,382
35051,"London--Fanshawe/London--Fanshawe"," 11","London",40,0,75,3,65,3,186,392
35051,"London--Fanshawe/London--Fanshawe"," 12","London",64,0,119,3,64,0,250,527
35051,"London--Fanshawe/London--Fanshawe"," 13","London",56,0,76,9,56,1,198,481
35051,"London--Fanshawe/London--Fanshawe"," 14","London",36,0,79,9,73,0,197,377
35051,"London--Fanshawe/London--Fanshawe"," 15","London",43,2,88,8,75,2,218,416
35051,"London--Fanshawe/London--Fanshawe"," 16","London",29,0,85,10,44,2,170,337
35051,"London--Fanshawe/London--Fanshawe"," 17","London",52,0,77,6,53,0,188,339
35051,"London--Fanshawe/London--Fanshawe"," 18","London",70,0,81,5,51,0,207,413
35051,"London--Fanshawe/London--Fanshawe"," 19","London",33,0,67,5,52,0,157,303
35051,"London--Fanshawe/London--Fanshawe"," 20","London",53,3,70,5,61,1,193,466
35051,"London--Fanshawe/London--Fanshawe"," 21","London",34,0,59,5,58,0,156,376
35051,"London--Fanshawe/London--Fanshawe"," 22","London",93,0,108,4,82,1,288,529
35051,"London--Fanshawe/London--Fanshawe"," 23","London",42,1,52,2,48,0,145,313
35051,"London--Fanshawe/London--Fanshawe"," 24","London",49,2,77,3,40,1,172,346
35051,"London--Fanshawe/London--Fanshawe"," 25A","London",43,4,82,7,43,1,180,330
35051,"London--Fanshawe/London--Fanshawe"," 25B","London",45,1,77,2,37,0,162,282
35051,"London--Fanshawe/London--Fanshawe"," 26","London",53,3,92,5,57,0,210,421
35051,"London--Fanshawe/London--Fanshawe"," 27","London",39,4,118,2,59,1,223,461
35051,"London--Fanshawe/London--Fanshawe"," 28","London",41,1,68,5,48,2,165,302
35051,"London--Fanshawe/London--Fanshawe"," 29","London",51,0,74,7,35,1,168,303
35051,"London--Fanshawe/London--Fanshawe"," 30","London",52,2,103,4,44,1,206,416
35051,"London--Fanshawe/London--Fanshawe"," 31","London",48,1,90,8,46,2,195,384
35051,"London--Fanshawe/London--Fanshawe"," 32","London",70,1,106,7,70,0,254,464
35051,"London--Fanshawe/London--Fanshawe"," 33","London",52,0,116,5,59,0,232,497
35051,"London--Fanshawe/London--Fanshawe"," 34","London",22,0,45,5,37,0,109,320
35051,"London--Fanshawe/London--Fanshawe"," 35","London",23,1,71,3,32,0,130,311
35051,"London--Fanshawe/London--Fanshawe"," 36","London",19,0,71,2,42,0,134,422
35051,"London--Fanshawe/London--Fanshawe"," 37","London",17,1,82,10,66,0,176,364
35051,"London--Fanshawe/London--Fanshawe"," 38","London",43,3,60,6,63,0,175,381
35051,"London--Fanshawe/London--Fanshawe"," 39","London",48,1,99,4,64,0,216,424
35051,"London--Fanshawe/London--Fanshawe"," 40","London",53,1,85,5,63,0,207,346
35051,"London--Fanshawe/London--Fanshawe"," 41","London",47,1,61,1,58,1,169,356
35051,"London--Fanshawe/London--Fanshawe"," 42","London",51,1,88,5,81,1,227,471
35051,"London--Fanshawe/London--Fanshawe"," 43","London",50,4,50,4,41,1,150,355
35051,"London--Fanshawe/London--Fanshawe"," 44","London",37,1,105,8,65,1,217,501
35051,"London--Fanshawe/London--Fanshawe"," 45","London",26,0,82,3,48,0,159,400
35051,"London--Fanshawe/London--Fanshawe"," 46","London",92,0,92,7,52,0,243,456
35051,"London--Fanshawe/London--Fanshawe"," 47","London",61,2,85,5,71,1,225,449
35051,"London--Fanshawe/London--Fanshawe"," 48","London",63,1,96,11,59,3,233,423
35051,"London--Fanshawe/London--Fanshawe"," 49A","London",25,1,43,4,77,1,151,332
35051,"London--Fanshawe/London--Fanshawe"," 49B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°141B,,,,,,,150
35051,"London--Fanshawe/London--Fanshawe"," 49C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°1C,,,,,,,113
35051,"London--Fanshawe/London--Fanshawe"," 50","London",47,2,86,15,56,1,207,362
35051,"London--Fanshawe/London--Fanshawe"," 51","London",48,2,43,1,42,0,136,260
35051,"London--Fanshawe/London--Fanshawe"," 52","London",38,1,78,1,47,1,166,358
35051,"London--Fanshawe/London--Fanshawe"," 53","London",39,1,61,14,53,0,168,373
35051,"London--Fanshawe/London--Fanshawe"," 54","London",52,4,103,3,62,0,224,369
35051,"London--Fanshawe/London--Fanshawe"," 55","London",49,4,73,4,53,2,185,360
35051,"London--Fanshawe/London--Fanshawe"," 56","London",31,0,99,4,67,1,202,320
35051,"London--Fanshawe/London--Fanshawe"," 57","London",40,1,85,5,48,0,179,314
35051,"London--Fanshawe/London--Fanshawe"," 58","London",45,0,106,11,48,1,211,390
35051,"London--Fanshawe/London--Fanshawe"," 59","London",53,0,107,10,73,2,245,466
35051,"London--Fanshawe/London--Fanshawe"," 60","London",42,2,73,8,31,3,159,294
35051,"London--Fanshawe/London--Fanshawe"," 61","London",21,0,114,2,53,0,190,438
35051,"London--Fanshawe/London--Fanshawe"," 62","London",76,2,122,9,65,1,275,484
35051,"London--Fanshawe/London--Fanshawe"," 63","London",37,1,90,6,76,3,213,459
35051,"London--Fanshawe/London--Fanshawe"," 64","London",15,4,66,8,43,0,136,353
35051,"London--Fanshawe/London--Fanshawe"," 65","London",56,3,98,9,74,2,242,489
35051,"London--Fanshawe/London--Fanshawe"," 66","London",43,2,81,4,61,4,195,437
35051,"London--Fanshawe/London--Fanshawe"," 67","London",53,0,65,1,53,0,172,410
35051,"London--Fanshawe/London--Fanshawe"," 68","London",62,0,87,8,42,0,199,376
35051,"London--Fanshawe/London--Fanshawe"," 69","London",41,2,77,7,50,3,180,406
35051,"London--Fanshawe/London--Fanshawe"," 70","London",73,2,48,0,54,0,177,334
35051,"London--Fanshawe/London--Fanshawe"," 71","London",70,2,61,3,64,0,200,350
35051,"London--Fanshawe/London--Fanshawe"," 72","London",41,0,65,4,46,0,156,287
35051,"London--Fanshawe/London--Fanshawe"," 73","London",72,1,89,9,49,1,221,385
35051,"London--Fanshawe/London--Fanshawe"," 74","London",52,0,86,3,48,0,189,415
35051,"London--Fanshawe/London--Fanshawe"," 75","London",35,0,74,4,69,1,183,425
35051,"London--Fanshawe/London--Fanshawe"," 76","London",56,0,69,3,54,3,185,399
35051,"London--Fanshawe/London--Fanshawe"," 77","London",68,2,88,8,44,0,210,380
35051,"London--Fanshawe/London--Fanshawe"," 78","London",58,1,107,6,61,0,233,404
35051,"London--Fanshawe/London--Fanshawe"," 79","London",49,1,77,8,54,2,191,412
35051,"London--Fanshawe/London--Fanshawe"," 80","London",72,1,113,10,83,3,282,482
35051,"London--Fanshawe/London--Fanshawe"," 81","London",52,1,75,7,68,2,205,369
35051,"London--Fanshawe/London--Fanshawe"," 82","London",49,1,61,1,54,1,167,303
35051,"London--Fanshawe/London--Fanshawe"," 83","London",55,3,89,6,73,0,226,443
35051,"London--Fanshawe/London--Fanshawe"," 84","London",54,3,69,4,52,1,183,496
35051,"London--Fanshawe/London--Fanshawe"," 85","London",32,1,52,15,49,1,150,366
