Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jay Aspin,Kathleen Jodouin,Nicole Peltier,Anthony Rota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 1","Dymond ",70,56,4,171,0,301,620
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 2","Dymond ",55,29,0,115,0,199,385
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 3","New Liskeard",62,25,1,97,0,185,413
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 4","New Liskeard",67,43,1,81,1,193,423
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 5","New Liskeard",49,47,0,118,1,215,454
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 6","New Liskeard",33,39,3,71,0,146,355
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 7A","New Liskeard",52,42,5,115,1,215,492
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 7B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,41
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 8","New Liskeard",47,74,5,121,1,248,535
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 9A","New Liskeard",33,34,2,79,2,150,307
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 9B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,27
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 10","New Liskeard",60,45,5,107,0,217,430
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 11","Haileybury",47,56,8,100,0,211,407
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 12","Haileybury",68,65,6,116,1,256,575
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 13","Haileybury",58,54,10,100,0,222,451
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 14","Haileybury",60,84,12,125,0,281,495
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 15","Haileybury",59,40,2,98,0,199,373
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 16","North Cobalt",58,79,5,128,0,270,589
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 17","North Cobalt",62,58,6,123,0,249,490
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 18","Coleman",31,49,6,53,0,139,309
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 19","Coleman",37,56,4,90,1,188,372
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 20A","Coleman",Merged with No./Fusionné avec le n°21,,,,,,232
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 20B","Latchford",Merged with No./Fusionné avec le n°23,,,,,,84
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 21","Coleman",103,93,5,153,1,355,391
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 22","Hillview",Void/Supprimé,,,,,,
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 23","Latchford",68,53,1,79,0,201,314
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 24","Temagami",63,31,9,52,1,156,207
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 25A","Bear Island",3,29,2,70,0,104,133
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 25B","Temagami",Merged with No./Fusionné avec le n°24,,,,,,195
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 26A","North Cobalt",Merged with No./Fusionné avec le n°17,,,,,,10
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 26B","North Bay",Merged with No./Fusionné avec le n°28,,,,,,9
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 26C","Temagami",49,19,1,53,0,122,244
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 27","Thorne",59,40,2,106,3,210,377
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 28","North Bay",56,25,5,67,0,153,352
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 29","North Bay ",79,22,10,116,1,228,507
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 30","North Bay ",114,40,5,137,0,296,602
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 31","North Bay ",84,32,5,153,0,274,498
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 32","Balsam Creek",51,44,3,77,1,176,389
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 33","Feronia-Songis",97,38,7,88,2,232,496
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 34","North Bay ",35,18,3,48,0,104,213
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 35","North Bay ",93,27,12,107,2,241,463
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 36","North Bay ",92,21,4,114,4,235,434
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 37","North Bay ",105,31,14,139,0,289,484
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 38","North Bay ",88,16,2,145,0,251,499
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 39","North Bay ",88,23,5,147,0,263,479
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 40","North Bay ",70,27,7,135,0,239,443
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 41","North Bay ",90,33,4,122,3,252,452
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 42","North Bay ",61,25,9,98,0,193,362
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 43","North Bay ",40,31,7,82,1,161,356
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 44","North Bay ",44,40,1,93,1,179,372
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 45","North Bay ",57,43,3,138,1,242,418
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 46","North Bay ",58,35,5,132,1,231,406
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 47","North Bay ",77,32,3,126,0,238,377
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 48","North Bay ",68,37,9,144,1,259,498
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 49","North Bay ",39,28,4,96,1,168,367
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 50","North Bay ",65,33,8,95,1,202,407
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 51","North Bay ",37,25,7,79,0,148,329
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 52","North Bay ",73,33,2,101,0,209,418
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 53","North Bay ",49,57,11,159,5,281,536
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 54","North Bay ",44,41,5,104,2,196,393
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 55","North Bay ",51,37,5,102,0,195,406
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 56","North Bay ",53,50,9,97,0,209,403
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 57","North Bay ",32,39,5,79,0,155,372
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 58","North Bay ",50,56,10,105,1,222,448
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 59","North Bay ",61,51,3,138,0,253,534
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 60","North Bay ",58,32,3,126,0,219,366
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 61","North Bay ",31,26,8,83,2,150,288
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 62","North Bay ",33,25,5,102,0,165,276
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 63","North Bay ",53,41,11,158,2,265,514
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 64","North Bay ",46,62,9,161,0,278,518
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 65","North Bay ",77,40,4,143,1,265,456
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 66","North Bay ",65,28,3,133,2,231,379
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 67","North Bay ",53,33,5,119,0,210,329
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 68","North Bay ",57,28,6,109,0,200,344
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 69","North Bay ",17,38,8,53,1,117,298
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 70","North Bay ",52,19,3,122,1,197,353
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 71","North Bay ",44,28,8,171,1,252,393
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 72","North Bay ",44,45,7,104,2,202,359
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 73","North Bay ",53,32,3,113,0,201,376
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 74","North Bay ",49,47,4,120,0,220,425
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 75","North Bay ",37,44,3,140,1,225,403
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 76","North Bay ",62,43,6,123,0,234,384
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 77","North Bay ",40,36,10,123,1,210,381
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 78","North Bay ",53,28,1,121,0,203,389
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 79","North Bay ",66,65,9,141,0,281,570
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 80","North Bay",41,19,3,90,1,154,194
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 81","North Bay ",17,38,5,98,0,158,359
