Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Andrew Omowole Akpata,Paul Dewar,Dean T. Harris,Damian Konstantinakos,Conrad Lukawski,Catherine Mary McKenna,Tom Milroy,Stuart Ryan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35075,"Ottawa Centre/Ottawa-Centre"," 1","Ottawa",1,78,0,32,0,103,11,0,0,225,449
35075,"Ottawa Centre/Ottawa-Centre"," 2","Ottawa",2,87,1,34,0,127,11,0,0,262,466
35075,"Ottawa Centre/Ottawa-Centre"," 3","Ottawa",0,79,1,30,1,83,8,1,1,204,426
35075,"Ottawa Centre/Ottawa-Centre"," 4","Ottawa",0,84,4,33,0,132,9,0,1,263,397
35075,"Ottawa Centre/Ottawa-Centre"," 5","Ottawa",0,77,0,19,0,97,11,0,2,206,407
35075,"Ottawa Centre/Ottawa-Centre"," 6","Ottawa",1,53,3,35,0,104,4,0,0,200,391
35075,"Ottawa Centre/Ottawa-Centre"," 7","Ottawa",0,93,1,42,0,110,9,0,1,256,477
35075,"Ottawa Centre/Ottawa-Centre"," 8","Ottawa",0,78,0,18,1,68,9,0,0,174,302
35075,"Ottawa Centre/Ottawa-Centre"," 9","Ottawa",0,71,3,41,1,152,7,1,1,277,469
35075,"Ottawa Centre/Ottawa-Centre"," 10","Ottawa",0,74,1,27,0,72,6,0,1,181,358
35075,"Ottawa Centre/Ottawa-Centre"," 11","Ottawa",0,68,1,36,0,109,4,0,3,221,385
35075,"Ottawa Centre/Ottawa-Centre"," 12","Ottawa",1,101,1,29,0,129,11,1,3,276,515
35075,"Ottawa Centre/Ottawa-Centre"," 13","Ottawa",0,87,2,27,2,104,3,1,3,229,487
35075,"Ottawa Centre/Ottawa-Centre"," 14","Ottawa",0,105,1,25,0,83,7,0,1,222,386
35075,"Ottawa Centre/Ottawa-Centre"," 15","Ottawa",0,107,3,35,0,144,11,1,3,304,571
35075,"Ottawa Centre/Ottawa-Centre"," 16","Ottawa",1,98,3,24,0,90,5,0,2,223,405
35075,"Ottawa Centre/Ottawa-Centre"," 17","Ottawa",2,106,1,12,0,80,6,0,1,208,379
35075,"Ottawa Centre/Ottawa-Centre"," 18","Ottawa",3,102,0,18,1,110,6,0,1,241,428
35075,"Ottawa Centre/Ottawa-Centre"," 19","Ottawa",1,108,1,32,2,121,9,0,2,276,483
35075,"Ottawa Centre/Ottawa-Centre"," 20","Ottawa",0,81,3,20,1,109,4,0,0,218,422
35075,"Ottawa Centre/Ottawa-Centre"," 21","Ottawa",1,65,2,24,0,69,2,0,0,163,317
35075,"Ottawa Centre/Ottawa-Centre"," 22","Ottawa",1,108,4,35,0,118,6,0,0,272,493
35075,"Ottawa Centre/Ottawa-Centre"," 23","Ottawa",0,64,3,14,0,77,4,0,2,164,307
35075,"Ottawa Centre/Ottawa-Centre"," 24","Ottawa",0,88,1,26,0,89,6,0,1,211,407
35075,"Ottawa Centre/Ottawa-Centre"," 25","Ottawa",0,111,0,19,0,96,15,1,1,243,432
35075,"Ottawa Centre/Ottawa-Centre"," 26","Ottawa",1,119,3,13,0,96,12,0,0,244,414
35075,"Ottawa Centre/Ottawa-Centre"," 27","Ottawa",0,86,3,23,2,80,9,1,0,204,353
35075,"Ottawa Centre/Ottawa-Centre"," 28","Ottawa",0,98,3,27,0,96,9,0,0,233,445
35075,"Ottawa Centre/Ottawa-Centre"," 29","Ottawa",1,88,3,12,1,72,10,0,2,189,455
35075,"Ottawa Centre/Ottawa-Centre"," 30","Ottawa",0,81,1,9,0,95,9,0,1,196,405
35075,"Ottawa Centre/Ottawa-Centre"," 31","Ottawa",0,60,0,24,0,86,5,0,0,175,335
35075,"Ottawa Centre/Ottawa-Centre"," 32","Ottawa",0,76,1,29,0,80,1,0,1,188,406
35075,"Ottawa Centre/Ottawa-Centre"," 33","Ottawa",0,49,0,41,0,97,7,0,1,195,404
35075,"Ottawa Centre/Ottawa-Centre"," 34","Ottawa",0,78,0,29,0,88,6,0,0,201,440
35075,"Ottawa Centre/Ottawa-Centre"," 35","Ottawa",0,72,2,31,0,83,6,0,0,194,382
35075,"Ottawa Centre/Ottawa-Centre"," 36","Ottawa",0,99,1,25,0,102,10,0,0,237,452
35075,"Ottawa Centre/Ottawa-Centre"," 37","Ottawa",1,80,0,17,0,109,9,0,0,216,349
35075,"Ottawa Centre/Ottawa-Centre"," 38","Ottawa",0,71,1,23,0,114,6,0,1,216,458
35075,"Ottawa Centre/Ottawa-Centre"," 39","Ottawa",0,76,0,35,0,125,6,1,1,244,443
35075,"Ottawa Centre/Ottawa-Centre"," 40","Ottawa",0,67,3,45,1,69,7,0,1,193,267
35075,"Ottawa Centre/Ottawa-Centre"," 41","Ottawa",1,81,1,17,1,83,2,0,0,186,359
35075,"Ottawa Centre/Ottawa-Centre"," 42","Ottawa",0,42,0,31,0,88,6,0,2,169,375
35075,"Ottawa Centre/Ottawa-Centre"," 43","Ottawa",0,72,0,21,0,97,8,0,0,198,372
35075,"Ottawa Centre/Ottawa-Centre"," 44","Ottawa",0,82,1,16,1,100,6,1,0,207,378
35075,"Ottawa Centre/Ottawa-Centre"," 45","Ottawa",1,72,2,39,0,129,10,0,2,255,459
35075,"Ottawa Centre/Ottawa-Centre"," 46","Ottawa",1,91,1,22,0,107,4,3,3,232,440
35075,"Ottawa Centre/Ottawa-Centre"," 47","Ottawa",0,94,0,20,3,112,4,0,0,233,408
35075,"Ottawa Centre/Ottawa-Centre"," 48A","Ottawa",0,76,0,24,0,105,6,0,1,212,423
35075,"Ottawa Centre/Ottawa-Centre"," 48B","Ottawa",1,71,1,32,0,148,7,0,1,261,470
35075,"Ottawa Centre/Ottawa-Centre"," 49","Ottawa",1,82,3,21,0,99,6,0,0,212,403
35075,"Ottawa Centre/Ottawa-Centre"," 50","Ottawa",3,77,1,7,1,52,4,0,0,145,317
35075,"Ottawa Centre/Ottawa-Centre"," 51","Ottawa",0,101,1,15,0,106,7,1,1,232,420
35075,"Ottawa Centre/Ottawa-Centre"," 52","Ottawa",0,117,3,20,0,127,9,0,1,277,486
35075,"Ottawa Centre/Ottawa-Centre"," 53","Ottawa",0,91,0,16,0,93,6,1,1,208,430
35075,"Ottawa Centre/Ottawa-Centre"," 54","Ottawa",0,74,2,18,1,76,9,1,0,181,370
35075,"Ottawa Centre/Ottawa-Centre"," 55","Ottawa",2,106,1,22,0,91,10,0,3,235,389
35075,"Ottawa Centre/Ottawa-Centre"," 56","Ottawa",1,130,0,15,0,90,6,0,0,242,449
35075,"Ottawa Centre/Ottawa-Centre"," 57","Ottawa",0,117,1,27,1,77,9,1,0,233,431
35075,"Ottawa Centre/Ottawa-Centre"," 58","Ottawa",0,111,3,23,0,84,10,2,2,235,368
35075,"Ottawa Centre/Ottawa-Centre"," 59","Ottawa",0,99,3,11,0,104,4,1,0,222,456
35075,"Ottawa Centre/Ottawa-Centre"," 60","Ottawa",0,84,1,28,5,108,5,1,3,235,547
35075,"Ottawa Centre/Ottawa-Centre"," 61","Ottawa",1,85,0,29,0,122,6,0,3,246,460
35075,"Ottawa Centre/Ottawa-Centre"," 62","Ottawa",3,92,1,29,0,114,10,2,0,251,473
35075,"Ottawa Centre/Ottawa-Centre"," 63","Ottawa",0,80,1,17,3,80,5,1,2,189,382
35075,"Ottawa Centre/Ottawa-Centre"," 64","Ottawa",1,99,1,54,2,210,11,0,1,379,637
35075,"Ottawa Centre/Ottawa-Centre"," 65","Ottawa",0,39,1,10,0,79,5,0,0,134,251
35075,"Ottawa Centre/Ottawa-Centre"," 66","Ottawa",0,50,2,28,1,95,1,1,0,178,364
35075,"Ottawa Centre/Ottawa-Centre"," 67","Ottawa",0,82,0,44,1,100,7,0,2,236,409
35075,"Ottawa Centre/Ottawa-Centre"," 68","Ottawa",0,84,1,35,1,123,9,0,0,253,504
35075,"Ottawa Centre/Ottawa-Centre"," 69","Ottawa",1,80,3,15,0,67,6,1,0,173,447
35075,"Ottawa Centre/Ottawa-Centre"," 70","Ottawa",1,101,2,19,0,105,5,0,4,237,469
35075,"Ottawa Centre/Ottawa-Centre"," 71","Ottawa",1,86,1,20,0,79,4,1,1,193,468
35075,"Ottawa Centre/Ottawa-Centre"," 72","Ottawa",0,61,1,24,0,77,9,0,3,175,328
35075,"Ottawa Centre/Ottawa-Centre"," 73","Ottawa",0,69,4,27,1,58,8,2,3,172,360
35075,"Ottawa Centre/Ottawa-Centre"," 74","Ottawa",1,64,2,5,0,40,6,1,1,120,376
35075,"Ottawa Centre/Ottawa-Centre"," 75","Ottawa",2,102,9,28,2,95,6,0,4,248,534
35075,"Ottawa Centre/Ottawa-Centre"," 76","Ottawa",0,83,5,27,0,53,4,1,0,173,400
35075,"Ottawa Centre/Ottawa-Centre"," 77","Ottawa",1,80,4,26,1,89,3,0,2,206,401
35075,"Ottawa Centre/Ottawa-Centre"," 78","Ottawa",1,63,6,18,2,71,4,1,2,168,422
35075,"Ottawa Centre/Ottawa-Centre"," 79","Ottawa",0,75,5,27,1,90,0,0,0,198,417
35075,"Ottawa Centre/Ottawa-Centre"," 80","Ottawa",1,93,3,27,0,79,9,0,0,212,441
35075,"Ottawa Centre/Ottawa-Centre"," 81","Ottawa",0,61,3,6,1,47,4,0,0,122,172
35075,"Ottawa Centre/Ottawa-Centre"," 82","Ottawa",1,70,4,22,1,88,7,0,0,193,380
35075,"Ottawa Centre/Ottawa-Centre"," 83","Ottawa",0,66,1,33,1,102,3,0,1,207,417
35075,"Ottawa Centre/Ottawa-Centre"," 84","Ottawa",0,80,0,28,0,146,5,1,0,260,464
35075,"Ottawa Centre/Ottawa-Centre"," 85","Ottawa",0,100,2,32,0,105,8,2,0,249,486
35075,"Ottawa Centre/Ottawa-Centre"," 86","Ottawa",0,63,0,34,0,112,9,1,2,221,439
35075,"Ottawa Centre/Ottawa-Centre"," 87","Ottawa",1,65,3,19,0,87,8,1,1,185,385
35075,"Ottawa Centre/Ottawa-Centre"," 88","Ottawa",2,109,0,28,0,111,9,1,0,260,474
35075,"Ottawa Centre/Ottawa-Centre"," 89","Ottawa",0,82,1,35,0,112,5,0,1,236,414
35075,"Ottawa Centre/Ottawa-Centre"," 90","Ottawa",0,87,2,25,1,122,4,0,0,241,418
35075,"Ottawa Centre/Ottawa-Centre"," 91","Ottawa",0,62,2,12,0,103,6,0,1,186,346
35075,"Ottawa Centre/Ottawa-Centre"," 92A","Ottawa",0,76,1,26,0,95,7,1,1,207,381
35075,"Ottawa Centre/Ottawa-Centre"," 92B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,,,27
35075,"Ottawa Centre/Ottawa-Centre"," 93","Ottawa",0,80,1,38,0,116,6,0,0,241,407
35075,"Ottawa Centre/Ottawa-Centre"," 94","Ottawa",0,86,3,16,1,118,11,0,0,235,395
35075,"Ottawa Centre/Ottawa-Centre"," 95","Ottawa",2,83,0,15,0,66,7,2,1,176,341
35075,"Ottawa Centre/Ottawa-Centre"," 96","Ottawa",0,68,2,34,1,93,7,0,0,205,335
35075,"Ottawa Centre/Ottawa-Centre"," 97","Ottawa",0,35,1,31,0,72,3,0,0,142,275
35075,"Ottawa Centre/Ottawa-Centre"," 98","Ottawa",1,80,2,20,1,76,6,0,0,186,352
35075,"Ottawa Centre/Ottawa-Centre"," 99","Ottawa",0,61,2,30,0,61,8,0,0,162,339
35075,"Ottawa Centre/Ottawa-Centre"," 100","Ottawa",1,76,1,38,1,85,10,0,1,213,387
35075,"Ottawa Centre/Ottawa-Centre"," 101","Ottawa",2,86,0,52,0,125,8,1,1,275,493
35075,"Ottawa Centre/Ottawa-Centre"," 102","Ottawa",0,66,1,37,0,91,5,0,2,202,392
35075,"Ottawa Centre/Ottawa-Centre"," 103","Ottawa",0,61,0,22,0,70,8,1,0,162,343
35075,"Ottawa Centre/Ottawa-Centre"," 104","Ottawa",0,75,0,43,0,101,4,0,1,224,401
35075,"Ottawa Centre/Ottawa-Centre"," 105","Ottawa",0,66,3,18,0,85,5,1,1,179,396
35075,"Ottawa Centre/Ottawa-Centre"," 106","Ottawa",0,67,2,19,0,61,5,0,2,156,355
35075,"Ottawa Centre/Ottawa-Centre"," 107","Ottawa",0,84,1,18,1,86,7,1,1,199,392
35075,"Ottawa Centre/Ottawa-Centre"," 108","Ottawa",1,95,4,38,1,51,6,0,1,197,370
35075,"Ottawa Centre/Ottawa-Centre"," 109","Ottawa",0,81,4,34,0,104,12,1,1,237,451
35075,"Ottawa Centre/Ottawa-Centre"," 110","Ottawa",0,89,1,41,2,103,10,0,1,247,474
35075,"Ottawa Centre/Ottawa-Centre"," 111","Ottawa",0,76,2,32,0,113,6,0,0,229,486
35075,"Ottawa Centre/Ottawa-Centre"," 112","Ottawa",0,76,4,24,2,103,7,0,0,216,421
35075,"Ottawa Centre/Ottawa-Centre"," 113","Ottawa",0,92,1,43,0,114,8,0,0,258,400
35075,"Ottawa Centre/Ottawa-Centre"," 114","Ottawa",1,116,1,37,2,105,5,0,0,267,436
35075,"Ottawa Centre/Ottawa-Centre"," 115","Ottawa",0,99,4,59,0,120,10,0,0,292,499
35075,"Ottawa Centre/Ottawa-Centre"," 116","Ottawa",1,112,1,35,2,134,7,0,0,292,485
35075,"Ottawa Centre/Ottawa-Centre"," 117","Ottawa",0,112,2,27,2,126,18,1,2,290,501
35075,"Ottawa Centre/Ottawa-Centre"," 118","Ottawa",0,104,1,23,0,102,9,0,0,239,476
35075,"Ottawa Centre/Ottawa-Centre"," 119","Ottawa",0,89,4,24,0,95,9,0,0,221,428
35075,"Ottawa Centre/Ottawa-Centre"," 120","Ottawa",0,120,1,32,1,92,8,0,0,254,435
35075,"Ottawa Centre/Ottawa-Centre"," 121","Ottawa",1,104,2,31,1,102,17,0,0,258,453
35075,"Ottawa Centre/Ottawa-Centre"," 122","Ottawa",0,101,4,23,3,85,8,1,0,225,401
35075,"Ottawa Centre/Ottawa-Centre"," 123","Ottawa",0,75,2,22,0,93,3,0,1,196,384
35075,"Ottawa Centre/Ottawa-Centre"," 124","Ottawa",0,81,1,27,0,113,7,0,1,230,408
35075,"Ottawa Centre/Ottawa-Centre"," 125","Ottawa",0,65,2,31,1,76,11,0,0,186,365
35075,"Ottawa Centre/Ottawa-Centre"," 126","Ottawa",0,99,2,31,2,128,9,0,1,272,419
35075,"Ottawa Centre/Ottawa-Centre"," 127","Ottawa",0,81,1,33,0,86,3,0,1,205,372
35075,"Ottawa Centre/Ottawa-Centre"," 128","Ottawa",0,71,0,28,0,127,6,0,0,232,402
35075,"Ottawa Centre/Ottawa-Centre"," 129","Ottawa",1,67,0,34,0,97,3,0,1,203,389
35075,"Ottawa Centre/Ottawa-Centre"," 130","Ottawa",1,101,1,41,0,93,12,0,1,250,437
35075,"Ottawa Centre/Ottawa-Centre"," 131","Ottawa",0,93,0,55,0,104,11,0,0,263,472
35075,"Ottawa Centre/Ottawa-Centre"," 132","Ottawa",0,88,2,32,0,99,7,1,0,229,439
35075,"Ottawa Centre/Ottawa-Centre"," 133","Ottawa",0,108,3,38,0,189,9,1,0,348,593
35075,"Ottawa Centre/Ottawa-Centre"," 134","Ottawa",0,128,0,68,1,185,13,1,1,397,650
35075,"Ottawa Centre/Ottawa-Centre"," 135","Ottawa",0,99,0,45,4,112,11,0,0,271,488
