Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abdul Abdi,Mark Brooks,Sam Heaton,Marlene Rivier,Rod Taylor,Anita Vandenbeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 1A","Ottawa",79,12,0,40,4,161,0,296,543
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 1B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,81
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 2","Ottawa",67,6,0,44,3,141,0,261,409
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 3","Ottawa",55,14,0,24,2,112,1,208,359
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 4","Ottawa",59,7,0,27,8,104,0,205,368
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 5","Ottawa",15,0,0,23,2,61,3,104,285
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 6","Ottawa",25,3,0,18,1,57,0,104,331
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 7","Ottawa",31,5,0,28,2,92,0,158,310
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 8","Ottawa",47,7,0,23,0,207,2,286,512
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 9","Ottawa",49,6,0,39,4,90,2,190,442
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 10","Ottawa",27,5,2,31,2,149,0,216,433
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 11","Ottawa",23,3,0,9,0,99,2,136,306
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 12","Ottawa",25,3,1,20,1,89,0,139,282
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 13","Ottawa",42,3,1,39,2,141,0,228,378
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 14","Ottawa",47,7,0,8,1,131,3,197,399
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 15","Ottawa",69,7,0,15,3,174,1,269,497
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 16","Ottawa",80,9,1,23,3,121,0,237,364
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 17","Ottawa",32,3,0,10,5,72,0,122,269
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 18","Ottawa",54,12,1,28,3,148,0,246,469
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 19","Ottawa",58,10,0,24,2,165,1,260,414
