Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melody Ann Aldred,Mike Farlow,Zoe Kunschner,Dave MacKenzie,Don McKay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Oxford/Oxford"," 1","Washington",2,9,54,169,117,4,355,541
35080,"Oxford/Oxford"," 2","Washington",4,3,26,101,41,0,175,355
35080,"Oxford/Oxford"," 3","Plattsville",1,4,48,130,72,0,255,386
35080,"Oxford/Oxford"," 4","Plattsville",2,19,38,112,84,0,255,389
35080,"Oxford/Oxford"," 5","Ratho",0,7,28,118,72,1,226,374
35080,"Oxford/Oxford"," 6","Bright",4,8,19,95,53,2,181,330
35080,"Oxford/Oxford"," 7","Maple Lake Park",11,8,36,134,58,0,247,410
35080,"Oxford/Oxford"," 8","Tavistock",1,2,24,112,72,2,213,361
35080,"Oxford/Oxford"," 9","Tavistock",3,7,24,126,94,0,254,422
35080,"Oxford/Oxford"," 10","Tavistock",4,6,40,125,96,0,271,426
35080,"Oxford/Oxford"," 11","Cassel",1,2,30,110,68,2,213,361
35080,"Oxford/Oxford"," 12","Cassel",5,7,6,125,42,0,185,315
35080,"Oxford/Oxford"," 13","Tavistock",6,3,33,123,114,0,279,411
35080,"Oxford/Oxford"," 14","Tavistock",1,3,18,113,80,0,215,384
35080,"Oxford/Oxford"," 15","Hickson",2,6,15,77,50,0,150,282
35080,"Oxford/Oxford"," 16","Hickson",2,8,16,84,59,3,172,354
35080,"Oxford/Oxford"," 17","Braemar",0,3,22,102,65,0,192,318
35080,"Oxford/Oxford"," 18","Harrington",7,10,18,80,59,0,174,266
35080,"Oxford/Oxford"," 19","Maplewood",5,4,15,93,50,0,167,271
35080,"Oxford/Oxford"," 20","Harrington",2,6,36,80,49,0,173,298
35080,"Oxford/Oxford"," 21","Lakeside",1,8,25,97,69,2,202,363
35080,"Oxford/Oxford"," 22","Uniondale",3,5,30,111,44,0,193,314
35080,"Oxford/Oxford"," 23","Kintore",6,9,34,102,79,0,230,340
35080,"Oxford/Oxford"," 24","Cody's Corners",1,13,19,96,70,0,199,309
35080,"Oxford/Oxford"," 25","Embro",2,6,23,94,73,0,198,345
35080,"Oxford/Oxford"," 26","Bennington",0,4,20,85,57,0,166,288
35080,"Oxford/Oxford"," 27","Cody's Corners",3,7,25,99,74,3,211,338
35080,"Oxford/Oxford"," 28","Willow Lake",3,3,25,157,89,0,277,450
35080,"Oxford/Oxford"," 29","Woodstock",5,5,19,152,84,0,265,473
35080,"Oxford/Oxford"," 30","Tollgate",2,3,24,96,93,0,218,347
35080,"Oxford/Oxford"," 31","Tollgate",1,9,20,146,93,0,269,496
35080,"Oxford/Oxford"," 32","Innerkip",1,8,27,129,77,0,242,354
35080,"Oxford/Oxford"," 33","Innerkip",1,6,34,139,114,1,295,453
35080,"Oxford/Oxford"," 34","East Zorra-Tavistock",4,10,38,154,99,6,311,545
35080,"Oxford/Oxford"," 35","Blandford-Blenheim",1,12,41,120,67,0,241,465
35080,"Oxford/Oxford"," 36","Woodstock",1,7,35,161,119,1,324,572
35080,"Oxford/Oxford"," 37","Woodstock",0,7,41,117,77,0,242,464
35080,"Oxford/Oxford"," 38","Woodstock",1,6,41,107,102,0,257,437
35080,"Oxford/Oxford"," 39","Woodstock",4,7,47,104,108,0,270,450
35080,"Oxford/Oxford"," 40","Woodstock",5,3,45,124,92,2,271,477
35080,"Oxford/Oxford"," 41","Princeton",2,7,27,110,54,1,201,338
35080,"Oxford/Oxford"," 42","Blandford-Blenheim",0,6,14,84,56,0,160,273
35080,"Oxford/Oxford"," 43","Princeton",1,10,35,116,75,3,240,404
35080,"Oxford/Oxford"," 44","Forest Estates",5,5,18,76,38,3,145,333
35080,"Oxford/Oxford"," 45","Wolverton",1,15,22,114,87,2,241,394
35080,"Oxford/Oxford"," 46","Drumbo",2,5,35,88,61,0,191,341
35080,"Oxford/Oxford"," 47","Richwood",0,11,28,99,84,1,223,332
35080,"Oxford/Oxford"," 48","Richwood",4,13,26,108,54,1,206,350
35080,"Oxford/Oxford"," 49","Eastwood",11,16,32,127,66,2,254,392
35080,"Oxford/Oxford"," 50","Vandecar",15,6,11,82,34,1,149,239
35080,"Oxford/Oxford"," 51","Woodstock",1,11,59,98,85,1,255,477
35080,"Oxford/Oxford"," 52","Woodstock",4,8,40,71,85,0,208,420
35080,"Oxford/Oxford"," 53","Woodstock",4,11,50,115,81,2,263,441
35080,"Oxford/Oxford"," 54","Woodstock",2,8,28,76,56,1,171,402
35080,"Oxford/Oxford"," 55","Woodstock",0,3,31,80,91,1,206,383
35080,"Oxford/Oxford"," 56","Woodstock",0,5,34,65,67,2,173,376
35080,"Oxford/Oxford"," 57","Woodstock",1,2,45,83,67,2,200,389
35080,"Oxford/Oxford"," 58","Woodstock",3,11,48,84,100,1,247,533
35080,"Oxford/Oxford"," 59","Woodstock",0,7,28,41,47,1,124,332
35080,"Oxford/Oxford"," 60","Woodstock",1,11,27,82,84,0,205,417
35080,"Oxford/Oxford"," 61","Woodstock",3,2,57,83,97,0,242,560
35080,"Oxford/Oxford"," 62","Woodstock",0,4,35,90,76,0,205,424
35080,"Oxford/Oxford"," 63","Woodstock",2,11,43,127,133,0,316,544
35080,"Oxford/Oxford"," 64","Woodstock",4,5,40,145,79,0,273,454
35080,"Oxford/Oxford"," 65","Woodstock",4,13,47,78,91,0,233,415
35080,"Oxford/Oxford"," 66","Woodstock",2,6,35,100,82,1,226,390
35080,"Oxford/Oxford"," 67","Woodstock",2,10,44,101,101,1,259,428
35080,"Oxford/Oxford"," 68","Woodstock",4,6,35,82,67,1,195,357
35080,"Oxford/Oxford"," 69","Woodstock",4,8,51,97,63,0,223,405
35080,"Oxford/Oxford"," 70","Woodstock",3,6,37,78,71,0,195,390
35080,"Oxford/Oxford"," 71","Woodstock",2,4,40,80,75,0,201,407
35080,"Oxford/Oxford"," 72","Woodstock",1,6,33,74,61,1,176,375
35080,"Oxford/Oxford"," 73","Woodstock",7,7,56,134,100,2,306,527
35080,"Oxford/Oxford"," 74","Woodstock",9,6,64,131,85,4,299,543
35080,"Oxford/Oxford"," 75","Woodstock",4,10,28,75,99,1,217,388
35080,"Oxford/Oxford"," 76","Woodstock",3,11,37,108,75,2,236,410
35080,"Oxford/Oxford"," 77","Woodstock",3,14,52,74,65,0,208,411
35080,"Oxford/Oxford"," 78","Woodstock",2,5,34,82,83,0,206,422
35080,"Oxford/Oxford"," 79","Woodstock",3,7,43,74,98,0,225,363
35080,"Oxford/Oxford"," 80","Woodstock",1,12,36,109,70,2,230,407
35080,"Oxford/Oxford"," 81","Woodstock",3,8,49,58,87,1,206,364
35080,"Oxford/Oxford"," 82","Woodstock",3,8,42,73,97,1,224,428
35080,"Oxford/Oxford"," 83","Woodstock",2,8,42,75,72,0,199,388
35080,"Oxford/Oxford"," 84","Woodstock",2,6,49,59,50,2,168,457
35080,"Oxford/Oxford"," 85","Woodstock",0,6,43,107,60,0,216,399
35080,"Oxford/Oxford"," 86","Woodstock",2,9,29,50,62,0,152,451
35080,"Oxford/Oxford"," 87","Woodstock",2,4,43,59,62,1,171,421
35080,"Oxford/Oxford"," 88","Woodstock",5,6,46,45,53,0,155,341
35080,"Oxford/Oxford"," 89","Woodstock",3,9,35,57,52,0,156,427
35080,"Oxford/Oxford"," 90","Woodstock",4,11,35,54,60,1,165,421
35080,"Oxford/Oxford"," 91","Woodstock",4,13,50,47,67,0,181,453
35080,"Oxford/Oxford"," 92","Woodstock",1,4,49,71,71,2,198,452
35080,"Oxford/Oxford"," 93","Woodstock",1,6,43,81,63,1,195,371
35080,"Oxford/Oxford"," 94","Woodstock",0,6,46,76,62,1,191,359
35080,"Oxford/Oxford"," 95","Woodstock",3,7,45,52,66,1,174,374
35080,"Oxford/Oxford"," 96","Woodstock",0,8,39,65,63,1,176,366
35080,"Oxford/Oxford"," 97","Woodstock",8,5,46,67,59,0,185,420
35080,"Oxford/Oxford"," 98","Woodstock",4,3,35,95,69,2,208,416
35080,"Oxford/Oxford"," 99","Woodstock",2,6,46,93,97,0,244,374
35080,"Oxford/Oxford"," 100","Woodstock",2,7,62,103,92,3,269,483
35080,"Oxford/Oxford"," 101","Woodstock",1,4,26,98,81,1,211,379
35080,"Oxford/Oxford"," 102","Woodstock",4,11,51,80,71,0,217,392
35080,"Oxford/Oxford"," 103","Woodstock",0,4,17,49,47,0,117,241
35080,"Oxford/Oxford"," 104","Woodstock",3,8,52,99,64,0,226,455
35080,"Oxford/Oxford"," 105","Woodstock",3,9,37,76,73,0,198,372
35080,"Oxford/Oxford"," 106","Woodstock",2,8,39,91,69,1,210,441
35080,"Oxford/Oxford"," 107","Woodstock",2,3,53,105,72,0,235,463
35080,"Oxford/Oxford"," 108","Woodstock",1,5,40,103,74,0,223,453
35080,"Oxford/Oxford"," 109","Dorland",5,10,60,107,87,0,269,445
35080,"Oxford/Oxford"," 110","Dorland",7,11,60,63,51,1,193,311
35080,"Oxford/Oxford"," 111","Beachville",5,15,38,84,54,0,196,318
35080,"Oxford/Oxford"," 112","Rayside",1,3,31,87,42,2,166,307
35080,"Oxford/Oxford"," 113","Centreville",4,9,42,92,48,2,197,319
35080,"Oxford/Oxford"," 114","Sweaburg",0,4,23,118,75,0,220,312
35080,"Oxford/Oxford"," 115","Sweaburg",2,6,26,81,49,1,165,291
35080,"Oxford/Oxford"," 116","Foldens",5,8,34,104,64,1,216,357
35080,"Oxford/Oxford"," 117","Oxford Centre",16,11,33,159,53,3,275,369
35080,"Oxford/Oxford"," 118","Curries",15,13,37,158,84,0,307,431
35080,"Oxford/Oxford"," 119","Norwich",32,2,14,105,39,1,193,300
35080,"Oxford/Oxford"," 120","Burgessville",36,8,23,195,56,0,318,483
35080,"Oxford/Oxford"," 121","Holbrook",43,4,15,125,32,0,219,337
35080,"Oxford/Oxford"," 122","Brant",6,8,34,108,66,0,222,426
35080,"Oxford/Oxford"," 123","Brant",7,3,33,98,48,1,190,419
35080,"Oxford/Oxford"," 124","Brant",0,6,28,136,66,0,236,434
35080,"Oxford/Oxford"," 125","Brant",9,8,19,142,65,1,244,433
35080,"Oxford/Oxford"," 126","Brant",20,9,32,154,60,0,275,454
35080,"Oxford/Oxford"," 127","Norwich",19,12,34,122,55,0,242,418
35080,"Oxford/Oxford"," 128","Norwich",19,2,24,91,44,3,183,354
35080,"Oxford/Oxford"," 129","Norwich",55,4,10,120,55,0,244,419
35080,"Oxford/Oxford"," 130","Norwich",21,4,32,113,53,0,223,434
35080,"Oxford/Oxford"," 131","Norwich",4,7,28,91,57,0,187,383
35080,"Oxford/Oxford"," 132","Norwich",9,12,34,131,67,4,257,442
35080,"Oxford/Oxford"," 133","Norwich",34,2,8,94,35,0,173,252
35080,"Oxford/Oxford"," 134","Salford",26,8,38,98,48,0,218,363
35080,"Oxford/Oxford"," 135","Mount Elgin",15,5,44,137,61,2,264,456
35080,"Oxford/Oxford"," 136","Ostrander",9,6,18,88,37,0,158,309
35080,"Oxford/Oxford"," 137","Verschoyle",17,6,21,103,26,0,173,283
35080,"Oxford/Oxford"," 138","Verschoyle",10,7,20,82,27,2,148,280
35080,"Oxford/Oxford"," 139","Ingersoll",4,11,58,115,93,1,282,455
35080,"Oxford/Oxford"," 140","South-West Oxford",5,14,60,82,97,1,259,489
35080,"Oxford/Oxford"," 141","South-West Oxford",2,8,27,72,59,0,168,335
35080,"Oxford/Oxford"," 142","South-West Oxford",7,13,56,111,61,1,249,451
35080,"Oxford/Oxford"," 143","Zorra",2,14,25,103,59,0,203,334
35080,"Oxford/Oxford"," 144","Thamesford",2,14,31,74,49,0,170,279
35080,"Oxford/Oxford"," 145","Thamesford",2,10,51,83,57,0,203,312
35080,"Oxford/Oxford"," 146","Dicksons Corners",6,7,30,142,58,1,244,382
35080,"Oxford/Oxford"," 147","Zorra",2,14,44,103,53,0,216,323
35080,"Oxford/Oxford"," 148","Zorra",2,3,22,102,73,0,202,335
35080,"Oxford/Oxford"," 149","Thamesford",1,13,37,110,73,1,235,342
35080,"Oxford/Oxford"," 150","Thamesford",1,6,42,102,51,0,202,303
35080,"Oxford/Oxford"," 151","Ingersoll",1,8,52,57,72,0,190,468
35080,"Oxford/Oxford"," 152","Ingersoll",3,8,42,51,40,0,144,305
35080,"Oxford/Oxford"," 153","Ingersoll",2,9,48,113,57,0,229,408
35080,"Oxford/Oxford"," 154","Ingersoll",2,13,58,79,82,0,234,487
35080,"Oxford/Oxford"," 155","Ingersoll",1,8,48,71,75,2,205,363
35080,"Oxford/Oxford"," 156","Ingersoll",3,9,49,42,45,1,149,328
35080,"Oxford/Oxford"," 157","Ingersoll",3,6,50,76,67,2,204,457
35080,"Oxford/Oxford"," 158","Ingersoll",1,12,82,73,51,1,220,421
35080,"Oxford/Oxford"," 159","Ingersoll",2,5,61,36,45,1,150,313
35080,"Oxford/Oxford"," 160","Ingersoll",0,18,56,58,55,1,188,462
35080,"Oxford/Oxford"," 161","Ingersoll",3,13,60,92,87,0,255,427
35080,"Oxford/Oxford"," 162","Ingersoll",1,12,77,98,104,1,293,510
35080,"Oxford/Oxford"," 163","Ingersoll",1,15,74,83,87,2,262,471
35080,"Oxford/Oxford"," 164","Ingersoll",2,9,77,155,112,1,356,595
35080,"Oxford/Oxford"," 165","Ingersoll",3,17,66,77,76,0,239,481
35080,"Oxford/Oxford"," 166","Ingersoll",3,14,47,96,82,1,243,492
35080,"Oxford/Oxford"," 167","Ingersoll",5,18,72,68,94,0,257,450
35080,"Oxford/Oxford"," 168","Ingersoll",0,12,51,59,84,1,207,403
35080,"Oxford/Oxford"," 169","Tillsonburg",8,5,29,71,51,1,165,336
35080,"Oxford/Oxford"," 170","Tillsonburg",8,11,42,107,99,4,271,531
35080,"Oxford/Oxford"," 171","Tillsonburg",2,6,59,110,77,0,254,464
35080,"Oxford/Oxford"," 172","Delmer",7,1,17,117,36,0,178,300
35080,"Oxford/Oxford"," 173","Delmer",0,10,25,94,73,0,202,363
35080,"Oxford/Oxford"," 174","Delmer",7,6,32,105,59,0,209,400
35080,"Oxford/Oxford"," 175","Tillsonburg",6,24,47,61,70,1,209,484
35080,"Oxford/Oxford"," 176","Tillsonburg",3,12,43,98,81,2,239,496
35080,"Oxford/Oxford"," 177","Tillsonburg",2,6,38,80,92,0,218,525
35080,"Oxford/Oxford"," 178","Tillsonburg",3,15,37,83,54,3,195,390
35080,"Oxford/Oxford"," 179","Tillsonburg",2,9,26,90,81,0,208,488
35080,"Oxford/Oxford"," 180","Tillsonburg",6,6,57,107,82,3,261,519
35080,"Oxford/Oxford"," 181","Tillsonburg",0,3,22,72,71,2,170,322
35080,"Oxford/Oxford"," 182","Tillsonburg",2,4,35,109,76,1,227,420
35080,"Oxford/Oxford"," 183","Tillsonburg",2,11,28,82,53,0,176,386
35080,"Oxford/Oxford"," 184","Tillsonburg",0,7,17,124,69,2,219,432
35080,"Oxford/Oxford"," 185","Tillsonburg",0,7,30,62,90,0,189,422
35080,"Oxford/Oxford"," 186","Tillsonburg",1,9,23,56,54,1,144,394
35080,"Oxford/Oxford"," 187","Tillsonburg",1,6,19,64,36,0,126,386
35080,"Oxford/Oxford"," 188","Tillsonburg",3,5,46,65,82,0,201,405
35080,"Oxford/Oxford"," 189","Tillsonburg",6,13,23,48,67,1,158,441
35080,"Oxford/Oxford"," 190","Tillsonburg",3,9,23,151,73,0,259,415
35080,"Oxford/Oxford"," 191","Tillsonburg",3,8,22,118,89,1,241,418
35080,"Oxford/Oxford"," 192","Tillsonburg",2,5,36,149,100,2,294,485
35080,"Oxford/Oxford"," 193","Tillsonburg",1,11,34,171,108,2,327,579
35080,"Oxford/Oxford"," 194","Tillsonburg",2,2,15,144,89,0,252,477
35080,"Oxford/Oxford"," 195","Norfolk County",0,2,23,92,55,0,172,342
35080,"Oxford/Oxford"," 196","Norfolk County",5,6,33,93,68,0,205,521
35080,"Oxford/Oxford"," 197","Norfolk County",5,6,22,64,49,0,146,396
35080,"Oxford/Oxford"," 198","Springford",30,3,34,124,29,2,222,352
35080,"Oxford/Oxford"," 199","Norwich",12,5,22,143,52,0,234,400
35080,"Oxford/Oxford"," 200","Otterville",26,10,18,124,63,0,241,412
35080,"Oxford/Oxford"," 201","Hawtrey",19,1,22,123,56,3,224,376
35080,"Oxford/Oxford"," 202","Otterville",15,2,25,137,61,1,241,391
35080,"Oxford/Oxford"," 203","Brownsville Station",8,8,37,124,43,0,220,407
35080,"Oxford/Oxford"," 204","Brownsville",3,1,24,99,23,1,151,245
35080,"Oxford/Oxford"," 400","Woodstock",1,4,15,71,43,0,134,195
35080,"Oxford/Oxford"," 401","Woodstock",0,2,18,83,43,0,146,199
35080,"Oxford/Oxford"," 402","Woodstock",2,5,12,82,58,0,159,217
35080,"Oxford/Oxford"," 403","Woodstock",2,4,18,107,47,3,181,232
35080,"Oxford/Oxford"," 404","Woodstock",2,2,8,87,30,0,129,171
35080,"Oxford/Oxford"," 405","Woodstock",2,4,12,84,37,10,149,190
35080,"Oxford/Oxford"," 406","Woodstock",5,1,10,52,32,1,101,226
35080,"Oxford/Oxford"," 407","Woodstock",5,5,11,56,45,3,125,162
35080,"Oxford/Oxford"," 408","Woodstock",2,0,6,66,46,0,120,138
35080,"Oxford/Oxford"," 409","Woodstock",1,2,6,34,23,1,67,123
35080,"Oxford/Oxford"," 500","Mobile poll/Bureau itinérant",4,2,7,31,28,2,74,140
35080,"Oxford/Oxford"," 501","Mobile poll/Bureau itinérant",3,0,10,47,21,1,82,123
35080,"Oxford/Oxford"," 502","Mobile poll/Bureau itinérant",2,1,3,30,19,0,55,125
35080,"Oxford/Oxford"," 503","Mobile poll/Bureau itinérant",3,1,5,28,23,2,62,141
35080,"Oxford/Oxford"," 504","Mobile poll/Bureau itinérant",0,2,7,29,12,0,50,76
35080,"Oxford/Oxford"," 600","Zorra",7,20,80,307,193,0,607,
35080,"Oxford/Oxford"," 601","East Zorra-Tavistock",0,17,74,279,173,0,543,
35080,"Oxford/Oxford"," 602","Blandford-Blenheim",0,22,74,252,170,1,519,
35080,"Oxford/Oxford"," 603","Woodstock",3,27,136,354,298,5,823,
35080,"Oxford/Oxford"," 604","Woodstock",2,20,115,266,217,0,620,
35080,"Oxford/Oxford"," 605","Woodstock",3,22,87,269,226,4,611,
35080,"Oxford/Oxford"," 606","Woodstock",5,15,124,171,170,3,488,
35080,"Oxford/Oxford"," 607","Woodstock",5,17,138,231,200,0,591,
35080,"Oxford/Oxford"," 608","Ingersoll",7,37,227,263,235,4,773,
35080,"Oxford/Oxford"," 609","Ingersoll",7,34,135,288,224,0,688,
35080,"Oxford/Oxford"," 610","South-West Oxford",12,21,79,228,108,1,449,
35080,"Oxford/Oxford"," 611","Tillsonburg",5,25,133,406,251,2,822,
35080,"Oxford/Oxford"," 612","Tillsonburg",11,31,102,522,324,6,996,
35080,"Oxford/Oxford"," 613","Norwich",40,19,92,378,210,4,743,
35080,"Oxford/Oxford"," 614","Burford--Brant",2,8,27,81,53,4,175,
35080,"Oxford/Oxford",,"Group 1/Groupe 1",1,3,18,37,54,3,116,66
35080,"Oxford/Oxford",,"Group 2/Groupe 2",10,51,253,709,540,17,1580,
