Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Moe Comuzzi,Christy Radbourne,John Rafferty,Don Rusnak,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 1","Upsala",44,5,15,29,0,93,212
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 2","Thunder Bay, Unorganized",3,0,1,11,0,15,18
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 3","Comnee",30,10,25,48,0,113,305
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 4","Kakabeka Falls",31,13,25,46,1,116,273
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 5","Shebandowan",31,10,18,24,0,83,133
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 6","Sapawe",38,5,33,33,0,109,190
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 7","Atikokan",23,5,56,66,2,152,309
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 8","Atikokan",20,3,46,50,0,119,238
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 9","Atikokan",10,8,48,44,0,110,283
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 10","Atikokan",22,3,47,40,1,113,278
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 11","Atikokan",15,2,47,52,0,116,246
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 12","Atikokan",29,10,56,47,1,143,316
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 13","Atikokan",25,13,58,69,0,165,333
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 14","Atikokan",13,5,38,41,0,97,263
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 15","Seine River 23A",0,0,69,41,0,110,177
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 16","Mine Centre",14,2,6,7,0,29,65
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 17","Bear Pass",17,3,60,34,0,114,185
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 18","Rocky Inlet",77,7,30,62,0,176,262
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 19","Couchiching 16A",6,2,37,28,0,73,207
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 19-1","Couchiching 16A",0,0,44,7,0,51,75
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 20","Finland",40,7,26,20,0,93,198
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 21","Morson",23,0,10,5,0,38,98
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 21-1","Morson",0,0,41,14,2,57,70
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 22","Bergland",37,3,15,20,1,76,121
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 23","Morson",2,3,74,11,0,90,101
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 24","Dawson",44,3,39,35,0,121,286
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 25","River",34,0,29,32,0,95,206
