Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,John P. Curley,Max Kennedy,Todd Lever,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35107,"Timmins--James Bay/Timmins--Baie James"," 1","Peawanuck",44,0,1,21,0,66,123
35107,"Timmins--James Bay/Timmins--Baie James"," 2","Attawapiskat",239,2,6,56,17,320,594
35107,"Timmins--James Bay/Timmins--Baie James"," 3","Kashechewan",303,2,0,39,0,344,406
35107,"Timmins--James Bay/Timmins--Baie James"," 4","Fort Albany 67",168,3,4,37,2,214,387
35107,"Timmins--James Bay/Timmins--Baie James"," 5","Moosonee",134,24,2,41,19,220,472
35107,"Timmins--James Bay/Timmins--Baie James"," 6","Moosonee",131,11,1,34,13,190,527
35107,"Timmins--James Bay/Timmins--Baie James"," 7","Moose Factory 68",556,16,7,110,26,715,1063
35107,"Timmins--James Bay/Timmins--Baie James"," 8","Norembega",36,10,1,15,0,62,129
35107,"Timmins--James Bay/Timmins--Baie James"," 9","Cochrane",86,45,1,86,0,218,516
35107,"Timmins--James Bay/Timmins--Baie James"," 10","Cochrane",94,40,2,86,1,223,555
35107,"Timmins--James Bay/Timmins--Baie James"," 11","Cochrane",81,33,0,84,0,198,432
35107,"Timmins--James Bay/Timmins--Baie James"," 12","Cochrane",105,35,1,94,0,235,472
35107,"Timmins--James Bay/Timmins--Baie James"," 13","Cochrane",95,27,2,73,0,197,409
35107,"Timmins--James Bay/Timmins--Baie James"," 14","Cochrane",76,23,1,61,2,163,378
35107,"Timmins--James Bay/Timmins--Baie James"," 15","Cochrane",70,26,4,79,1,180,445
35107,"Timmins--James Bay/Timmins--Baie James"," 16","Cochrane",89,25,1,71,0,186,439
35107,"Timmins--James Bay/Timmins--Baie James"," 17","Berylvale",84,27,7,66,0,184,469
35107,"Timmins--James Bay/Timmins--Baie James"," 18","Frederick",52,23,3,53,0,131,263
35107,"Timmins--James Bay/Timmins--Baie James"," 19","Iroquois Falls",98,40,3,64,0,205,500
35107,"Timmins--James Bay/Timmins--Baie James"," 20","Iroquois Falls",57,15,4,31,0,107,255
35107,"Timmins--James Bay/Timmins--Baie James"," 21","Iroquois Falls",60,22,1,50,0,133,309
35107,"Timmins--James Bay/Timmins--Baie James"," 22","Iroquois Falls",63,30,0,44,1,138,397
35107,"Timmins--James Bay/Timmins--Baie James"," 23","Iroquois Falls",89,29,2,55,0,175,377
35107,"Timmins--James Bay/Timmins--Baie James"," 24","Iroquois Falls",62,28,3,37,0,130,301
35107,"Timmins--James Bay/Timmins--Baie James"," 25","Iroquois Falls",38,18,4,31,0,91,303
35107,"Timmins--James Bay/Timmins--Baie James"," 26","Iroquois Falls",30,12,1,25,0,68,211
35107,"Timmins--James Bay/Timmins--Baie James"," 27","Iroquois Falls",50,22,3,43,0,118,320
35107,"Timmins--James Bay/Timmins--Baie James"," 28","Iroquois Falls",50,23,2,43,1,119,358
35107,"Timmins--James Bay/Timmins--Baie James"," 29","Iroquois Falls",57,34,4,50,1,146,390
35107,"Timmins--James Bay/Timmins--Baie James"," 30","Mace",28,32,3,37,2,102,199
35107,"Timmins--James Bay/Timmins--Baie James"," 31","Matheson",57,79,9,50,2,197,392
35107,"Timmins--James Bay/Timmins--Baie James"," 32","Matheson",51,73,8,41,1,174,354
35107,"Timmins--James Bay/Timmins--Baie James"," 33","Abitibi 70",36,0,3,25,0,64,77
35107,"Timmins--James Bay/Timmins--Baie James"," 34","Val Gagné",93,40,1,69,1,204,427
35107,"Timmins--James Bay/Timmins--Baie James"," 35","Shillington",43,32,4,30,1,110,204
35107,"Timmins--James Bay/Timmins--Baie James"," 36","Timmins",86,58,5,113,1,263,502
