Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elizabeth Abbott,Julie Dabrusin,Benjamin Dichter,John Richardson,Craig Scott,Chris Tolley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35109,"Toronto--Danforth/Toronto--Danforth"," 1","East York",0,81,63,18,42,11,0,215,371
35109,"Toronto--Danforth/Toronto--Danforth"," 2","East York",1,96,39,12,59,7,2,216,372
35109,"Toronto--Danforth/Toronto--Danforth"," 3","East York",2,103,45,8,69,9,0,236,401
35109,"Toronto--Danforth/Toronto--Danforth"," 4","East York",0,110,47,12,60,10,0,239,428
35109,"Toronto--Danforth/Toronto--Danforth"," 5","East York",1,109,55,13,58,6,0,242,403
35109,"Toronto--Danforth/Toronto--Danforth"," 6","East York",3,94,40,8,77,11,3,236,450
35109,"Toronto--Danforth/Toronto--Danforth"," 7","East York",3,89,37,7,78,6,0,220,406
35109,"Toronto--Danforth/Toronto--Danforth"," 8","East York",3,113,27,4,72,11,2,232,422
35109,"Toronto--Danforth/Toronto--Danforth"," 9","East York",2,73,34,9,84,14,4,220,415
35109,"Toronto--Danforth/Toronto--Danforth"," 10","East York",2,129,18,5,116,10,2,282,460
35109,"Toronto--Danforth/Toronto--Danforth"," 11","East York",1,101,33,12,82,7,3,239,438
35109,"Toronto--Danforth/Toronto--Danforth"," 12","East York",4,94,36,6,85,5,2,232,425
35109,"Toronto--Danforth/Toronto--Danforth"," 13","East York",0,118,31,2,65,13,2,231,444
35109,"Toronto--Danforth/Toronto--Danforth"," 14","East York",1,90,45,11,40,6,0,193,374
35109,"Toronto--Danforth/Toronto--Danforth"," 15","East York",1,101,36,3,80,11,1,233,435
35109,"Toronto--Danforth/Toronto--Danforth"," 16","East York",2,99,40,18,52,6,2,219,429
35109,"Toronto--Danforth/Toronto--Danforth"," 17","East York",0,77,26,4,72,9,2,190,394
35109,"Toronto--Danforth/Toronto--Danforth"," 18","East York",2,108,15,5,65,6,2,203,454
35109,"Toronto--Danforth/Toronto--Danforth"," 19","East York",1,83,21,4,83,10,2,204,542
35109,"Toronto--Danforth/Toronto--Danforth"," 20","East York",0,97,26,5,60,6,1,195,477
35109,"Toronto--Danforth/Toronto--Danforth"," 21","East York",3,83,23,4,77,9,0,199,465
35109,"Toronto--Danforth/Toronto--Danforth"," 22","East York",1,109,23,4,62,9,1,209,499
35109,"Toronto--Danforth/Toronto--Danforth"," 23","East York",2,81,27,8,59,5,1,183,401
35109,"Toronto--Danforth/Toronto--Danforth"," 24","East York",5,106,36,7,107,8,1,270,475
35109,"Toronto--Danforth/Toronto--Danforth"," 25","East York",0,52,14,6,32,3,0,107,275
35109,"Toronto--Danforth/Toronto--Danforth"," 26","East York",3,75,30,4,75,3,1,191,375
35109,"Toronto--Danforth/Toronto--Danforth"," 27","East York",1,80,37,7,44,6,0,175,304
35109,"Toronto--Danforth/Toronto--Danforth"," 28","East York",1,70,28,6,69,2,0,176,392
35109,"Toronto--Danforth/Toronto--Danforth"," 29","East York",2,93,14,5,60,3,1,178,382
35109,"Toronto--Danforth/Toronto--Danforth"," 30","East York",0,73,21,3,48,7,1,153,334
