Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Braid,Bardish Chagger,Diane Freeman,Emma Hawley-Yan,Richard Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35112,"Waterloo/Waterloo"," 1A","Waterloo",76,50,14,0,1,0,141,262
35112,"Waterloo/Waterloo"," 1B","Waterloo",80,78,11,0,1,0,170,282
35112,"Waterloo/Waterloo"," 2","Waterloo",95,132,47,1,7,1,283,421
35112,"Waterloo/Waterloo"," 3A","Waterloo",29,34,6,0,2,0,71,90
35112,"Waterloo/Waterloo"," 3B","Waterloo",70,58,22,0,5,0,155,250
35112,"Waterloo/Waterloo"," 4","Waterloo",112,88,15,0,3,0,218,387
35112,"Waterloo/Waterloo"," 5","Waterloo",65,79,30,0,3,2,179,308
35112,"Waterloo/Waterloo"," 6","Waterloo",78,91,15,0,5,2,191,295
35112,"Waterloo/Waterloo"," 7","Waterloo",86,102,23,0,4,1,216,402
35112,"Waterloo/Waterloo"," 8","Waterloo",116,121,40,1,9,0,287,482
35112,"Waterloo/Waterloo"," 9","Waterloo",92,80,26,0,5,0,203,322
35112,"Waterloo/Waterloo"," 10","Waterloo",119,138,46,1,6,0,310,479
35112,"Waterloo/Waterloo"," 11","Waterloo",78,112,29,0,5,0,224,408
35112,"Waterloo/Waterloo"," 12","Waterloo",83,91,23,0,2,0,199,306
35112,"Waterloo/Waterloo"," 13","Waterloo",71,74,39,0,3,0,187,292
35112,"Waterloo/Waterloo"," 14A","Waterloo",35,71,13,0,6,0,125,265
35112,"Waterloo/Waterloo"," 14B","Waterloo",40,62,13,2,7,0,124,260
35112,"Waterloo/Waterloo"," 15","Waterloo",78,71,19,0,6,0,174,323
35112,"Waterloo/Waterloo"," 16","Waterloo",107,105,13,0,5,0,230,435
35112,"Waterloo/Waterloo"," 17","Waterloo",144,80,23,1,7,0,255,436
35112,"Waterloo/Waterloo"," 18","Waterloo",91,116,33,1,4,0,245,446
35112,"Waterloo/Waterloo"," 19","Waterloo",87,90,9,2,5,0,193,328
35112,"Waterloo/Waterloo"," 20","Waterloo",87,92,30,0,5,0,214,362
35112,"Waterloo/Waterloo"," 21","Waterloo",119,106,35,0,4,1,265,446
35112,"Waterloo/Waterloo"," 22","Waterloo",114,112,27,1,8,1,263,409
35112,"Waterloo/Waterloo"," 23","Waterloo",66,84,24,0,3,0,177,317
35112,"Waterloo/Waterloo"," 24","Waterloo",93,128,37,1,5,0,264,408
35112,"Waterloo/Waterloo"," 25","Waterloo",120,133,27,1,7,2,290,456
35112,"Waterloo/Waterloo"," 26","Waterloo",64,69,32,0,10,1,176,270
35112,"Waterloo/Waterloo"," 27","Waterloo",33,72,37,0,5,1,148,388
35112,"Waterloo/Waterloo"," 28","Waterloo",68,126,42,1,5,0,242,499
35112,"Waterloo/Waterloo"," 29","Waterloo",55,103,31,1,7,0,197,393
35112,"Waterloo/Waterloo"," 30","Waterloo",95,112,40,1,9,0,257,429
35112,"Waterloo/Waterloo"," 31","Waterloo",69,119,44,1,5,0,238,390
35112,"Waterloo/Waterloo"," 32","Waterloo",70,108,28,1,8,0,215,370
35112,"Waterloo/Waterloo"," 33","Waterloo",66,106,48,0,9,0,229,374
35112,"Waterloo/Waterloo"," 34","Waterloo",82,142,53,1,10,0,288,446
35112,"Waterloo/Waterloo"," 35","Waterloo",126,125,43,0,10,0,304,476
35112,"Waterloo/Waterloo"," 36A","Waterloo",62,61,26,2,12,0,163,265
