Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Birinder Singh Ahluwalia,James Arruda,Ali Ehsassi,Chungsen Leung,Pouyan Tabasinejad,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35115,"Willowdale/Willowdale"," 1","North York",1,3,64,59,6,0,133,292
35115,"Willowdale/Willowdale"," 2","North York",0,3,88,115,13,0,219,513
35115,"Willowdale/Willowdale"," 3","North York",0,1,56,69,7,0,133,324
35115,"Willowdale/Willowdale"," 4","North York",1,6,78,59,5,0,149,332
35115,"Willowdale/Willowdale"," 5","North York",1,2,110,78,14,0,205,392
35115,"Willowdale/Willowdale"," 6","North York",0,5,102,53,17,1,178,436
35115,"Willowdale/Willowdale"," 7","North York",0,1,97,98,7,2,205,410
35115,"Willowdale/Willowdale"," 8","North York",1,3,122,60,12,0,198,435
35115,"Willowdale/Willowdale"," 9","North York",0,3,93,64,10,3,173,356
35115,"Willowdale/Willowdale"," 10","North York",0,3,85,46,10,1,145,339
35115,"Willowdale/Willowdale"," 11","North York",1,3,80,47,8,0,139,387
35115,"Willowdale/Willowdale"," 12","North York",0,4,66,58,15,0,143,332
35115,"Willowdale/Willowdale"," 13","North York",1,1,95,63,10,4,174,392
35115,"Willowdale/Willowdale"," 14","North York",4,4,99,57,7,0,171,349
35115,"Willowdale/Willowdale"," 15","North York",5,0,115,73,9,5,207,412
35115,"Willowdale/Willowdale"," 16","North York",0,6,82,62,6,0,156,323
35115,"Willowdale/Willowdale"," 17","North York",2,3,101,77,20,0,203,410
35115,"Willowdale/Willowdale"," 18","North York",0,0,72,77,7,1,157,335
35115,"Willowdale/Willowdale"," 19","North York",0,1,71,68,13,6,159,358
35115,"Willowdale/Willowdale"," 20","North York",1,5,83,64,7,0,160,377
35115,"Willowdale/Willowdale"," 21","North York",1,4,53,58,4,0,120,340
35115,"Willowdale/Willowdale"," 22","North York",1,1,48,84,8,0,142,373
35115,"Willowdale/Willowdale"," 23","North York",3,4,69,47,15,1,139,400
35115,"Willowdale/Willowdale"," 24A","North York",1,1,103,64,15,1,185,358
35115,"Willowdale/Willowdale"," 24B","North York",Merged with No./Fusionné avec le n°23,,,,,,,4
35115,"Willowdale/Willowdale"," 25","North York",1,10,118,65,6,0,200,439
35115,"Willowdale/Willowdale"," 26","North York",Merged with No./Fusionné avec le n°27,,,,,,,185
35115,"Willowdale/Willowdale"," 27","North York",0,5,119,82,20,2,228,359
35115,"Willowdale/Willowdale"," 28A","North York",0,2,89,61,19,0,171,153
35115,"Willowdale/Willowdale"," 28B","North York",0,8,108,48,12,0,176,346
35115,"Willowdale/Willowdale"," 29","North York",2,3,81,32,11,0,129,390
35115,"Willowdale/Willowdale"," 30","North York",2,3,101,84,12,1,203,429
35115,"Willowdale/Willowdale"," 31","North York",0,4,78,83,11,1,177,409
35115,"Willowdale/Willowdale"," 31-1","North York",0,0,45,17,3,0,65,233
35115,"Willowdale/Willowdale"," 32","North York",1,4,119,102,4,0,230,456
35115,"Willowdale/Willowdale"," 33","North York",0,1,87,75,9,1,173,362
35115,"Willowdale/Willowdale"," 34","North York",0,3,75,67,11,2,158,364
35115,"Willowdale/Willowdale"," 35","North York",0,2,78,48,11,1,140,367
35115,"Willowdale/Willowdale"," 36","North York",1,1,87,41,11,0,141,389
35115,"Willowdale/Willowdale"," 37","North York",0,5,98,97,19,1,220,429
35115,"Willowdale/Willowdale"," 38","North York",1,2,85,80,31,0,199,367
35115,"Willowdale/Willowdale"," 39","North York",1,3,83,62,17,0,166,369
35115,"Willowdale/Willowdale"," 40","North York",0,2,80,60,9,2,153,397
35115,"Willowdale/Willowdale"," 41","North York",0,2,55,68,16,2,143,331
