Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ahmed Hussen,John Johnson,Stephen Lepone,James Robinson,Mike Sullivan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35120,"York South--Weston/York-Sud--Weston"," 1","North York",113,1,8,47,75,1,245,360
35120,"York South--Weston/York-Sud--Weston"," 2","North York",149,13,6,72,46,1,287,452
35120,"York South--Weston/York-Sud--Weston"," 3","North York",93,4,5,34,39,0,175,401
35120,"York South--Weston/York-Sud--Weston"," 4","North York",103,5,3,73,40,0,224,446
35120,"York South--Weston/York-Sud--Weston"," 5","North York",156,2,10,58,77,3,306,490
35120,"York South--Weston/York-Sud--Weston"," 6","North York",60,4,0,30,41,2,137,276
35120,"York South--Weston/York-Sud--Weston"," 7","North York",101,3,6,64,47,2,223,393
35120,"York South--Weston/York-Sud--Weston"," 8","North York",122,6,8,74,49,2,261,448
35120,"York South--Weston/York-Sud--Weston"," 9","North York",103,1,7,53,45,0,209,370
35120,"York South--Weston/York-Sud--Weston"," 10","North York",72,9,4,53,51,1,190,322
35120,"York South--Weston/York-Sud--Weston"," 11","North York",110,5,8,68,60,3,254,480
35120,"York South--Weston/York-Sud--Weston"," 12","North York",159,6,6,46,43,2,262,459
35120,"York South--Weston/York-Sud--Weston"," 13","North York",99,9,9,57,72,2,248,473
35120,"York South--Weston/York-Sud--Weston"," 14","North York",94,8,6,69,50,3,230,465
35120,"York South--Weston/York-Sud--Weston"," 15","North York",108,2,5,58,58,4,235,386
35120,"York South--Weston/York-Sud--Weston"," 16A","North York",60,5,3,33,36,0,137,269
35120,"York South--Weston/York-Sud--Weston"," 16B","North York",Merged with No./Fusionné avec le n°12,,,,,,,80
35120,"York South--Weston/York-Sud--Weston"," 17","North York",103,2,7,74,62,1,249,390
35120,"York South--Weston/York-Sud--Weston"," 18","North York",99,6,3,50,37,3,198,392
35120,"York South--Weston/York-Sud--Weston"," 19","North York",74,5,7,51,52,4,193,421
35120,"York South--Weston/York-Sud--Weston"," 20","North York",104,5,2,26,61,0,198,445
35120,"York South--Weston/York-Sud--Weston"," 21","North York",97,3,10,36,42,0,188,427
35120,"York South--Weston/York-Sud--Weston"," 22","North York",61,1,3,22,31,0,118,308
35120,"York South--Weston/York-Sud--Weston"," 23","North York",104,1,3,69,40,4,221,463
35120,"York South--Weston/York-Sud--Weston"," 24","North York",85,3,9,52,44,1,194,463
35120,"York South--Weston/York-Sud--Weston"," 25","North York",99,2,5,56,85,2,249,436
35120,"York South--Weston/York-Sud--Weston"," 26","North York",97,3,1,57,56,3,217,422
35120,"York South--Weston/York-Sud--Weston"," 27","North York",91,3,4,69,45,1,213,484
35120,"York South--Weston/York-Sud--Weston"," 28","North York",65,4,6,45,44,3,167,337
35120,"York South--Weston/York-Sud--Weston"," 29","North York",91,3,5,28,39,1,167,330
35120,"York South--Weston/York-Sud--Weston"," 30","North York",112,1,5,16,49,1,184,468
35120,"York South--Weston/York-Sud--Weston"," 31","North York",159,6,19,86,75,5,350,524
35120,"York South--Weston/York-Sud--Weston"," 32","North York",161,2,12,16,83,0,274,525
35120,"York South--Weston/York-Sud--Weston"," 33","North York",54,1,3,5,21,0,84,301
35120,"York South--Weston/York-Sud--Weston"," 34","North York",63,0,1,9,32,1,106,395
35120,"York South--Weston/York-Sud--Weston"," 35","York",83,3,4,41,108,3,242,441
35120,"York South--Weston/York-Sud--Weston"," 36","York",124,27,2,5,138,0,296,480
35120,"York South--Weston/York-Sud--Weston"," 37","York",73,4,2,62,133,0,274,449
35120,"York South--Weston/York-Sud--Weston"," 38","York",85,6,3,37,55,0,186,409
35120,"York South--Weston/York-Sud--Weston"," 39","York",83,4,9,37,41,0,174,373
35120,"York South--Weston/York-Sud--Weston"," 40","North York",96,8,8,80,90,1,283,467
35120,"York South--Weston/York-Sud--Weston"," 41","North York",93,9,4,49,71,1,227,363
35120,"York South--Weston/York-Sud--Weston"," 42","North York",81,7,8,67,80,2,245,448
35120,"York South--Weston/York-Sud--Weston"," 43","North York",85,3,2,58,106,3,257,422
35120,"York South--Weston/York-Sud--Weston"," 44","North York",84,7,3,49,109,0,252,414
35120,"York South--Weston/York-Sud--Weston"," 45","North York",98,2,7,39,74,0,220,415
35120,"York South--Weston/York-Sud--Weston"," 46","North York",104,3,6,57,66,1,237,533
35120,"York South--Weston/York-Sud--Weston"," 47","York",74,3,5,47,69,2,200,477
35120,"York South--Weston/York-Sud--Weston"," 48","York",76,3,6,23,53,1,162,475
35120,"York South--Weston/York-Sud--Weston"," 49","York",100,0,6,41,60,5,212,445
35120,"York South--Weston/York-Sud--Weston"," 50","York",89,3,4,35,54,0,185,532
35120,"York South--Weston/York-Sud--Weston"," 51","York",82,10,3,53,90,0,238,445
35120,"York South--Weston/York-Sud--Weston"," 52","York",70,3,2,31,108,1,215,457
35120,"York South--Weston/York-Sud--Weston"," 53","York",64,10,1,61,118,2,256,449
35120,"York South--Weston/York-Sud--Weston"," 54","York",74,7,3,41,84,3,212,400
35120,"York South--Weston/York-Sud--Weston"," 55","York",87,2,2,24,53,0,168,411
35120,"York South--Weston/York-Sud--Weston"," 56","North York",88,4,3,43,48,1,187,378
35120,"York South--Weston/York-Sud--Weston"," 57","North York",87,2,3,60,54,1,207,327
35120,"York South--Weston/York-Sud--Weston"," 58","North York",115,4,7,58,57,1,242,370
