Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blaikie,Kim Parke,Andrea Richardson-Lipon,Lawrence Toet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46005,"Elmwood--Transcona/Elmwood--Transcona"," 1A","Winnipeg",52,4,55,54,1,166,274
46005,"Elmwood--Transcona/Elmwood--Transcona"," 1B","Winnipeg",67,9,65,99,3,243,373
46005,"Elmwood--Transcona/Elmwood--Transcona"," 2","Winnipeg",109,9,52,74,0,244,423
46005,"Elmwood--Transcona/Elmwood--Transcona"," 3","Winnipeg",51,7,73,54,0,185,460
46005,"Elmwood--Transcona/Elmwood--Transcona"," 4","Winnipeg",92,6,60,103,1,262,399
46005,"Elmwood--Transcona/Elmwood--Transcona"," 5","Winnipeg",139,5,107,59,1,311,450
46005,"Elmwood--Transcona/Elmwood--Transcona"," 6","Winnipeg",64,7,63,76,1,211,383
46005,"Elmwood--Transcona/Elmwood--Transcona"," 7","Winnipeg",72,5,60,58,0,195,375
46005,"Elmwood--Transcona/Elmwood--Transcona"," 8","Winnipeg",66,11,46,57,2,182,356
46005,"Elmwood--Transcona/Elmwood--Transcona"," 9","Winnipeg",69,4,67,85,0,225,428
46005,"Elmwood--Transcona/Elmwood--Transcona"," 10","Winnipeg",79,5,82,63,4,233,439
46005,"Elmwood--Transcona/Elmwood--Transcona"," 11","Winnipeg",74,3,61,85,0,223,373
46005,"Elmwood--Transcona/Elmwood--Transcona"," 12","Winnipeg",74,4,61,78,1,218,392
46005,"Elmwood--Transcona/Elmwood--Transcona"," 13","Winnipeg",82,7,52,70,0,211,412
46005,"Elmwood--Transcona/Elmwood--Transcona"," 14","Winnipeg",103,7,68,64,1,243,460
46005,"Elmwood--Transcona/Elmwood--Transcona"," 15","Winnipeg",63,6,66,52,0,187,367
46005,"Elmwood--Transcona/Elmwood--Transcona"," 16","Winnipeg",75,4,59,67,1,206,362
46005,"Elmwood--Transcona/Elmwood--Transcona"," 17","Winnipeg",84,8,72,59,0,223,473
46005,"Elmwood--Transcona/Elmwood--Transcona"," 18","Winnipeg",73,7,57,72,1,210,443
46005,"Elmwood--Transcona/Elmwood--Transcona"," 19","Winnipeg",80,9,74,57,1,221,393
46005,"Elmwood--Transcona/Elmwood--Transcona"," 20","Winnipeg",66,3,76,62,1,208,423
46005,"Elmwood--Transcona/Elmwood--Transcona"," 21","Winnipeg",74,6,74,59,2,215,473
46005,"Elmwood--Transcona/Elmwood--Transcona"," 22","Winnipeg",63,3,55,54,1,176,349
46005,"Elmwood--Transcona/Elmwood--Transcona"," 23","Winnipeg",45,5,78,48,1,177,375
46005,"Elmwood--Transcona/Elmwood--Transcona"," 24","Winnipeg",46,4,57,40,0,147,375
46005,"Elmwood--Transcona/Elmwood--Transcona"," 25","Winnipeg",57,6,75,28,0,166,406
46005,"Elmwood--Transcona/Elmwood--Transcona"," 26","Winnipeg",72,8,69,113,0,262,454
