Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Bell,Eduard Walter Hiebert,Suzanne Hrynyk,MaryAnn Mihychuk,David Reimer,Steven Stairs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 1","West St. Paul",85,2,21,52,2,1,0,163,303
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 2","Rivercrest",95,2,14,101,3,4,1,220,378
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 3","West St. Paul",96,0,14,81,1,3,1,196,346
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 4","Rivercrest",102,1,24,112,1,3,0,243,382
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 5","Middlechurch",87,0,22,60,0,1,0,170,297
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 6","Rivercrest",96,0,17,76,0,1,1,191,310
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 7","Rivercrest",87,0,16,88,5,9,0,205,299
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 8","Middlechurch",119,1,30,141,1,3,1,296,472
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 9","McNaughton",42,0,13,54,2,1,0,112,232
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 10","McNaughton",54,0,15,41,1,1,1,113,207
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 11","East St. Paul",118,0,8,59,4,3,0,192,297
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 12","East St. Paul",170,0,16,89,2,8,0,285,511
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 13","East St. Paul",58,1,6,51,3,6,0,125,203
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 14A","East St. Paul",85,0,26,74,6,3,0,194,296
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 14B","East St. Paul",102,0,21,67,3,2,1,196,306
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 15","East St. Paul",129,0,13,113,0,4,1,260,413
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 16","East St. Paul",119,1,31,75,4,4,0,234,401
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 17","East St. Paul",166,0,23,86,6,2,0,283,449
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 18A","East St. Paul",97,0,13,55,2,2,0,169,320
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 18B","East St. Paul",Merged with No./Fusionné avec le n°19,,,,,,,,43
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 19","East St. Paul",100,0,8,60,1,4,0,173,243
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 20","East St. Paul",105,0,15,68,2,5,0,195,325
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 21","East St. Paul",127,0,10,74,0,2,0,213,352
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 22","East St. Paul",132,0,12,88,2,2,0,236,417
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 23","East St. Paul",160,0,9,81,1,6,2,259,448
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 24","East St. Paul",144,1,14,61,2,0,1,223,379
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 25","East St. Paul",92,0,8,69,4,5,0,178,307
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 26","East St. Paul",161,0,15,58,0,0,1,235,414
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 27","East St. Paul",94,0,17,61,1,0,0,173,298
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 28","East St. Paul",81,0,29,60,4,3,1,178,359
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 29","Birds Hill",96,0,19,78,1,1,0,195,357
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 30","Birds Hill",118,1,24,83,2,12,0,240,352
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 31","Winnipeg",125,0,29,168,3,1,1,327,552
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 32","Winnipeg",117,1,23,99,1,2,1,244,434
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 33","Winnipeg",78,0,28,104,0,1,0,211,389
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 34","Winnipeg",104,0,19,101,0,1,0,225,408
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 35A","Winnipeg",104,2,25,102,2,1,0,236,377
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 35B","Winnipeg",Merged with No./Fusionné avec le n°41,,,,,,,,79
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 36","Winnipeg",109,1,30,91,2,5,0,238,390
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 37","Winnipeg",93,1,39,87,1,6,0,227,362
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 38","Winnipeg",113,0,37,94,3,4,1,252,409
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 39","Winnipeg",107,0,26,83,0,7,0,223,374
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 40","Winnipeg",76,1,36,111,3,8,2,237,368
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 41","Winnipeg",128,0,38,144,5,8,1,324,408
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 42","Middlechurch",79,0,14,67,1,2,0,163,284
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 43","Riverdale",102,1,18,88,1,3,0,213,365
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 44","Winnipeg",38,1,12,53,1,0,0,105,217
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 45","Winnipeg",64,2,42,140,2,6,1,257,518
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 46","Winnipeg",92,1,32,100,3,1,1,230,408
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 47","Winnipeg",64,0,28,121,2,4,2,221,422
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 48","Winnipeg",61,0,27,114,0,3,1,206,423
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 49","Winnipeg",64,1,45,120,0,4,3,237,452
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 50","Winnipeg",87,1,43,120,2,4,1,258,435
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 51","Winnipeg",73,0,22,121,1,3,0,220,386
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 52","Winnipeg",83,0,28,119,1,5,0,236,434
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 53","Winnipeg",80,1,13,55,4,3,2,158,306
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 54A","Winnipeg",65,0,13,73,0,3,1,155,263
