Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Falk,Terry Hayward,Les Lilley,Jeff Wheeldon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 1","Pointe du Bois",155,91,23,17,3,289,482
46008,"Provencher/Provencher"," 2","Seven Sisters Falls",Void/Supprimé,,,,,,
46008,"Provencher/Provencher"," 3","Seddons Corner",30,29,4,5,0,68,120
46008,"Provencher/Provencher"," 4","Ste. Rita",126,48,7,12,0,193,380
46008,"Provencher/Provencher"," 5","Whitemouth",54,38,11,8,0,111,167
46008,"Provencher/Provencher"," 6","Whitemouth",177,77,14,10,0,278,485
46008,"Provencher/Provencher"," 7","Elma",65,42,13,13,0,133,361
46008,"Provencher/Provencher"," 8","Ross",103,116,27,12,7,265,514
46008,"Provencher/Provencher"," 9","Richer",132,167,33,13,0,345,626
46008,"Provencher/Provencher"," 10","Vivian",130,102,26,18,0,276,432
46008,"Provencher/Provencher"," 11","Anola",102,102,31,15,0,250,368
46008,"Provencher/Provencher"," 12","Anola",85,91,25,5,0,206,294
46008,"Provencher/Provencher"," 13","Anola",108,126,17,17,1,269,434
46008,"Provencher/Provencher"," 14","Anola",82,64,11,3,0,160,254
46008,"Provencher/Provencher"," 15","Anola",153,115,23,13,0,304,527
46008,"Provencher/Provencher"," 16","Hazelridge",132,95,21,12,2,262,458
46008,"Provencher/Provencher"," 17","Melrose",161,178,36,10,2,387,663
46008,"Provencher/Provencher"," 18","Sapton",105,84,18,6,0,213,365
46008,"Provencher/Provencher"," 19","Sapton",124,90,28,7,3,252,403
46008,"Provencher/Provencher"," 20","Cooks Creek",105,97,9,12,1,224,375
46008,"Provencher/Provencher"," 21","Cooks Creek",65,58,12,8,0,143,208
46008,"Provencher/Provencher"," 22","Springfield",164,92,27,8,0,291,458
46008,"Provencher/Provencher"," 23","Springfield",148,85,18,10,2,263,467
46008,"Provencher/Provencher"," 24A","Oakbank",187,117,21,5,0,330,552
46008,"Provencher/Provencher"," 24B","Oakbank",142,127,17,10,0,296,516
46008,"Provencher/Provencher"," 25","Oakbank",190,113,16,8,0,327,550
46008,"Provencher/Provencher"," 26","Oakbank",79,64,13,11,0,167,303
46008,"Provencher/Provencher"," 27A","Oakbank",109,92,16,5,1,223,360
