Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bezan,Deborah Chief,Donald L. Grant,Wayne James,Joanne Levy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 1","Grahamdale",Merged with No./Fusionné avec le n°2A,,,,,,,2
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 2A","Grahamdale",49,9,1,2,12,1,74,172
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 2B","Grahamdale",27,2,0,1,13,0,43,157
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 3","Grahamdale",Void/Supprimé,,,,,,,
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 4","Grahamdale",153,3,0,3,29,0,188,294
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 5","Moosehorn",166,24,3,4,36,4,237,349
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 6","Ashern",60,7,2,2,27,1,99,194
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 7","Ashern",148,11,2,15,49,0,225,412
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 8","Ashern",37,3,1,2,24,2,69,122
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 9","Peguis",84,12,2,0,27,0,125,331
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 10","Hecla--Washow",84,7,2,3,18,1,115,184
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 11","Shorncliffe--Ledwyn",63,14,2,6,26,0,111,227
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 12","Riverton",100,24,4,5,70,0,203,367
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 13","Riverton",58,19,3,5,43,1,129,288
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 14","Riverton",34,9,1,4,16,0,64,163
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 15A","Vidir",73,6,0,1,12,0,92,267
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 15B","Vidir",59,3,0,0,11,0,73,243
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 16","Sylvan",60,18,2,4,28,0,112,221
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 17","Fisher Branch",79,19,2,4,29,0,133,240
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 18","Fisherton",153,33,6,4,50,0,246,418
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman"," 19","Camper",78,2,1,1,19,1,102,196
