Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Anderson,William Caton,Trevor Peterson,Marvin Wiens,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 1","Marengo",19,1,1,1,0,22,33
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 2","Marengo",74,3,5,20,0,102,144
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 3","Marengo",41,1,7,1,0,50,48
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 4","Alsask",49,6,7,13,1,76,113
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 5","Eatonia",159,9,35,39,0,242,359
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 6","Eatonia",163,6,15,19,2,205,362
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 7","Flaxcombe",87,2,8,8,0,105,210
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 8","Kindersley",127,11,12,30,2,182,316
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 9","Kindersley",155,4,18,28,0,205,311
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 10","Kindersley",118,2,23,16,0,159,321
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 11","Kindersley",184,6,26,32,0,248,653
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 12","Kindersley",126,4,13,24,0,167,292
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 13","Kindersley",155,4,15,38,0,212,451
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 14A","Kindersley",113,1,8,12,0,134,266
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 14B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,105
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 15","Kindersley",142,5,113,26,0,286,328
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 16","Kindersley",145,2,10,7,0,164,294
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 17","Kindersley",127,7,13,20,0,167,349
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 18","Brock",117,4,14,16,0,151,229
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 19","Eston",99,5,13,17,0,134,230
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 20","Eston",206,4,27,42,0,279,450
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 21","Eston",141,6,34,43,0,224,356
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 22","Glidden",100,6,13,10,0,129,211
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 23","Leader",144,1,27,27,1,200,309
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 24","Leader",117,10,18,25,1,171,288
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 25","Leader",138,7,5,33,0,183,288
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 26","Mendham",39,1,0,3,0,43,147
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 27","Sceptre",107,7,16,12,0,142,219
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 28","Lancer",165,8,28,17,0,218,397
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 29","Cabri",114,5,30,25,0,174,239
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 30","Cabri",116,5,26,17,0,164,226
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 31","Lacadena",171,11,46,33,0,261,354
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 32","Kyle",149,6,58,40,0,253,374
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 33","Elrose",181,8,44,39,3,275,382
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 34","Elrose",154,8,28,17,0,207,399
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 35","Dinsmore",38,0,0,3,0,41,88
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 36","Birsay",212,5,17,22,1,257,448
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 37","Beechy",142,5,19,25,0,191,284
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 38","Beechy",85,2,19,20,0,126,180
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 39","Lucky Lake",156,6,27,19,0,208,343
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 40","Riverhurst",117,2,20,18,0,157,239
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 41","Central Butte",101,3,35,18,1,158,200
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 42","Central Butte",118,1,35,11,0,165,250
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 43","Chaplin",66,2,19,14,1,102,198
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 44","Chaplin",82,1,11,9,1,104,170
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 45","Morse",154,10,55,56,2,277,379
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 46","Main Centre",66,2,7,2,0,77,174
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 47","Herbert",109,5,12,25,0,151,214
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 48","Stewart Valley",153,4,35,29,0,221,341
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 49","Pennant",81,5,21,25,0,132,234
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 50","Success",124,6,33,19,0,182,401
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 51","Hazlet",166,2,16,23,2,209,288
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 52","Fox Valley",205,10,27,17,0,259,408
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 53","Richmound",98,7,16,17,0,138,190
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 54","Burstall",137,4,19,23,0,183,252
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 55","Golden Prairie",57,3,2,8,0,70,116
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 56","Maple Creek",128,3,7,13,0,151,409
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 57","Maple Creek",202,10,45,39,1,297,591
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 58","Maple Creek",85,5,24,29,0,143,220
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 59","Maple Creek",155,10,43,54,0,262,475
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 60","Maple Creek",151,5,31,37,1,225,378
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 61","Maple Creek",155,10,39,39,1,244,390
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 62","Piapot",124,9,9,19,2,163,217
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 63","Tompkins",115,6,8,21,0,150,255
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 64","Gull Lake",210,4,23,42,0,279,496
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 65","Gull Lake",114,6,17,18,1,156,261
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 66","Gull Lake",111,3,5,8,0,127,280
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 67","Antelope",105,2,13,13,0,133,330
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 68","Swift Current",181,5,26,40,0,252,393
