Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Della Anaquod,Greg Chatterson,Nial Kuyek,Andrew Scheer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 1","Wynyard",31,4,21,81,0,137,290
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 2","Wynyard",28,6,50,125,0,209,409
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 3","Wynyard",20,5,35,104,0,164,308
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 4","Wynyard",32,5,38,88,0,163,390
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 5","Wynyard",23,1,41,80,0,145,254
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 6","Kandahar",17,5,43,59,0,124,226
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 7","Elfros",26,3,36,109,0,174,271
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 8","Bankend",20,2,65,192,0,279,428
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 9","Day Star 87",14,0,82,1,0,97,224
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 10","Poorman 88",49,0,204,11,5,269,325
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 11","Raymore",37,7,50,110,0,204,417
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 12","Raymore",20,5,31,88,0,144,311
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 13","Serath",33,4,66,104,1,208,398
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 14A","Lestock",57,6,58,46,1,168,347
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 14B","Lestock",52,0,81,1,1,135,152
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 15","Gordon 86",93,1,258,2,0,354,444
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 16","Leross",16,0,21,90,0,127,175
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 17","Kelliher",20,4,55,137,1,217,367
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 18","Ituna",4,0,5,41,0,50,85
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 19","Ituna",32,5,14,107,1,159,327
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 20","Ituna",8,1,22,116,0,147,336
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 21","Hubbard",11,1,29,53,0,94,191
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 22","Lipton",29,9,59,211,0,308,444
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 23A","Dysart",26,2,21,77,0,126,357
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 23B","Dysart",14,2,12,63,0,91,288
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 24","Cupar",43,7,32,176,1,259,385
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 25","Cupar",24,3,21,82,0,130,232
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 26","Southey",29,5,25,165,0,224,339
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 27","Southey",17,3,11,47,0,78,114
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 28","Markinch",53,1,34,223,0,311,422
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 29A","Dysart",59,0,50,2,0,111,148
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 29B","Dysart",0,1,8,25,0,34,131
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 29C","Dysart",74,4,144,3,0,225,358
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 29D","Dysart",103,1,105,5,2,216,257
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 30","Standing Buffalo 78",56,7,138,7,0,208,259
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 31","Fort San",42,8,28,95,0,173,592
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 32","Fort Qu'Appelle",45,10,69,83,1,208,370
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 33","Fort Qu'Appelle",33,4,49,70,0,156,286
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 34","Fort Qu'Appelle",35,4,43,105,0,187,294
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 35","Fort Qu'Appelle",25,6,43,84,0,158,254
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 36A","Fort Qu'Appelle",47,7,89,82,0,225,473
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 36B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,7
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 37","Lebret",39,5,50,60,0,154,245
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 38","Balcarres",18,3,41,39,0,101,102
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 39","Balcarres",35,1,55,58,0,149,408
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 40","Fort Qu'Appelle",25,4,24,119,0,172,343
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 41","Balcarres",17,3,20,55,0,95,171
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 42","Little Black Bear 84",5,1,2,19,0,27,85
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 43","Star Blanket 83",68,1,204,4,2,279,318
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 44","Melville",2,0,1,4,0,7,19
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 45","Duff",3,0,2,10,0,15,56
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 46","Abernethy",28,1,28,138,0,195,294
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 47","Sintaluta",28,2,26,94,0,150,242
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 48","Indian Head",34,3,56,124,1,218,307
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 49","Indian Head",59,11,75,151,0,296,502
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 50","Indian Head",74,6,75,192,2,349,531
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 51","Indian Head",30,10,47,135,0,222,357
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 52","Edgeley",16,7,20,109,0,152,223
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 53","Edenwold",26,5,59,112,0,202,377
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 54","Edenwold",32,5,19,77,0,133,246
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 55","Valleyview",18,3,12,72,0,105,191
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 56","Pilot Butte",29,3,23,88,0,143,205
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 57","Pilot Butte",65,9,45,200,0,319,605
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 58","Pilot Butte",32,4,40,108,1,185,339
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 59","Pilot Butte",19,4,20,83,0,126,245
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 60A","Pilot Butte",43,7,38,134,0,222,361
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 60B","Pilot Butte",34,4,39,116,0,193,349
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 61","Pilot Butte",51,8,41,104,1,205,305
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 62A","Regina",100,5,100,150,1,356,620
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 62B","Regina",132,7,104,125,1,369,610
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 63","Regina",78,3,95,141,5,322,485
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 64A","Regina",62,8,94,69,0,233,386
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 64B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,3
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 65","Regina",56,9,53,111,2,231,365
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 66","Regina",42,2,56,118,0,218,353
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 67","Regina",49,1,55,100,0,205,319
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 68","Regina",70,6,107,133,0,316,486
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 69","Regina",75,5,83,120,0,283,463
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 70","Regina",76,7,103,84,0,270,402
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 71","Regina",44,2,66,104,0,216,369
