Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,April Bourgeois,Ralph Goodale,Michael Kram,Frances Simonson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47009,"Regina--Wascana /Regina--Wascana "," 1","Regina",39,100,30,7,0,176,464
47009,"Regina--Wascana /Regina--Wascana "," 2","Regina",23,62,12,2,0,99,292
47009,"Regina--Wascana /Regina--Wascana "," 3","Regina",74,109,35,5,2,225,496
47009,"Regina--Wascana /Regina--Wascana "," 4","Regina",30,82,34,5,4,155,369
47009,"Regina--Wascana /Regina--Wascana "," 5","Regina",49,112,46,3,1,211,398
47009,"Regina--Wascana /Regina--Wascana "," 6","Regina",34,88,56,10,1,189,353
47009,"Regina--Wascana /Regina--Wascana "," 7","Regina",44,123,76,7,1,251,443
47009,"Regina--Wascana /Regina--Wascana "," 8","Regina",42,99,59,7,0,207,424
47009,"Regina--Wascana /Regina--Wascana "," 9","Regina",34,122,64,5,3,228,376
47009,"Regina--Wascana /Regina--Wascana "," 10","Regina",35,68,76,4,0,183,275
47009,"Regina--Wascana /Regina--Wascana "," 11","Regina",30,120,64,4,8,226,412
47009,"Regina--Wascana /Regina--Wascana "," 12","Regina",44,125,59,2,1,231,388
47009,"Regina--Wascana /Regina--Wascana "," 13","Regina",38,101,57,5,1,202,330
47009,"Regina--Wascana /Regina--Wascana "," 14","Regina",34,103,67,5,0,209,342
47009,"Regina--Wascana /Regina--Wascana "," 15","Regina",31,163,99,3,0,296,498
47009,"Regina--Wascana /Regina--Wascana "," 16","Regina",26,96,54,2,0,178,308
47009,"Regina--Wascana /Regina--Wascana "," 17","Regina",27,80,55,1,1,164,256
47009,"Regina--Wascana /Regina--Wascana "," 18","Regina",42,113,75,7,1,238,396
47009,"Regina--Wascana /Regina--Wascana "," 19","Regina",21,127,94,4,0,246,399
47009,"Regina--Wascana /Regina--Wascana "," 20","Regina",24,103,67,6,0,200,330
47009,"Regina--Wascana /Regina--Wascana "," 21","Regina",34,122,89,3,0,248,386
47009,"Regina--Wascana /Regina--Wascana "," 22","Regina",24,98,60,2,0,184,290
47009,"Regina--Wascana /Regina--Wascana "," 23","Regina",17,98,73,9,0,197,324
47009,"Regina--Wascana /Regina--Wascana "," 24","Regina",29,104,76,3,0,212,341
47009,"Regina--Wascana /Regina--Wascana "," 25A","Regina",19,90,63,5,0,177,278
47009,"Regina--Wascana /Regina--Wascana "," 25B","Regina",22,113,60,2,0,197,316
47009,"Regina--Wascana /Regina--Wascana "," 26","Regina",14,90,78,6,1,189,338
47009,"Regina--Wascana /Regina--Wascana "," 27","Regina",40,95,79,3,1,218,395
47009,"Regina--Wascana /Regina--Wascana "," 28","Regina",42,122,68,4,2,238,430
47009,"Regina--Wascana /Regina--Wascana "," 29","Regina",38,90,50,7,0,185,366
47009,"Regina--Wascana /Regina--Wascana "," 30","Regina",30,94,82,2,0,208,381
47009,"Regina--Wascana /Regina--Wascana "," 31A","Regina",30,57,51,4,3,145,279
47009,"Regina--Wascana /Regina--Wascana "," 31B","Regina",22,80,57,4,0,163,304
47009,"Regina--Wascana /Regina--Wascana "," 32A","Regina",41,101,38,8,1,189,369
47009,"Regina--Wascana /Regina--Wascana "," 32B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,69
47009,"Regina--Wascana /Regina--Wascana "," 33","Regina",41,147,88,6,1,283,525
47009,"Regina--Wascana /Regina--Wascana "," 34","Regina",40,93,55,3,1,192,311
47009,"Regina--Wascana /Regina--Wascana "," 35","Regina",43,92,55,3,1,194,386
47009,"Regina--Wascana /Regina--Wascana "," 36","Regina",21,139,69,5,1,235,368
47009,"Regina--Wascana /Regina--Wascana "," 37","Regina",13,109,89,2,1,214,358
47009,"Regina--Wascana /Regina--Wascana "," 38A","Regina",16,105,60,4,0,185,335
47009,"Regina--Wascana /Regina--Wascana "," 38B","Regina",15,89,53,2,0,159,282
47009,"Regina--Wascana /Regina--Wascana "," 39","Regina",18,126,76,0,0,220,364
47009,"Regina--Wascana /Regina--Wascana "," 40","Regina",13,103,50,1,0,167,309
47009,"Regina--Wascana /Regina--Wascana "," 41","Regina",33,70,23,4,1,131,286
47009,"Regina--Wascana /Regina--Wascana "," 42","Regina",60,133,52,3,3,251,475
47009,"Regina--Wascana /Regina--Wascana "," 43","Regina",62,122,62,9,0,255,531
47009,"Regina--Wascana /Regina--Wascana "," 44","Regina",39,78,31,5,0,153,308
47009,"Regina--Wascana /Regina--Wascana "," 45","Regina",37,129,49,4,0,219,400
47009,"Regina--Wascana /Regina--Wascana "," 46","Regina",50,82,29,3,0,164,347
47009,"Regina--Wascana /Regina--Wascana "," 47","Regina",22,92,31,6,0,151,282
47009,"Regina--Wascana /Regina--Wascana "," 48","Regina",31,79,39,5,0,154,272
47009,"Regina--Wascana /Regina--Wascana "," 49","Regina",24,91,31,5,4,155,318
47009,"Regina--Wascana /Regina--Wascana "," 50","Regina",43,109,55,3,0,210,424
47009,"Regina--Wascana /Regina--Wascana "," 51","Regina",29,150,39,11,1,230,397
47009,"Regina--Wascana /Regina--Wascana "," 52","Regina",32,89,22,6,1,150,371
47009,"Regina--Wascana /Regina--Wascana "," 53","Regina",25,85,14,4,0,128,299
47009,"Regina--Wascana /Regina--Wascana "," 54","Regina",33,113,24,5,0,175,345
47009,"Regina--Wascana /Regina--Wascana "," 55","Regina",42,113,35,11,0,201,343
47009,"Regina--Wascana /Regina--Wascana "," 56","Regina",47,111,23,8,1,190,344
47009,"Regina--Wascana /Regina--Wascana "," 57","Regina",30,120,43,9,0,202,356
47009,"Regina--Wascana /Regina--Wascana "," 58","Regina",57,177,33,8,2,277,461
47009,"Regina--Wascana /Regina--Wascana "," 59","Regina",34,83,23,9,0,149,284
47009,"Regina--Wascana /Regina--Wascana "," 60","Regina",49,151,53,6,1,260,392
47009,"Regina--Wascana /Regina--Wascana "," 61","Regina",29,126,31,6,0,192,370
47009,"Regina--Wascana /Regina--Wascana "," 62","Regina",25,108,25,3,0,161,339
47009,"Regina--Wascana /Regina--Wascana "," 63","Regina",25,160,62,2,0,249,450
47009,"Regina--Wascana /Regina--Wascana "," 64","Regina",20,164,87,8,0,279,481
47009,"Regina--Wascana /Regina--Wascana "," 65","Regina",18,152,80,9,0,259,431
47009,"Regina--Wascana /Regina--Wascana "," 66","Regina",36,189,60,3,1,289,424
47009,"Regina--Wascana /Regina--Wascana "," 67A","Regina",26,144,41,9,0,220,390
47009,"Regina--Wascana /Regina--Wascana "," 67B","Regina",24,73,41,3,1,142,169
47009,"Regina--Wascana /Regina--Wascana "," 67C","Regina",9,55,24,2,1,91,102
47009,"Regina--Wascana /Regina--Wascana "," 68A","Regina",42,104,26,3,0,175,320
47009,"Regina--Wascana /Regina--Wascana "," 68B","Regina",45,81,36,5,0,167,282
47009,"Regina--Wascana /Regina--Wascana "," 69","Regina",18,114,39,4,0,175,263
47009,"Regina--Wascana /Regina--Wascana "," 70","Regina",41,133,42,8,1,225,364
47009,"Regina--Wascana /Regina--Wascana "," 71","Regina",40,129,48,5,1,223,352
47009,"Regina--Wascana /Regina--Wascana "," 72","Regina",39,141,66,15,1,262,434
47009,"Regina--Wascana /Regina--Wascana "," 73","Regina",46,148,53,4,0,251,384
47009,"Regina--Wascana /Regina--Wascana "," 74","Regina",22,110,51,8,1,192,305
47009,"Regina--Wascana /Regina--Wascana "," 75","Regina",32,131,72,5,0,240,384
47009,"Regina--Wascana /Regina--Wascana "," 76","Regina",27,117,45,5,0,194,301
47009,"Regina--Wascana /Regina--Wascana "," 77","Regina",30,114,36,9,0,189,305
47009,"Regina--Wascana /Regina--Wascana "," 78","Regina",12,98,57,3,1,171,276
47009,"Regina--Wascana /Regina--Wascana "," 79","Regina",12,95,79,7,0,193,297
47009,"Regina--Wascana /Regina--Wascana "," 80","Regina",13,127,83,1,0,224,407
47009,"Regina--Wascana /Regina--Wascana "," 81","Regina",9,94,51,4,0,158,337
47009,"Regina--Wascana /Regina--Wascana "," 82","Regina",8,135,95,1,1,240,383
47009,"Regina--Wascana /Regina--Wascana "," 83","Regina",6,134,97,5,2,244,395
47009,"Regina--Wascana /Regina--Wascana "," 84","Regina",5,124,76,4,0,209,374
47009,"Regina--Wascana /Regina--Wascana "," 85","Regina",17,165,74,3,0,259,400
47009,"Regina--Wascana /Regina--Wascana "," 86","Regina",21,135,76,5,0,237,395
47009,"Regina--Wascana /Regina--Wascana "," 87","Regina",15,137,82,2,1,237,386
47009,"Regina--Wascana /Regina--Wascana "," 88","Regina",21,167,93,5,0,286,466
47009,"Regina--Wascana /Regina--Wascana "," 89","Regina",22,160,92,6,1,281,430
47009,"Regina--Wascana /Regina--Wascana "," 90","Regina",24,131,94,2,0,251,382
47009,"Regina--Wascana /Regina--Wascana "," 91A","Regina",9,125,87,1,2,224,397
47009,"Regina--Wascana /Regina--Wascana "," 91B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,9
47009,"Regina--Wascana /Regina--Wascana "," 92","Regina",19,93,100,0,0,212,389
47009,"Regina--Wascana /Regina--Wascana "," 93","Regina",35,121,95,2,0,253,393
47009,"Regina--Wascana /Regina--Wascana "," 94","Regina",26,155,98,2,0,281,420
47009,"Regina--Wascana /Regina--Wascana "," 95","Regina",30,133,79,5,0,247,408
47009,"Regina--Wascana /Regina--Wascana "," 96","Regina",16,112,83,5,0,216,346
47009,"Regina--Wascana /Regina--Wascana "," 97","Regina",29,94,51,4,0,178,312
47009,"Regina--Wascana /Regina--Wascana "," 98","Regina",21,178,125,1,0,325,526
47009,"Regina--Wascana /Regina--Wascana "," 99","Regina",27,129,153,0,0,309,522
47009,"Regina--Wascana /Regina--Wascana "," 100","Regina",7,139,92,4,1,243,442
47009,"Regina--Wascana /Regina--Wascana "," 101","Regina",11,147,112,2,0,272,426
47009,"Regina--Wascana /Regina--Wascana "," 102","Regina",13,131,84,2,0,230,445
47009,"Regina--Wascana /Regina--Wascana "," 103","Regina",16,119,95,5,3,238,384
47009,"Regina--Wascana /Regina--Wascana "," 104","Regina",17,136,98,2,0,253,379
47009,"Regina--Wascana /Regina--Wascana "," 105","Regina",17,113,91,2,0,223,342
47009,"Regina--Wascana /Regina--Wascana "," 106","Regina",20,77,77,2,0,176,268
47009,"Regina--Wascana /Regina--Wascana "," 107","Regina",17,145,82,0,2,246,424
47009,"Regina--Wascana /Regina--Wascana "," 108A","Regina",17,102,92,2,0,213,360
47009,"Regina--Wascana /Regina--Wascana "," 108B","Regina",15,143,110,6,0,274,450
47009,"Regina--Wascana /Regina--Wascana "," 108C","Regina",15,120,103,2,0,240,443
47009,"Regina--Wascana /Regina--Wascana "," 109","Regina",21,124,75,4,0,224,361
47009,"Regina--Wascana /Regina--Wascana "," 110","Regina",18,157,99,4,0,278,455
47009,"Regina--Wascana /Regina--Wascana "," 111","Regina",9,132,96,5,0,242,474
47009,"Regina--Wascana /Regina--Wascana "," 112","Regina",18,142,130,7,1,298,510
47009,"Regina--Wascana /Regina--Wascana "," 113","Regina",20,152,97,2,0,271,450
47009,"Regina--Wascana /Regina--Wascana "," 114","Regina",14,133,117,3,2,269,508
47009,"Regina--Wascana /Regina--Wascana "," 115","Regina",15,115,107,2,0,239,460
47009,"Regina--Wascana /Regina--Wascana "," 116","Regina",12,113,102,1,0,228,434
47009,"Regina--Wascana /Regina--Wascana "," 117A","Regina",11,93,101,3,0,208,358
47009,"Regina--Wascana /Regina--Wascana "," 117B","Regina",5,107,123,2,0,237,369
47009,"Regina--Wascana /Regina--Wascana "," 118","Regina",88,253,117,11,0,469,682
47009,"Regina--Wascana /Regina--Wascana "," 119A","Regina",24,133,58,4,1,220,354
47009,"Regina--Wascana /Regina--Wascana "," 119B","Regina",Merged with No./Fusionné avec le n°502B,,,,,,75
47009,"Regina--Wascana /Regina--Wascana "," 120","Regina",28,71,29,7,0,135,336
47009,"Regina--Wascana /Regina--Wascana "," 121","Regina",16,117,60,6,1,200,335
47009,"Regina--Wascana /Regina--Wascana "," 122","Regina",10,101,34,2,1,148,227
47009,"Regina--Wascana /Regina--Wascana "," 122-1","Regina",31,133,69,1,2,236,348
47009,"Regina--Wascana /Regina--Wascana "," 123","Regina",19,144,63,3,1,230,375
47009,"Regina--Wascana /Regina--Wascana "," 124","Regina",42,117,70,3,2,234,466
47009,"Regina--Wascana /Regina--Wascana "," 125","Regina",19,136,45,6,0,206,358
47009,"Regina--Wascana /Regina--Wascana "," 126","Regina",15,144,87,7,1,254,467
47009,"Regina--Wascana /Regina--Wascana "," 127","Regina",14,125,46,4,2,191,395
47009,"Regina--Wascana /Regina--Wascana "," 128","Regina",22,162,67,5,1,257,473
47009,"Regina--Wascana /Regina--Wascana "," 129","Regina",33,142,41,8,0,224,371
47009,"Regina--Wascana /Regina--Wascana "," 130","Regina",17,149,76,1,0,243,396
47009,"Regina--Wascana /Regina--Wascana "," 131","Regina",22,154,59,5,0,240,376
47009,"Regina--Wascana /Regina--Wascana "," 132","Regina",28,162,81,8,0,279,454
47009,"Regina--Wascana /Regina--Wascana "," 133","Regina",27,172,67,8,0,274,425
47009,"Regina--Wascana /Regina--Wascana "," 134","Regina",30,160,64,8,0,262,421
47009,"Regina--Wascana /Regina--Wascana "," 135","Regina",27,157,86,6,0,276,415
47009,"Regina--Wascana /Regina--Wascana "," 400","Regina",14,75,38,1,0,128,159
47009,"Regina--Wascana /Regina--Wascana "," 401","Regina",26,51,37,1,1,116,148
47009,"Regina--Wascana /Regina--Wascana "," 402","Regina",25,63,14,4,3,109,149
47009,"Regina--Wascana /Regina--Wascana "," 403","Regina",18,62,38,0,1,119,145
47009,"Regina--Wascana /Regina--Wascana "," 404","Regina",25,41,26,1,2,95,132
47009,"Regina--Wascana /Regina--Wascana "," 405","Regina",21,90,35,0,29,175,149
47009,"Regina--Wascana /Regina--Wascana "," 406","Regina",11,52,41,5,0,109,124
47009,"Regina--Wascana /Regina--Wascana "," 407","Regina",25,65,25,8,1,124,241
47009,"Regina--Wascana /Regina--Wascana "," 500","Mobile poll/Bureau itinérant",23,32,45,1,2,103,141
47009,"Regina--Wascana /Regina--Wascana "," 501","Mobile poll/Bureau itinérant",25,67,61,3,1,157,204
47009,"Regina--Wascana /Regina--Wascana "," 502A","Mobile poll/Bureau itinérant",11,51,48,0,0,110,61
47009,"Regina--Wascana /Regina--Wascana "," 502B","Regina",13,39,23,2,0,77,20
47009,"Regina--Wascana /Regina--Wascana "," 503","Mobile poll/Bureau itinérant",21,57,22,3,1,104,172
47009,"Regina--Wascana /Regina--Wascana "," 504","Mobile poll/Bureau itinérant",16,48,47,0,0,111,152
