Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elaine Marie Hughes,Brooke Taylor Malinoski,Doug Ottenbreit,Cathay Wagantall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville /Yorkton--Melville "," 1","Crooked River",1,8,10,55,0,74,117
47014,"Yorkton--Melville /Yorkton--Melville "," 2","Mistatim",2,26,5,76,1,110,174
47014,"Yorkton--Melville /Yorkton--Melville "," 3","Prairie River",3,6,13,52,1,75,118
47014,"Yorkton--Melville /Yorkton--Melville "," 4","Hudson Bay",4,21,42,125,0,192,313
47014,"Yorkton--Melville /Yorkton--Melville "," 5","Cumberland House",2,8,9,48,0,67,124
47014,"Yorkton--Melville /Yorkton--Melville "," 6","Hudson Bay",4,27,32,67,0,130,256
47014,"Yorkton--Melville /Yorkton--Melville "," 7","Hudson Bay",12,53,68,137,1,271,584
47014,"Yorkton--Melville /Yorkton--Melville "," 8","Hudson Bay",1,29,29,126,0,185,358
47014,"Yorkton--Melville /Yorkton--Melville "," 9","Hudson Bay",6,25,35,127,2,195,355
47014,"Yorkton--Melville /Yorkton--Melville "," 10","Weekes",1,9,20,97,1,128,195
47014,"Yorkton--Melville /Yorkton--Melville "," 11","Carragana",6,10,14,56,0,86,150
47014,"Yorkton--Melville /Yorkton--Melville "," 12","Porcupine Plain",6,15,23,68,0,112,257
47014,"Yorkton--Melville /Yorkton--Melville "," 13","Porcupine Plain",6,15,14,99,0,134,222
47014,"Yorkton--Melville /Yorkton--Melville "," 14","Chelan",1,12,8,44,0,65,142
47014,"Yorkton--Melville /Yorkton--Melville "," 15","Bjorkdale",7,30,23,126,0,186,326
47014,"Yorkton--Melville /Yorkton--Melville "," 16","McKague",3,9,19,71,0,102,156
47014,"Yorkton--Melville /Yorkton--Melville "," 17","Kinistin 91",4,61,109,24,0,198,204
47014,"Yorkton--Melville /Yorkton--Melville "," 18","Pleasantdale",5,16,25,71,0,117,224
47014,"Yorkton--Melville /Yorkton--Melville "," 19","St. Brieux",9,36,21,208,0,274,391
47014,"Yorkton--Melville /Yorkton--Melville "," 20","St. Brieux",1,19,16,178,0,214,263
47014,"Yorkton--Melville /Yorkton--Melville "," 21","St. Brieux",Merged with No./Fusionné avec le n°20,,,,,,30
47014,"Yorkton--Melville /Yorkton--Melville "," 22","Naicam",Merged with No./Fusionné avec le n°23,,,,,,32
47014,"Yorkton--Melville /Yorkton--Melville "," 23","Naicam",2,11,18,120,1,152,243
47014,"Yorkton--Melville /Yorkton--Melville "," 24","Naicam",2,20,35,123,0,180,378
47014,"Yorkton--Melville /Yorkton--Melville "," 25","Naicam",4,7,14,57,0,82,172
47014,"Yorkton--Melville /Yorkton--Melville "," 26","Archerwill",10,25,40,153,0,228,378
47014,"Yorkton--Melville /Yorkton--Melville "," 27","Périgord",3,24,17,58,0,102,166
47014,"Yorkton--Melville /Yorkton--Melville "," 28","Rose Valley",5,13,18,150,0,186,239
47014,"Yorkton--Melville /Yorkton--Melville "," 29","Rose Valley",6,30,19,107,0,162,251
47014,"Yorkton--Melville /Yorkton--Melville "," 30","Spalding",6,32,38,150,1,227,347
47014,"Yorkton--Melville /Yorkton--Melville "," 31","Watson",3,33,39,134,0,209,368
47014,"Yorkton--Melville /Yorkton--Melville "," 32","Watson",3,28,25,80,0,136,213
47014,"Yorkton--Melville /Yorkton--Melville "," 33","Watson",3,14,17,91,1,126,195
47014,"Yorkton--Melville /Yorkton--Melville "," 34","Quill Lake",1,23,11,133,1,169,237
47014,"Yorkton--Melville /Yorkton--Melville "," 35","Quill Lake",3,20,32,102,1,158,250
47014,"Yorkton--Melville /Yorkton--Melville "," 36","Wadena",2,10,11,70,2,95,196
47014,"Yorkton--Melville /Yorkton--Melville "," 37","Wadena",0,7,8,47,0,62,97
47014,"Yorkton--Melville /Yorkton--Melville "," 37-1","Wadena",6,30,26,145,2,209,411
47014,"Yorkton--Melville /Yorkton--Melville "," 38","Wadena",8,27,38,93,0,166,437
47014,"Yorkton--Melville /Yorkton--Melville "," 39","Wadena",3,24,26,85,0,138,262
47014,"Yorkton--Melville /Yorkton--Melville "," 40","Fosston",3,8,25,60,0,96,144
47014,"Yorkton--Melville /Yorkton--Melville "," 41","Kelvington",6,13,48,175,0,242,355
47014,"Yorkton--Melville /Yorkton--Melville "," 42","Kelvington",15,29,46,157,0,247,440
47014,"Yorkton--Melville /Yorkton--Melville "," 43","Kelvington",11,32,43,171,0,257,372
47014,"Yorkton--Melville /Yorkton--Melville "," 44","Yellowquill 90",5,51,124,1,0,181,506
47014,"Yorkton--Melville /Yorkton--Melville "," 45","Lintlaw",1,15,17,128,0,161,257
47014,"Yorkton--Melville /Yorkton--Melville "," 46","Endeavour",3,3,15,83,0,104,200
47014,"Yorkton--Melville /Yorkton--Melville "," 47","Endeavour",1,16,21,68,0,106,227
47014,"Yorkton--Melville /Yorkton--Melville "," 48","Swan Plain",1,9,6,48,0,64,165
47014,"Yorkton--Melville /Yorkton--Melville "," 49","Swan Plain",4,11,7,71,0,93,138
47014,"Yorkton--Melville /Yorkton--Melville "," 50A","Norquay",1,4,6,58,0,69,128
47014,"Yorkton--Melville /Yorkton--Melville "," 50B","Norquay",1,18,46,4,0,69,105
47014,"Yorkton--Melville /Yorkton--Melville "," 51","Norquay",4,14,22,102,0,142,374
47014,"Yorkton--Melville /Yorkton--Melville "," 52","Arran",5,12,19,73,0,109,212
