Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Khalis Ahmed,Kerry Cundal,Taryn Knorren,Ron Liepert,Tim Moen,Jesse Rau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Calgary Signal Hill/Calgary Signal Hill"," 1","Calgary",9,57,9,204,4,0,0,283,474
48012,"Calgary Signal Hill/Calgary Signal Hill"," 2","Calgary",Merged with No./Fusionné avec le n°11,,,,,,,,248
48012,"Calgary Signal Hill/Calgary Signal Hill"," 3","Rocky View No. 44",8,90,5,236,7,0,0,346,543
48012,"Calgary Signal Hill/Calgary Signal Hill"," 4","Calgary",5,35,3,138,3,0,0,184,331
48012,"Calgary Signal Hill/Calgary Signal Hill"," 5","Calgary",14,66,9,232,3,0,3,327,542
48012,"Calgary Signal Hill/Calgary Signal Hill"," 6","Calgary",7,57,4,167,2,2,0,239,391
48012,"Calgary Signal Hill/Calgary Signal Hill"," 7","Calgary",7,61,9,151,0,0,1,229,364
48012,"Calgary Signal Hill/Calgary Signal Hill"," 8","Calgary",5,67,6,131,2,0,1,212,396
48012,"Calgary Signal Hill/Calgary Signal Hill"," 9","Calgary",5,77,3,133,3,0,1,222,373
48012,"Calgary Signal Hill/Calgary Signal Hill"," 10","Calgary",19,59,2,155,9,0,0,244,401
48012,"Calgary Signal Hill/Calgary Signal Hill"," 11","Calgary",15,84,9,199,2,0,1,310,283
48012,"Calgary Signal Hill/Calgary Signal Hill"," 12","Calgary",3,57,3,201,2,0,0,266,388
48012,"Calgary Signal Hill/Calgary Signal Hill"," 13","Calgary",10,55,3,197,4,0,1,270,448
48012,"Calgary Signal Hill/Calgary Signal Hill"," 14","Calgary",4,66,0,187,0,0,0,257,449
48012,"Calgary Signal Hill/Calgary Signal Hill"," 15","Calgary",18,78,13,133,6,0,2,250,404
48012,"Calgary Signal Hill/Calgary Signal Hill"," 16","Calgary",19,70,18,97,4,1,0,209,377
48012,"Calgary Signal Hill/Calgary Signal Hill"," 17","Calgary",16,57,6,119,4,0,1,203,387
48012,"Calgary Signal Hill/Calgary Signal Hill"," 18","Calgary",22,103,17,106,8,1,4,261,449
48012,"Calgary Signal Hill/Calgary Signal Hill"," 19","Calgary",19,78,10,111,2,2,0,222,440
48012,"Calgary Signal Hill/Calgary Signal Hill"," 20","Calgary",26,65,16,113,4,0,1,225,439
48012,"Calgary Signal Hill/Calgary Signal Hill"," 21","Calgary",30,79,11,67,5,0,5,197,423
48012,"Calgary Signal Hill/Calgary Signal Hill"," 22","Calgary",25,62,11,136,4,1,1,240,420
48012,"Calgary Signal Hill/Calgary Signal Hill"," 23A","Calgary",21,60,13,151,2,2,1,250,446
48012,"Calgary Signal Hill/Calgary Signal Hill"," 23B","Calgary",20,61,9,120,5,1,2,218,342
48012,"Calgary Signal Hill/Calgary Signal Hill"," 24","Calgary",22,68,4,122,3,3,1,223,406
48012,"Calgary Signal Hill/Calgary Signal Hill"," 25","Calgary",17,77,15,122,4,1,0,236,431
48012,"Calgary Signal Hill/Calgary Signal Hill"," 26","Calgary",17,70,17,103,5,0,0,212,369
48012,"Calgary Signal Hill/Calgary Signal Hill"," 27","Calgary",17,86,17,117,2,0,0,239,405
48012,"Calgary Signal Hill/Calgary Signal Hill"," 28","Calgary",20,84,11,110,2,0,1,228,375
48012,"Calgary Signal Hill/Calgary Signal Hill"," 29","Calgary",27,55,6,117,3,0,0,208,366
48012,"Calgary Signal Hill/Calgary Signal Hill"," 30","Calgary",22,74,5,120,0,0,0,221,393
48012,"Calgary Signal Hill/Calgary Signal Hill"," 31","Calgary",9,74,12,110,11,1,0,217,449
48012,"Calgary Signal Hill/Calgary Signal Hill"," 32","Calgary",23,106,12,103,5,1,0,250,442
48012,"Calgary Signal Hill/Calgary Signal Hill"," 33","Calgary",25,71,20,93,6,0,0,215,414
48012,"Calgary Signal Hill/Calgary Signal Hill"," 34","Calgary",15,87,12,86,3,1,1,205,369
48012,"Calgary Signal Hill/Calgary Signal Hill"," 35","Calgary",14,84,7,97,3,0,2,207,414
48012,"Calgary Signal Hill/Calgary Signal Hill"," 36","Calgary",5,50,2,130,1,0,0,188,348
48012,"Calgary Signal Hill/Calgary Signal Hill"," 37","Calgary",11,86,9,147,1,0,0,254,463
48012,"Calgary Signal Hill/Calgary Signal Hill"," 38","Calgary",20,81,5,173,4,0,0,283,517
48012,"Calgary Signal Hill/Calgary Signal Hill"," 39","Calgary",4,80,7,165,2,0,0,258,436
48012,"Calgary Signal Hill/Calgary Signal Hill"," 40","Calgary",5,105,5,148,2,0,0,265,458
48012,"Calgary Signal Hill/Calgary Signal Hill"," 41","Calgary",12,60,7,190,1,0,0,270,536
48012,"Calgary Signal Hill/Calgary Signal Hill"," 42","Calgary",11,62,1,146,2,1,1,224,429
48012,"Calgary Signal Hill/Calgary Signal Hill"," 43","Calgary",12,89,1,186,2,1,2,293,497
48012,"Calgary Signal Hill/Calgary Signal Hill"," 44","Calgary",4,61,1,184,2,0,0,252,406
48012,"Calgary Signal Hill/Calgary Signal Hill"," 45","Calgary",6,86,7,129,2,1,0,231,386
48012,"Calgary Signal Hill/Calgary Signal Hill"," 46","Calgary",6,77,6,121,3,3,1,217,411
48012,"Calgary Signal Hill/Calgary Signal Hill"," 47","Calgary",13,70,2,163,1,1,0,250,454
48012,"Calgary Signal Hill/Calgary Signal Hill"," 48","Calgary",13,86,4,142,2,0,1,248,443
48012,"Calgary Signal Hill/Calgary Signal Hill"," 49","Calgary",12,63,3,121,1,0,1,201,347
48012,"Calgary Signal Hill/Calgary Signal Hill"," 50","Calgary",15,63,9,148,1,0,1,237,440
48012,"Calgary Signal Hill/Calgary Signal Hill"," 51","Calgary",7,42,3,114,5,0,0,171,301
48012,"Calgary Signal Hill/Calgary Signal Hill"," 52","Calgary",6,73,3,130,0,0,0,212,415
48012,"Calgary Signal Hill/Calgary Signal Hill"," 53","Calgary",11,64,5,139,2,0,2,223,457
48012,"Calgary Signal Hill/Calgary Signal Hill"," 54","Calgary",10,64,9,69,2,0,0,154,347
48012,"Calgary Signal Hill/Calgary Signal Hill"," 55","Calgary",7,80,5,111,8,0,0,211,419
48012,"Calgary Signal Hill/Calgary Signal Hill"," 56","Calgary",10,77,4,157,5,0,2,255,495
48012,"Calgary Signal Hill/Calgary Signal Hill"," 57","Calgary",13,81,4,153,5,0,0,256,493
48012,"Calgary Signal Hill/Calgary Signal Hill"," 58","Calgary",4,42,5,143,3,0,0,197,395
48012,"Calgary Signal Hill/Calgary Signal Hill"," 59","Calgary",4,55,4,182,3,0,0,248,476
48012,"Calgary Signal Hill/Calgary Signal Hill"," 60","Calgary",6,54,2,141,2,0,1,206,344
48012,"Calgary Signal Hill/Calgary Signal Hill"," 61","Calgary",7,55,3,139,2,0,0,206,373
48012,"Calgary Signal Hill/Calgary Signal Hill"," 62","Calgary",6,49,0,51,2,0,1,109,290
48012,"Calgary Signal Hill/Calgary Signal Hill"," 63","Calgary",3,53,7,111,0,0,0,174,369
48012,"Calgary Signal Hill/Calgary Signal Hill"," 64","Calgary",12,62,6,118,2,0,0,200,377
48012,"Calgary Signal Hill/Calgary Signal Hill"," 65","Calgary",8,54,7,92,3,0,0,164,338
48012,"Calgary Signal Hill/Calgary Signal Hill"," 66","Calgary",5,58,4,135,3,1,0,206,404
48012,"Calgary Signal Hill/Calgary Signal Hill"," 67","Calgary",9,81,2,98,0,0,0,190,380
48012,"Calgary Signal Hill/Calgary Signal Hill"," 68","Calgary",3,61,1,134,1,0,0,200,441
48012,"Calgary Signal Hill/Calgary Signal Hill"," 69","Calgary",8,59,2,216,2,1,0,288,494
48012,"Calgary Signal Hill/Calgary Signal Hill"," 70","Calgary",5,35,4,145,1,0,0,190,385
48012,"Calgary Signal Hill/Calgary Signal Hill"," 71","Calgary",11,55,4,143,1,0,0,214,443
48012,"Calgary Signal Hill/Calgary Signal Hill"," 72","Calgary",4,65,4,166,1,0,0,240,467
48012,"Calgary Signal Hill/Calgary Signal Hill"," 73","Calgary",15,75,8,156,2,1,0,257,476
48012,"Calgary Signal Hill/Calgary Signal Hill"," 74","Calgary",13,90,7,124,0,0,0,234,395
48012,"Calgary Signal Hill/Calgary Signal Hill"," 75","Calgary",6,81,3,117,1,0,0,208,375
48012,"Calgary Signal Hill/Calgary Signal Hill"," 76","Calgary",11,75,3,162,1,0,0,252,415
48012,"Calgary Signal Hill/Calgary Signal Hill"," 77","Calgary",11,56,1,162,4,0,1,235,432
48012,"Calgary Signal Hill/Calgary Signal Hill"," 78","Calgary",10,66,5,157,5,0,0,243,433
48012,"Calgary Signal Hill/Calgary Signal Hill"," 79","Calgary",16,58,12,127,6,1,2,222,415
48012,"Calgary Signal Hill/Calgary Signal Hill"," 80","Calgary",12,95,2,135,6,1,0,251,468
48012,"Calgary Signal Hill/Calgary Signal Hill"," 81","Calgary",5,51,2,157,4,1,0,220,371
48012,"Calgary Signal Hill/Calgary Signal Hill"," 82","Calgary",8,60,1,138,3,0,0,210,374
48012,"Calgary Signal Hill/Calgary Signal Hill"," 83","Calgary",7,32,6,155,2,0,0,202,324
48012,"Calgary Signal Hill/Calgary Signal Hill"," 84","Calgary",8,87,2,209,3,2,0,311,527
48012,"Calgary Signal Hill/Calgary Signal Hill"," 85","Calgary",4,54,2,146,0,2,0,208,344
48012,"Calgary Signal Hill/Calgary Signal Hill"," 86","Calgary",4,78,2,202,0,1,1,288,570
48012,"Calgary Signal Hill/Calgary Signal Hill"," 87","Calgary",6,72,9,179,5,1,1,273,539
48012,"Calgary Signal Hill/Calgary Signal Hill"," 88","Calgary",19,66,2,160,1,1,0,249,452
48012,"Calgary Signal Hill/Calgary Signal Hill"," 89","Calgary",9,78,4,234,2,0,1,328,578
48012,"Calgary Signal Hill/Calgary Signal Hill"," 90","Calgary",8,56,1,105,2,0,0,172,356
48012,"Calgary Signal Hill/Calgary Signal Hill"," 91","Calgary",13,73,2,141,2,0,0,231,482
48012,"Calgary Signal Hill/Calgary Signal Hill"," 92","Calgary",12,77,2,129,4,0,2,226,436
48012,"Calgary Signal Hill/Calgary Signal Hill"," 93","Calgary",3,63,5,227,1,0,3,302,365
48012,"Calgary Signal Hill/Calgary Signal Hill"," 94","Calgary",10,74,3,107,4,1,0,199,362
48012,"Calgary Signal Hill/Calgary Signal Hill"," 95","Calgary",10,66,3,132,0,0,0,211,412
48012,"Calgary Signal Hill/Calgary Signal Hill"," 96","Calgary",6,44,4,197,2,0,0,253,430
48012,"Calgary Signal Hill/Calgary Signal Hill"," 97","Calgary",Merged with No./Fusionné avec le n°93,,,,,,,,199
48012,"Calgary Signal Hill/Calgary Signal Hill"," 98","Calgary",4,50,5,182,2,0,0,243,467
48012,"Calgary Signal Hill/Calgary Signal Hill"," 99","Calgary",3,62,0,182,1,0,1,249,431
48012,"Calgary Signal Hill/Calgary Signal Hill"," 100","Calgary",6,60,2,159,0,0,1,228,440
48012,"Calgary Signal Hill/Calgary Signal Hill"," 101A","Calgary",3,49,0,172,1,0,0,225,403
48012,"Calgary Signal Hill/Calgary Signal Hill"," 101B","Calgary",4,35,2,122,2,0,0,165,315
48012,"Calgary Signal Hill/Calgary Signal Hill"," 102","Calgary",3,29,1,134,0,0,0,167,327
48012,"Calgary Signal Hill/Calgary Signal Hill"," 103","Calgary",7,46,2,147,0,0,0,202,433
48012,"Calgary Signal Hill/Calgary Signal Hill"," 104","Calgary",12,73,7,219,4,2,2,319,433
48012,"Calgary Signal Hill/Calgary Signal Hill"," 105","Calgary",16,100,8,137,3,2,0,266,460
48012,"Calgary Signal Hill/Calgary Signal Hill"," 106","Calgary",5,44,4,127,0,1,0,181,345
48012,"Calgary Signal Hill/Calgary Signal Hill"," 107","Calgary",5,68,2,139,1,0,1,216,418
48012,"Calgary Signal Hill/Calgary Signal Hill"," 108","Calgary",6,75,1,209,2,2,0,295,466
48012,"Calgary Signal Hill/Calgary Signal Hill"," 109","Calgary",7,72,5,158,1,0,0,243,461
48012,"Calgary Signal Hill/Calgary Signal Hill"," 110","Calgary",9,70,2,142,4,0,1,228,393
48012,"Calgary Signal Hill/Calgary Signal Hill"," 111","Calgary",7,46,6,122,4,3,1,189,395
48012,"Calgary Signal Hill/Calgary Signal Hill"," 112","Calgary",1,92,5,103,5,0,0,206,412
