Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blanchard,Najeeb Butt,Stephen Garvey,Darshan Singh Kang,Ed Reddy,Devinder Shory,Sahajvir Singh,Joseph Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Calgary Skyview/Calgary Skyview"," 1","Calgary",0,1,1,58,5,109,16,0,0,190,365
48013,"Calgary Skyview/Calgary Skyview"," 2","Calgary",0,2,2,94,3,99,19,1,0,220,403
48013,"Calgary Skyview/Calgary Skyview"," 3","Calgary",0,5,2,83,8,107,7,0,2,214,401
48013,"Calgary Skyview/Calgary Skyview"," 4","Calgary",1,11,1,87,9,112,12,3,1,237,421
48013,"Calgary Skyview/Calgary Skyview"," 5","Calgary",1,11,3,77,1,127,19,0,1,240,435
48013,"Calgary Skyview/Calgary Skyview"," 6","Calgary",1,2,5,80,9,119,17,2,1,236,407
48013,"Calgary Skyview/Calgary Skyview"," 7","Calgary",0,7,4,54,4,113,11,0,0,193,349
48013,"Calgary Skyview/Calgary Skyview"," 8","Calgary",2,6,2,63,2,143,6,2,1,227,435
48013,"Calgary Skyview/Calgary Skyview"," 9","Calgary",0,8,8,63,9,141,25,1,2,257,464
48013,"Calgary Skyview/Calgary Skyview"," 10","Calgary",0,4,2,67,11,130,19,0,0,233,430
48013,"Calgary Skyview/Calgary Skyview"," 11","Calgary",0,4,4,74,4,120,22,1,1,230,403
48013,"Calgary Skyview/Calgary Skyview"," 12","Calgary",0,7,2,42,7,107,9,2,1,177,327
48013,"Calgary Skyview/Calgary Skyview"," 13","Calgary",1,6,4,76,8,99,18,0,1,213,408
48013,"Calgary Skyview/Calgary Skyview"," 14","Calgary",0,6,7,74,8,93,8,0,0,196,384
48013,"Calgary Skyview/Calgary Skyview"," 15","Calgary",1,5,0,93,6,116,13,2,0,236,535
48013,"Calgary Skyview/Calgary Skyview"," 16","Calgary",0,6,7,76,8,100,12,0,0,209,426
48013,"Calgary Skyview/Calgary Skyview"," 17","Calgary",0,8,5,98,7,147,15,0,3,283,641
48013,"Calgary Skyview/Calgary Skyview"," 18","Calgary",0,3,3,106,4,129,6,0,1,252,473
48013,"Calgary Skyview/Calgary Skyview"," 19","Calgary",1,7,5,82,2,146,19,1,1,264,508
48013,"Calgary Skyview/Calgary Skyview"," 20","Calgary",0,2,6,109,9,121,15,0,0,262,528
48013,"Calgary Skyview/Calgary Skyview"," 21","Calgary",0,8,0,50,5,83,12,1,4,163,300
48013,"Calgary Skyview/Calgary Skyview"," 22","Calgary",0,2,1,43,5,88,9,0,0,148,307
48013,"Calgary Skyview/Calgary Skyview"," 23","Calgary",0,4,6,59,3,79,7,2,0,160,300
48013,"Calgary Skyview/Calgary Skyview"," 24","Calgary",1,4,2,82,8,85,13,0,0,195,391
48013,"Calgary Skyview/Calgary Skyview"," 25","Calgary",0,5,1,85,13,99,16,0,0,219,487
48013,"Calgary Skyview/Calgary Skyview"," 26","Calgary",0,5,2,63,5,106,10,0,0,191,365
48013,"Calgary Skyview/Calgary Skyview"," 27","Calgary",0,3,2,50,2,89,17,1,0,164,357
48013,"Calgary Skyview/Calgary Skyview"," 28","Calgary",1,4,4,65,6,120,7,1,1,209,406
48013,"Calgary Skyview/Calgary Skyview"," 29","Calgary",0,4,1,71,1,117,9,0,1,204,417
48013,"Calgary Skyview/Calgary Skyview"," 30","Calgary",0,14,2,60,7,137,9,1,0,230,493
48013,"Calgary Skyview/Calgary Skyview"," 31","Calgary",1,3,1,51,6,100,10,1,1,174,413
48013,"Calgary Skyview/Calgary Skyview"," 32","Calgary",0,10,6,70,12,174,20,0,3,295,487
48013,"Calgary Skyview/Calgary Skyview"," 33","Calgary",0,5,4,59,2,164,8,1,0,243,460
48013,"Calgary Skyview/Calgary Skyview"," 34","Calgary",0,9,1,93,6,164,11,0,0,284,536
48013,"Calgary Skyview/Calgary Skyview"," 35","Calgary",1,10,7,78,6,166,16,2,0,286,489
48013,"Calgary Skyview/Calgary Skyview"," 36","Calgary",0,11,4,56,11,155,8,1,1,247,452
48013,"Calgary Skyview/Calgary Skyview"," 37","Calgary",0,6,3,77,8,113,14,1,2,224,419
48013,"Calgary Skyview/Calgary Skyview"," 38","Calgary",0,6,4,42,5,66,4,0,2,129,289
48013,"Calgary Skyview/Calgary Skyview"," 39","Calgary",2,4,5,56,8,93,23,0,2,193,406
48013,"Calgary Skyview/Calgary Skyview"," 40","Calgary",0,3,5,75,6,127,11,0,2,229,442
