Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pamela Leslie Bryan,Alexander Dussault,Karen Leibovici,Heather MacKenzie,Kelly McCauley,Peggy Morton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48020,"Edmonton West/Edmonton-Ouest"," 1A","Edmonton",11,3,57,40,134,1,0,246,450
48020,"Edmonton West/Edmonton-Ouest"," 1B","Edmonton",6,3,86,38,121,0,0,254,466
48020,"Edmonton West/Edmonton-Ouest"," 1C","Edmonton",6,2,77,33,141,2,0,261,464
48020,"Edmonton West/Edmonton-Ouest"," 1D","Edmonton",9,3,70,43,132,0,0,257,485
48020,"Edmonton West/Edmonton-Ouest"," 2","Edmonton",Void/Supprimé,,,,,,,,
48020,"Edmonton West/Edmonton-Ouest"," 3","Edmonton",Void/Supprimé,,,,,,,,
48020,"Edmonton West/Edmonton-Ouest"," 4","Edmonton",Void/Supprimé,,,,,,,,
48020,"Edmonton West/Edmonton-Ouest"," 5","Edmonton",Void/Supprimé,,,,,,,,
48020,"Edmonton West/Edmonton-Ouest"," 6","Edmonton",6,0,89,26,196,0,2,319,648
48020,"Edmonton West/Edmonton-Ouest"," 7","Edmonton",2,4,118,38,133,1,2,298,602
48020,"Edmonton West/Edmonton-Ouest"," 7-1","Edmonton",10,1,122,42,161,0,1,337,609
48020,"Edmonton West/Edmonton-Ouest"," 8A","Edmonton",3,1,71,25,97,0,0,197,344
48020,"Edmonton West/Edmonton-Ouest"," 8B","Edmonton",5,1,78,15,91,0,4,194,357
48020,"Edmonton West/Edmonton-Ouest"," 8C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,28
48020,"Edmonton West/Edmonton-Ouest"," 9A","Edmonton",1,3,62,23,117,0,0,206,348
48020,"Edmonton West/Edmonton-Ouest"," 9B","Edmonton",3,2,78,16,112,0,0,211,354
48020,"Edmonton West/Edmonton-Ouest"," 10","Edmonton",6,0,75,21,109,0,0,211,388
48020,"Edmonton West/Edmonton-Ouest"," 11","Edmonton",5,2,98,36,131,1,6,279,479
48020,"Edmonton West/Edmonton-Ouest"," 12","Edmonton",1,0,92,23,153,0,1,270,501
48020,"Edmonton West/Edmonton-Ouest"," 13","Edmonton",1,2,42,13,99,0,0,157,295
48020,"Edmonton West/Edmonton-Ouest"," 14","Edmonton",3,1,98,26,159,1,2,290,529
48020,"Edmonton West/Edmonton-Ouest"," 15","Edmonton",5,1,78,17,136,0,0,237,439
48020,"Edmonton West/Edmonton-Ouest"," 16","Edmonton",0,2,52,16,131,0,0,201,439
48020,"Edmonton West/Edmonton-Ouest"," 17","Edmonton",3,1,82,17,182,0,1,286,482
48020,"Edmonton West/Edmonton-Ouest"," 18","Edmonton",5,2,133,23,223,0,6,392,679
48020,"Edmonton West/Edmonton-Ouest"," 19","Edmonton",6,3,51,41,123,2,0,226,433
48020,"Edmonton West/Edmonton-Ouest"," 20","Edmonton",8,1,80,33,120,1,0,243,440
48020,"Edmonton West/Edmonton-Ouest"," 21","Edmonton",7,2,75,47,110,0,0,241,420
48020,"Edmonton West/Edmonton-Ouest"," 22","Edmonton",6,0,69,45,53,0,3,176,377
48020,"Edmonton West/Edmonton-Ouest"," 23","Edmonton",6,1,51,27,59,0,0,144,428
48020,"Edmonton West/Edmonton-Ouest"," 24","Edmonton",4,2,69,41,100,0,1,217,361
48020,"Edmonton West/Edmonton-Ouest"," 25","Edmonton",8,2,45,28,108,0,0,191,334
48020,"Edmonton West/Edmonton-Ouest"," 26","Edmonton",8,1,63,51,75,1,1,200,381
48020,"Edmonton West/Edmonton-Ouest"," 27","Edmonton",12,0,56,35,66,0,2,171,426
48020,"Edmonton West/Edmonton-Ouest"," 28","Edmonton",9,3,80,54,126,0,1,273,482
48020,"Edmonton West/Edmonton-Ouest"," 29","Edmonton",7,2,61,31,60,2,1,164,416
48020,"Edmonton West/Edmonton-Ouest"," 30","Edmonton",7,1,51,43,54,0,1,157,419
48020,"Edmonton West/Edmonton-Ouest"," 31","Edmonton",6,2,61,31,69,0,1,170,420
48020,"Edmonton West/Edmonton-Ouest"," 32","Edmonton",5,1,91,31,100,1,3,232,426
48020,"Edmonton West/Edmonton-Ouest"," 33","Edmonton",5,1,46,37,82,0,2,173,431
48020,"Edmonton West/Edmonton-Ouest"," 34A","Edmonton",6,1,74,19,138,0,1,239,423
48020,"Edmonton West/Edmonton-Ouest"," 34B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,100
48020,"Edmonton West/Edmonton-Ouest"," 35","Edmonton",2,1,52,30,75,0,2,162,348
48020,"Edmonton West/Edmonton-Ouest"," 36","Edmonton",5,1,79,34,94,0,2,215,401
48020,"Edmonton West/Edmonton-Ouest"," 37","Edmonton",4,2,84,46,70,0,1,207,401
48020,"Edmonton West/Edmonton-Ouest"," 38","Edmonton",7,0,56,31,100,0,0,194,395
48020,"Edmonton West/Edmonton-Ouest"," 39","Edmonton",8,1,67,27,113,0,3,219,414
48020,"Edmonton West/Edmonton-Ouest"," 40","Edmonton",1,0,84,32,103,0,2,222,419
48020,"Edmonton West/Edmonton-Ouest"," 41","Edmonton",5,3,103,43,87,2,0,243,478
48020,"Edmonton West/Edmonton-Ouest"," 42","Edmonton",10,2,76,65,52,0,3,208,456
48020,"Edmonton West/Edmonton-Ouest"," 43","Edmonton",6,1,84,25,88,0,0,204,447
48020,"Edmonton West/Edmonton-Ouest"," 44","Edmonton",7,0,99,15,137,0,0,258,456
48020,"Edmonton West/Edmonton-Ouest"," 45","Edmonton",8,3,66,29,120,0,2,228,366
48020,"Edmonton West/Edmonton-Ouest"," 46","Edmonton",6,2,42,22,90,0,0,162,355
48020,"Edmonton West/Edmonton-Ouest"," 47","Edmonton",7,3,106,35,106,2,0,259,527
48020,"Edmonton West/Edmonton-Ouest"," 48","Edmonton",4,2,72,18,123,0,2,221,369
48020,"Edmonton West/Edmonton-Ouest"," 49","Edmonton",3,1,61,22,107,1,1,196,403
48020,"Edmonton West/Edmonton-Ouest"," 50","Edmonton",6,0,93,35,106,1,0,241,413
48020,"Edmonton West/Edmonton-Ouest"," 51","Edmonton",7,4,71,31,64,0,3,180,384
48020,"Edmonton West/Edmonton-Ouest"," 52","Edmonton",3,4,69,28,87,0,1,192,382
48020,"Edmonton West/Edmonton-Ouest"," 53","Edmonton",3,0,106,24,124,0,0,257,508
48020,"Edmonton West/Edmonton-Ouest"," 54","Edmonton",6,3,96,34,99,1,1,240,456
48020,"Edmonton West/Edmonton-Ouest"," 55","Edmonton",4,0,95,46,133,3,1,282,526
48020,"Edmonton West/Edmonton-Ouest"," 56","Edmonton",4,1,78,26,81,0,1,191,388
48020,"Edmonton West/Edmonton-Ouest"," 57","Edmonton",6,0,90,30,108,0,1,235,439
48020,"Edmonton West/Edmonton-Ouest"," 58","Edmonton",5,1,83,45,64,0,0,198,452
48020,"Edmonton West/Edmonton-Ouest"," 59","Edmonton",8,3,92,36,124,2,3,268,473
48020,"Edmonton West/Edmonton-Ouest"," 60","Edmonton",5,2,93,35,133,1,1,270,436
48020,"Edmonton West/Edmonton-Ouest"," 61","Edmonton",8,1,76,24,104,0,0,213,444
48020,"Edmonton West/Edmonton-Ouest"," 62","Edmonton",3,1,72,24,88,1,0,189,416
48020,"Edmonton West/Edmonton-Ouest"," 63","Edmonton",2,0,58,27,58,1,0,146,369
48020,"Edmonton West/Edmonton-Ouest"," 64","Edmonton",3,5,104,71,82,0,5,270,483
