Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Barlow,Tanya MacPherson,Cory Morgan,Marc Slingerland,Alison Thompson,Romy S. Tittel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,"Foothills/Foothills"," 1","Jumping Pound",72,5,0,0,3,1,0,81,144
48022,"Foothills/Foothills"," 2","Rocky View No. 44",110,33,5,0,15,8,0,171,319
48022,"Foothills/Foothills"," 3","Jumping Pound",141,28,2,0,5,5,1,182,362
48022,"Foothills/Foothills"," 4","Rocky View No. 44",190,38,2,0,12,9,0,251,422
48022,"Foothills/Foothills"," 5","Rocky View No. 44",154,34,4,0,5,2,0,199,385
48022,"Foothills/Foothills"," 6","Rocky View No. 44",122,19,3,0,3,4,0,151,270
48022,"Foothills/Foothills"," 7","Rocky View No. 44",121,30,0,0,13,5,1,170,329
48022,"Foothills/Foothills"," 8","Rocky View No. 44",122,29,4,0,4,1,0,160,325
48022,"Foothills/Foothills"," 9","Rocky View No. 44",161,25,0,1,8,2,0,197,374
48022,"Foothills/Foothills"," 10","Jumping Pound",30,49,2,0,19,10,1,111,137
48022,"Foothills/Foothills"," 11","Elbow Valley",180,36,2,0,8,12,0,238,424
48022,"Foothills/Foothills"," 12","Elbow Valley",110,25,2,0,2,4,0,143,241
48022,"Foothills/Foothills"," 13","Elbow Valley",179,23,2,1,1,3,1,210,372
48022,"Foothills/Foothills"," 14","Rocky View No. 44",144,24,0,0,9,8,1,186,319
48022,"Foothills/Foothills"," 15","Rocky View No. 44",168,28,1,0,1,4,0,202,328
48022,"Foothills/Foothills"," 16","Pirmez Creek",196,22,0,1,4,6,0,229,394
48022,"Foothills/Foothills"," 17","Elbow Valley",237,42,0,0,8,3,1,291,512
48022,"Foothills/Foothills"," 18","Pirmez Creek",164,30,0,0,3,4,0,201,346
48022,"Foothills/Foothills"," 19","Sarcee",121,80,0,1,13,14,0,229,344
48022,"Foothills/Foothills"," 20","Sarcee",137,77,2,0,17,17,0,250,390
48022,"Foothills/Foothills"," 21","Sarcee",4,105,4,0,284,8,2,407,687
48022,"Foothills/Foothills"," 22","Foothills No. 31",135,34,0,0,8,14,0,191,392
48022,"Foothills/Foothills"," 23","Foothills No. 31",298,57,3,5,10,18,0,391,473
48022,"Foothills/Foothills"," 24","Foothills No. 31",352,69,5,0,15,9,0,450,733
48022,"Foothills/Foothills"," 25","Bragg Creek",100,37,0,0,5,8,0,150,269
48022,"Foothills/Foothills"," 26","Bragg Creek",68,25,2,0,13,11,0,119,225
48022,"Foothills/Foothills"," 27","Bragg Creek",122,50,0,0,21,19,0,212,374
48022,"Foothills/Foothills"," 28","Bragg Creek",95,38,0,1,5,7,1,147,278
48022,"Foothills/Foothills"," 29","Bragg Creek",165,49,2,0,32,18,1,267,429
48022,"Foothills/Foothills"," 30","Bragg Creek",180,43,6,2,12,10,0,253,398
48022,"Foothills/Foothills"," 31","Millarville",245,31,1,2,9,14,0,302,420
48022,"Foothills/Foothills"," 32","Millarville",156,27,0,0,12,12,0,207,291
48022,"Foothills/Foothills"," 33","Millarville",168,20,0,0,5,5,0,198,317
48022,"Foothills/Foothills"," 34","Priddis",260,37,8,0,5,10,3,323,426
48022,"Foothills/Foothills"," 35","Priddis",138,19,1,0,2,4,0,164,242
48022,"Foothills/Foothills"," 36","Academy",238,16,4,1,8,11,0,278,433
48022,"Foothills/Foothills"," 37","De Winton",209,31,1,0,2,2,0,245,414
48022,"Foothills/Foothills"," 38","De Winton",169,19,0,0,2,3,0,193,331
48022,"Foothills/Foothills"," 39","De Winton",149,28,1,0,5,1,0,184,292
48022,"Foothills/Foothills"," 40","De Winton",177,33,1,0,2,1,0,214,324
48022,"Foothills/Foothills"," 41","De Winton",332,57,2,0,9,2,1,403,697
48022,"Foothills/Foothills"," 42","De Winton",400,55,4,0,13,10,1,483,745
48022,"Foothills/Foothills"," 43","De Winton",156,16,0,1,7,5,0,185,457
48022,"Foothills/Foothills"," 44","De Winton",159,21,1,0,2,5,0,188,360
48022,"Foothills/Foothills"," 45","De Winton",159,25,0,0,7,5,0,196,368
