Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ed Fast,Stephen Fowler,David MacKay,Jen Martel,Peter Njenga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59001,"Abbotsford/Abbotsford"," 1","Abbotsford",36,9,0,18,139,2,204,471
59001,"Abbotsford/Abbotsford"," 2","Abbotsford",30,5,4,20,117,0,176,371
59001,"Abbotsford/Abbotsford"," 3","Abbotsford",51,4,2,27,145,3,232,440
59001,"Abbotsford/Abbotsford"," 4","Abbotsford",69,3,1,19,117,0,209,387
59001,"Abbotsford/Abbotsford"," 5","Abbotsford",78,4,0,13,99,3,197,422
59001,"Abbotsford/Abbotsford"," 6","Abbotsford",56,7,0,18,99,3,183,379
59001,"Abbotsford/Abbotsford"," 7","Abbotsford",68,10,0,34,70,3,185,367
59001,"Abbotsford/Abbotsford"," 8","Abbotsford",129,5,0,19,69,2,224,430
59001,"Abbotsford/Abbotsford"," 9","Abbotsford",102,4,0,25,76,3,210,390
59001,"Abbotsford/Abbotsford"," 10","Abbotsford",91,8,0,31,134,3,267,483
59001,"Abbotsford/Abbotsford"," 11","Abbotsford",95,5,1,27,104,3,235,491
59001,"Abbotsford/Abbotsford"," 12","Abbotsford",75,12,0,43,88,0,218,407
59001,"Abbotsford/Abbotsford"," 13","Abbotsford",129,20,1,46,92,0,288,516
59001,"Abbotsford/Abbotsford"," 14","Abbotsford",119,12,0,41,96,3,271,546
59001,"Abbotsford/Abbotsford"," 15","Abbotsford",83,6,0,38,62,0,189,440
59001,"Abbotsford/Abbotsford"," 16","Abbotsford",94,5,1,53,116,0,269,545
59001,"Abbotsford/Abbotsford"," 17","Abbotsford",135,17,1,34,62,2,251,501
59001,"Abbotsford/Abbotsford"," 18","Abbotsford",85,20,0,39,63,1,208,508
59001,"Abbotsford/Abbotsford"," 19","Abbotsford",117,33,2,39,79,2,272,525
59001,"Abbotsford/Abbotsford"," 20","Abbotsford",46,7,1,25,72,0,151,332
59001,"Abbotsford/Abbotsford"," 21","Abbotsford",82,7,0,24,70,0,183,343
59001,"Abbotsford/Abbotsford"," 22","Abbotsford",132,12,0,23,50,3,220,509
59001,"Abbotsford/Abbotsford"," 23","Abbotsford",72,10,0,37,56,0,175,365
59001,"Abbotsford/Abbotsford"," 24","Abbotsford",104,4,0,7,36,0,151,345
59001,"Abbotsford/Abbotsford"," 25","Abbotsford",59,10,0,12,63,0,144,325
59001,"Abbotsford/Abbotsford"," 26","Abbotsford",72,6,2,38,70,0,188,344
59001,"Abbotsford/Abbotsford"," 27","Abbotsford",65,17,3,35,134,1,255,499
59001,"Abbotsford/Abbotsford"," 28","Abbotsford",157,14,0,29,76,3,279,481
59001,"Abbotsford/Abbotsford"," 29","Abbotsford",134,4,0,19,40,2,199,333
59001,"Abbotsford/Abbotsford"," 30","Abbotsford",202,19,0,34,99,1,355,497
59001,"Abbotsford/Abbotsford"," 31","Abbotsford",105,13,0,27,59,0,204,379
59001,"Abbotsford/Abbotsford"," 32A","Abbotsford",117,18,0,32,40,0,207,420
59001,"Abbotsford/Abbotsford"," 32B","Abbotsford",137,9,0,29,56,1,232,386
59001,"Abbotsford/Abbotsford"," 33","Abbotsford",128,15,1,25,48,1,218,372
59001,"Abbotsford/Abbotsford"," 34","Abbotsford",133,15,0,23,66,0,237,518
59001,"Abbotsford/Abbotsford"," 35","Abbotsford",85,12,0,41,60,0,198,454
59001,"Abbotsford/Abbotsford"," 36","Abbotsford",100,18,1,41,82,0,242,510
59001,"Abbotsford/Abbotsford"," 37","Abbotsford",150,18,0,42,75,0,285,462
59001,"Abbotsford/Abbotsford"," 38","Abbotsford",103,9,1,40,71,0,224,347
59001,"Abbotsford/Abbotsford"," 39","Abbotsford",140,18,1,46,104,2,311,548
59001,"Abbotsford/Abbotsford"," 40","Abbotsford",73,7,0,36,26,1,143,247
59001,"Abbotsford/Abbotsford"," 41","Abbotsford",64,16,0,46,85,0,211,459
59001,"Abbotsford/Abbotsford"," 42","Abbotsford",45,8,1,20,53,0,127,312
59001,"Abbotsford/Abbotsford"," 43","Abbotsford",129,6,0,37,120,0,292,526
59001,"Abbotsford/Abbotsford"," 44","Abbotsford",111,17,0,40,94,1,263,506
59001,"Abbotsford/Abbotsford"," 45","Abbotsford",95,12,1,24,33,0,165,301
59001,"Abbotsford/Abbotsford"," 46","Abbotsford",140,21,0,45,81,1,288,475
59001,"Abbotsford/Abbotsford"," 47","Abbotsford",84,14,0,28,48,0,174,307
59001,"Abbotsford/Abbotsford"," 48","Abbotsford",179,20,0,33,68,0,300,451
59001,"Abbotsford/Abbotsford"," 49","Abbotsford",148,17,0,44,77,1,287,436
59001,"Abbotsford/Abbotsford"," 50","Abbotsford",127,21,2,30,81,0,261,439
59001,"Abbotsford/Abbotsford"," 51","Abbotsford",151,15,0,31,105,1,303,484
59001,"Abbotsford/Abbotsford"," 52","Abbotsford",140,10,0,33,82,0,265,488
59001,"Abbotsford/Abbotsford"," 53","Abbotsford",144,17,2,41,87,0,291,468
59001,"Abbotsford/Abbotsford"," 54","Abbotsford",137,14,1,20,61,2,235,404
59001,"Abbotsford/Abbotsford"," 55","Abbotsford",106,5,1,15,60,0,187,387
59001,"Abbotsford/Abbotsford"," 56","Abbotsford",146,11,0,34,73,1,265,473
59001,"Abbotsford/Abbotsford"," 57","Abbotsford",152,9,1,31,72,0,265,437
59001,"Abbotsford/Abbotsford"," 58","Abbotsford",200,8,0,44,75,3,330,519
59001,"Abbotsford/Abbotsford"," 59","Abbotsford",137,6,0,39,77,0,259,444
59001,"Abbotsford/Abbotsford"," 60","Abbotsford",118,5,0,14,57,1,195,323
59001,"Abbotsford/Abbotsford"," 61","Abbotsford",135,7,0,40,89,0,271,431
59001,"Abbotsford/Abbotsford"," 62","Abbotsford",169,8,1,22,94,1,295,473
59001,"Abbotsford/Abbotsford"," 63","Abbotsford",150,15,0,36,81,1,283,483
59001,"Abbotsford/Abbotsford"," 64","Abbotsford",155,9,1,25,54,0,244,400
