Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Liz Jaluague,Adam Pankratz,Grace Seear,Kennedy Stewart,Wyatt Tessari,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby South/Burnaby-Sud"," 1","Burnaby",7,101,45,71,6,1,231,536
59003,"Burnaby South/Burnaby-Sud"," 2","Burnaby",1,63,59,56,7,2,188,475
59003,"Burnaby South/Burnaby-Sud"," 3","Burnaby",2,38,37,38,0,0,115,295
59003,"Burnaby South/Burnaby-Sud"," 4A","Burnaby",3,66,34,30,4,0,137,332
59003,"Burnaby South/Burnaby-Sud"," 4B","Burnaby",1,61,28,31,3,0,124,290
59003,"Burnaby South/Burnaby-Sud"," 5","Burnaby",4,107,46,86,6,3,252,490
59003,"Burnaby South/Burnaby-Sud"," 6","Burnaby",3,96,39,83,6,3,230,470
59003,"Burnaby South/Burnaby-Sud"," 7","Burnaby",2,42,42,61,4,0,151,370
59003,"Burnaby South/Burnaby-Sud"," 8","Burnaby",0,50,30,44,3,1,128,362
59003,"Burnaby South/Burnaby-Sud"," 9","Burnaby",1,127,35,72,12,2,249,464
59003,"Burnaby South/Burnaby-Sud"," 10","Burnaby",3,93,41,64,4,1,206,389
59003,"Burnaby South/Burnaby-Sud"," 11","Burnaby",2,88,31,75,7,1,204,454
59003,"Burnaby South/Burnaby-Sud"," 12","Burnaby",1,98,43,91,7,1,241,517
59003,"Burnaby South/Burnaby-Sud"," 13A","Burnaby",1,84,39,49,4,0,177,373
59003,"Burnaby South/Burnaby-Sud"," 13B","Burnaby",3,65,39,28,4,0,139,274
59003,"Burnaby South/Burnaby-Sud"," 14","Burnaby",2,101,51,32,5,4,195,537
59003,"Burnaby South/Burnaby-Sud"," 15A","Burnaby",0,44,43,40,3,5,135,289
59003,"Burnaby South/Burnaby-Sud"," 15B","Burnaby",3,50,28,43,0,0,124,305
59003,"Burnaby South/Burnaby-Sud"," 16","Burnaby",0,114,88,79,5,0,286,537
59003,"Burnaby South/Burnaby-Sud"," 17","Burnaby",2,93,53,70,8,4,230,569
59003,"Burnaby South/Burnaby-Sud"," 18A","Burnaby",1,73,23,59,6,0,162,385
59003,"Burnaby South/Burnaby-Sud"," 18B","Burnaby",2,97,45,77,5,1,227,430
59003,"Burnaby South/Burnaby-Sud"," 19","Burnaby",2,99,51,86,18,0,256,465
59003,"Burnaby South/Burnaby-Sud"," 20","Burnaby",0,91,71,72,6,0,240,427
59003,"Burnaby South/Burnaby-Sud"," 21","Burnaby",1,91,81,88,5,0,266,459
