Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tracy Calogheros,Gordon Campbell,Sheldon Clare,Adam De Kroon,Trent Derrick,Todd Doherty,Richard Edward Jaques,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 1","Dog Creek",28,1,3,0,13,132,3,0,180,317
59004,"Cariboo--Prince George/Cariboo--Prince George"," 2","Dog Creek",53,1,1,2,14,115,11,0,197,389
59004,"Cariboo--Prince George/Cariboo--Prince George"," 3","Vanderhoof",44,2,2,4,19,131,6,0,208,401
59004,"Cariboo--Prince George/Cariboo--Prince George"," 4","Vanderhoof",34,0,1,3,9,78,5,0,130,274
59004,"Cariboo--Prince George/Cariboo--Prince George"," 5","Nulki",60,3,5,2,19,113,10,0,212,433
59004,"Cariboo--Prince George/Cariboo--Prince George"," 6","Vanderhoof",48,1,1,2,35,91,4,0,182,399
59004,"Cariboo--Prince George/Cariboo--Prince George"," 7","Vanderhoof",53,3,1,1,18,63,7,0,146,294
59004,"Cariboo--Prince George/Cariboo--Prince George"," 8","Vanderhoof",53,0,3,1,27,78,6,1,169,320
59004,"Cariboo--Prince George/Cariboo--Prince George"," 9","Chilco",37,1,1,1,16,145,7,1,209,401
59004,"Cariboo--Prince George/Cariboo--Prince George"," 10","Weneez",46,2,3,1,18,173,10,0,253,424
59004,"Cariboo--Prince George/Cariboo--Prince George"," 11","Vanderhoof",58,4,4,3,47,117,13,1,247,447
59004,"Cariboo--Prince George/Cariboo--Prince George"," 12","Vanderhoof",50,1,0,0,19,110,5,0,185,375
59004,"Cariboo--Prince George/Cariboo--Prince George"," 13A","Nulki",20,0,0,0,138,11,3,1,173,227
59004,"Cariboo--Prince George/Cariboo--Prince George"," 13B","Nulki",31,3,1,3,17,72,6,0,133,294
59004,"Cariboo--Prince George/Cariboo--Prince George"," 14","Finmoore",60,4,1,1,43,90,6,1,206,397
59004,"Cariboo--Prince George/Cariboo--Prince George"," 15","Mapes",18,0,5,0,11,81,6,0,121,225
59004,"Cariboo--Prince George/Cariboo--Prince George"," 16","Nechako",73,2,10,0,42,99,9,2,237,399
59004,"Cariboo--Prince George/Cariboo--Prince George"," 17","Beaverley",62,0,0,0,44,129,11,2,248,367
59004,"Cariboo--Prince George/Cariboo--Prince George"," 18","Beaverley",71,0,5,0,45,105,7,0,233,379
