Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martin Barker,Alastair Haythornthwaite,Fran Hunt-Jinnouchi,Luke Krayenhoff,Alistair MacGregor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 1","Cowichan Lake ",16,1,31,30,81,2,161,273
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 2","Cowichan Lake ",35,1,29,52,47,0,164,261
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 3","Caycuse",0,0,2,10,30,0,42,65
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 4","Honeymoon Bay",35,0,31,37,63,0,166,271
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 5","Honeymoon Bay",34,2,32,38,63,0,169,266
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 6","Cowichan Lake ",47,2,52,67,82,1,251,470
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 7","Cowichan Lake ",28,0,26,32,58,0,144,293
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 8","Lake Cowichan",26,0,17,35,69,0,147,314
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 9","Lake Cowichan",29,5,24,29,57,0,144,339
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 10","Lake Cowichan",26,1,47,65,97,0,236,471
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 11","Lake Cowichan",46,3,50,63,110,0,272,491
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 12","Lake Cowichan",39,1,45,46,103,0,234,417
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 13","Lake Cowichan",35,0,25,42,66,1,169,298
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 14","Sooke",23,2,21,28,69,0,143,262
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 15","Chemainus",78,3,42,83,108,1,315,473
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 16","Chemainus",78,0,55,65,52,1,251,350
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 17","Chemainus",70,3,66,53,102,0,294,488
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 18","Chemainus",73,2,46,56,69,0,246,398
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 19","Saltair",69,0,52,69,92,1,283,468
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 20","Chemainus",63,0,34,54,95,1,247,353
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 21","Chemainus",61,1,57,65,108,1,293,443
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 22","Chemainus",72,0,55,50,100,2,279,438
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 23","Chemainus",64,0,52,54,64,1,235,401
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 24","Osborn Bay",26,0,21,24,98,1,170,328
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 25","Westholme",84,1,42,62,126,2,317,499
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 26","Westholme",43,1,34,54,69,1,202,453
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 27A","Westholme",58,2,41,58,61,0,220,410
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 27B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°94B,,,,,,,6
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 28","Crofton",62,3,47,52,89,3,256,421
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 29","Crofton",67,4,28,59,81,0,239,426
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 30","Crofton",53,2,31,47,69,0,202,354
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 31","Tent Island 8",1,1,18,5,135,0,160,214
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 32","Thetis Island",107,1,62,44,69,0,283,377
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 33","Paldi",59,4,1,53,108,1,226,466
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 34","Westholme",73,1,38,65,118,0,295,485
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 35","Somenos",65,3,37,65,87,1,258,460
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 36","Somenos",49,1,23,56,98,0,227,415
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 37","Hayward",78,1,32,75,78,0,264,480
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 38","Hayward",50,3,32,68,108,0,261,470
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 39","Duncan",35,1,30,43,93,0,202,442
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 40A","Duncan",39,0,22,60,49,2,172,300
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 40B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°94B,,,,,,,3
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 41","North Cowichan",18,1,40,40,97,0,196,384
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 42","Somenos",63,5,15,39,53,1,176,304
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 43","Hayward",35,2,28,50,61,0,176,339
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 44","Hayward",36,2,36,54,87,0,215,434
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 45","Duncan",40,0,25,43,99,2,209,455
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 46","Duncan",57,1,60,74,126,1,319,589
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 47","Duncan",39,0,25,36,78,0,178,396
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 48","Duncan",62,1,34,77,111,2,287,610
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 49","Sahtlam",29,0,23,31,52,0,135,284
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 50","Sahtlam",53,1,40,60,81,0,235,426
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 51","Cowichan 1",29,0,28,42,67,1,167,345
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 52","Sahtlam",47,1,48,56,114,1,267,441
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 53","Duncan",30,2,38,42,56,1,169,360
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 54","Duncan",22,0,46,28,72,0,168,390
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 55","Duncan",47,0,35,42,95,0,219,400
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 56","Duncan",31,1,37,39,69,0,177,332
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 57","Duncan",43,0,34,30,73,0,180,385
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 58","Duncan",27,3,19,23,65,0,137,293
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 59","Duncan",21,0,26,17,58,1,123,321
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 60","Duncan",41,2,29,48,66,2,188,311
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 61","Duncan",30,1,23,29,46,1,130,321
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 62","Duncan",18,0,19,34,64,0,135,308
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 63","Duncan",31,1,22,52,83,1,190,462
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 64","Duncan",34,1,27,28,88,1,179,327
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 65","Duncan",37,3,29,46,53,0,168,330
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 66","Duncan",41,2,27,28,55,0,153,398
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 67","Cowichan 1",31,0,11,18,51,1,112,249
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 68","Somenos",78,0,38,58,95,0,269,497
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 69","Somenos",59,0,17,44,66,0,186,344
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 70","Duncan",54,1,20,35,74,1,185,359
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 71","Duncan",74,2,32,52,73,0,233,449
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 72","Duncan",61,0,32,51,57,0,201,363
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 73","Deerholme",56,0,53,43,85,0,237,404
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 74","Cowichan 1",34,1,23,38,54,0,150,263
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 75","Eagle Heights",23,1,29,31,50,0,134,294
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 76","Cowichan 1",44,0,21,43,60,0,168,274
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 77","Cowichan 1",30,0,28,51,81,1,191,349
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 78","Cowichan 1",16,5,36,32,163,2,254,440
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 79","Cowichan 1",3,2,18,6,151,1,181,345
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 80","Cowichan 1",11,1,26,25,135,3,201,359
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 81","Cowichan 1",3,1,20,8,94,0,126,248
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 82","Maple Bay",94,0,34,64,104,1,297,474
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 83","Maple Bay",100,4,27,77,89,0,297,508
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 84","Maple Bay",70,1,40,64,88,1,264,403
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 85","Maple Bay",87,2,39,82,80,1,291,455
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 86","Maple Bay",64,2,24,50,50,0,190,335
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 87","Maple Bay",101,2,30,64,85,0,282,448
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 88","Maple Bay",54,1,14,37,57,0,163,294
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 89","Maple Bay",72,1,38,48,50,0,209,360
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 90","Maple Bay",39,1,45,50,73,0,208,372
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 91","Duncan",70,1,24,55,90,0,240,422
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 92","Duncan",37,0,39,49,63,1,189,441
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 93","Duncan",28,2,43,53,78,1,205,401
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 94A","Duncan",57,1,26,45,70,0,199,359
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 94B","Mobile poll/Bureau itinérant",5,0,3,9,5,0,22,20
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 95","Duncan",64,1,30,55,80,0,230,363
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 96","Cowichan 1",32,0,15,28,59,2,136,250
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 97","Cowichan Bay",32,0,37,46,85,0,200,323
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 98A","Cowichan Bay",23,1,35,57,67,0,183,314
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 98B","Cowichan Bay",26,0,38,46,71,1,182,305
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 99","Cowichan Bay",62,1,38,50,91,1,243,397
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 100","Cowichan Bay",57,0,32,60,90,1,240,454
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 101","Cobble Hill",49,0,43,51,72,0,215,428
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 102","Cowichan Bay",67,4,40,71,96,1,279,479
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 103","Cowichan Bay",50,1,26,60,57,0,194,373
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 104","Cowichan Station",56,1,35,31,86,0,209,377
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 105","Cowichan Station",43,2,44,67,125,0,281,461
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 106","Cowichan Station",61,1,62,60,108,1,293,528
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 107","Shawnigan Lake",17,0,30,13,46,0,106,177
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 108","Shawnigan Lake",46,0,41,38,67,0,192,404
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 109","Shawnigan Lake",41,0,36,56,47,0,180,375
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 110","Mill Bay",34,0,28,26,41,0,129,276
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 111","Shawnigan Lake",22,0,54,70,87,1,234,428
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 112","Shawnigan Lake",21,1,30,58,64,0,174,334
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 113","Shawnigan Lake",32,1,47,56,52,0,188,388
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 114","Sooke",20,2,40,49,51,0,162,313
