Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Garry Begg,Nina Grewal,Ken Hardie,Richard Hosein,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 1","Surrey",31,59,80,7,1,178,455
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 2","Surrey",54,52,89,6,4,205,427
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 3","Surrey",27,50,84,3,4,168,367
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 4","Surrey",34,89,78,12,2,215,480
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 5","Surrey",38,61,88,6,0,193,431
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 6","Surrey",27,63,77,2,2,171,382
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 7","Surrey",24,80,74,0,0,178,422
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 8","Surrey",26,81,66,3,0,176,435
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 9","Surrey",22,81,112,4,1,220,500
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 10","Surrey",30,62,124,13,1,230,447
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 11","Surrey",24,64,82,10,0,180,392
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 12","Surrey",28,61,80,8,0,177,402
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 13","Surrey",22,63,64,2,0,151,382
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 14","Surrey",15,75,85,7,0,182,358
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 15","Surrey",25,87,95,4,0,211,402
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 16","Surrey",35,90,104,5,1,235,440
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 17","Surrey",37,62,45,4,0,148,363
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 18","Surrey",51,50,98,5,1,205,412
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 19A","Surrey",31,46,57,5,1,140,280
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 19B","Surrey",31,43,53,4,0,131,291
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 20A","Surrey",32,42,70,5,1,150,355
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 20B","Surrey",32,45,97,1,0,175,324
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 21","Surrey",41,56,124,9,1,231,460
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 22","Surrey",41,46,108,7,0,202,477
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 23","Surrey",29,60,91,6,1,187,451
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 24","Surrey",30,68,85,8,3,194,438
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 25","Surrey",53,56,93,5,4,211,438
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 26","Surrey",51,71,99,6,0,227,370
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 27","Surrey",58,96,86,8,1,249,455
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 28A","Surrey",33,51,52,12,0,148,273
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 28B","Surrey",32,41,61,8,0,142,245
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 29","Surrey",58,54,62,8,2,184,409
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 30","Surrey",47,38,61,0,0,146,316
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 31","Surrey",25,98,59,9,0,191,453
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 32","Surrey",18,52,47,0,0,117,313
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 33","Surrey",11,55,42,1,0,109,327
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 34","Surrey",31,91,105,3,3,233,476
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 35","Surrey",36,102,96,8,1,243,496
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 36","Surrey",35,74,57,6,1,173,416
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 37","Surrey",37,96,65,2,0,200,433
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 38","Surrey",17,126,90,3,0,236,490
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 39","Surrey",30,128,65,2,0,225,440
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 40","Surrey",20,78,92,6,1,197,393
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 41","Surrey",28,97,118,4,2,249,462
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 42A","Surrey",23,67,69,1,0,160,292
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 42B","Surrey",20,57,41,1,0,119,249
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 43","Greater Vancouver A",34,111,81,11,0,237,424
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 44","Surrey",44,61,84,9,0,198,448
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 45","Surrey",36,91,66,14,0,207,439
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 46","Surrey",36,72,130,5,0,243,449
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 47","Surrey",29,46,79,1,2,157,392
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 48","Surrey",34,67,92,6,0,199,416
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 49","Surrey",58,50,100,4,2,214,500
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 50","Surrey",41,39,92,4,3,179,382
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 51","Surrey",41,59,71,2,1,174,384
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 52","Surrey",38,46,117,2,1,204,452
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 53","Surrey",41,77,71,6,1,196,418
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 54","Surrey",54,75,115,7,3,254,487
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 55","Surrey",61,52,93,9,3,218,486
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 56","Surrey",60,47,129,4,1,241,498
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 57","Surrey",38,50,108,0,3,199,387
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 58A","Surrey",16,28,43,2,0,89,250
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 58B","Surrey",25,27,43,2,1,98,280
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 59","Surrey",57,48,86,6,0,197,478
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 60","Surrey",31,54,92,4,0,181,381
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 61A","Surrey",29,52,47,4,2,134,309
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 61B","Surrey",24,46,58,1,0,129,257
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 62","Surrey",52,114,92,10,3,271,509
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 63","Surrey",74,89,130,4,0,297,513
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 64A","Surrey",28,44,71,8,1,152,275
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 64B","Surrey",27,34,65,10,0,136,252
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 65","Surrey",62,76,127,9,4,278,434
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 66","Surrey",46,48,85,4,0,183,451
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 67","Surrey",65,70,81,7,1,224,391
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 68","Surrey",55,50,113,5,3,226,462
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 69","Surrey",42,29,49,2,0,122,298
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 70","Surrey",38,48,105,5,1,197,427
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 71","Surrey",42,23,76,7,0,148,446
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 72","Surrey",28,30,66,5,0,129,423
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 73","Surrey",28,27,74,8,0,137,412
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 74","Surrey",51,90,95,6,0,242,470
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 75","Surrey",38,47,104,2,2,193,463
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 76A","Surrey",24,26,60,6,0,116,296
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 76B","Surrey",16,27,48,3,1,95,263
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 77","Surrey",43,29,94,10,0,176,476
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 78","Surrey",42,43,99,7,1,192,489
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 79","Surrey",48,48,115,5,2,218,426
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 80","Surrey",37,45,82,7,0,171,500
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 81","Surrey",32,35,54,2,0,123,479
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells"," 82","Surrey",42,61,78,6,1,188,410
