Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob D'Eith,Mike Murray,Steve Ranta,Dan Ruimy,Peter Tam,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 1","Dewdney",63,93,2,111,13,1,283,467
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 2","Maple Ridge",66,93,0,100,6,0,265,475
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 3","Maple Ridge",66,87,1,103,15,0,272,444
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 4","Maple Ridge",65,91,4,121,10,0,291,492
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 5","Maple Ridge",90,179,1,101,11,0,382,563
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 6","Maple Ridge",55,93,3,90,16,1,258,416
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 7","Maple Ridge",37,59,2,78,13,0,189,393
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 8","Maple Ridge",53,51,1,43,9,0,157,305
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 9","Maple Ridge",48,74,6,70,12,0,210,369
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 10","Maple Ridge",56,75,2,78,13,0,224,372
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 11","Maple Ridge",70,72,0,88,12,0,242,414
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 12A","Maple Ridge",49,51,1,73,6,1,181,295
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 12B","Maple Ridge",57,85,1,53,8,1,205,295
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 13","Maple Ridge",68,118,3,110,6,0,305,458
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 14","Pitt Meadows",47,95,3,73,14,0,232,479
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 15","Pitt Meadows",40,130,1,89,5,0,265,501
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 16","Pitt Meadows",50,51,1,90,3,1,196,369
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 17","Pitt Meadows",58,73,5,71,7,0,214,436
