Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Boyd,Alicia Cormier,Tim Kane,Elizabeth May,Meghan Jess Porter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 1","Ganges",16,14,20,122,2,0,174,421
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 2","Ganges",18,22,24,127,1,1,193,380
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 3","Ganges",26,16,22,154,4,0,222,441
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 4","Vesuvius",22,6,17,77,0,0,122,338
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 5","Vesuvius",25,17,25,95,1,0,163,378
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 6","Vesuvius",28,15,27,117,0,0,187,405
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 7","Vesuvius",23,9,30,93,2,0,157,314
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 8","Ganges",20,23,23,152,2,0,220,428
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 9","Ganges",18,11,22,127,0,0,178,353
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 10","Ganges",8,5,13,80,4,0,110,235
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 11","Ganges",7,14,8,66,2,0,97,256
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 12","Ganges",14,4,7,45,0,0,70,231
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 13","Ganges",20,10,36,140,0,0,206,442
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 14","Ganges",5,24,11,84,2,1,127,323
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 15","Ganges",7,8,14,79,1,1,110,259
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 16","Long Harbour",19,7,15,95,0,0,136,316
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 17","Long Harbour",26,5,16,83,1,0,131,291
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 18","Ganges",5,12,15,89,2,0,123,299
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 19","Ganges",22,13,17,118,1,0,171,411
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 20","Ganges",17,10,12,111,1,0,151,386
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 21","Ganges",6,6,21,88,0,0,121,293
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 22","North Galiano",9,8,15,101,0,0,133,361
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 23","Sturdies Bay",9,10,9,85,0,0,113,280
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 24","Sturdies Bay",14,2,15,64,0,2,97,284
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 25","Mayne",15,12,16,51,0,0,94,289
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 26","Mayne",6,10,25,85,0,0,126,366
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 27","Mayne",14,7,9,84,0,0,114,292
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 28","Saturna",21,21,19,138,3,1,203,314
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 29","Port Washington",22,9,12,106,0,1,150,308
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 30","Port Washington",18,11,18,87,0,0,134,306
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 31","Pender Island",17,12,12,87,1,0,129,270
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 32","Pender Island",18,12,21,99,1,1,152,370
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 33","Pender Island",40,15,20,103,2,0,180,375
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 34","Pender Island",18,11,13,110,1,0,153,364
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 35","Fulford Harbour",22,20,23,174,0,0,239,438
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 36","Fulford Harbour",12,11,11,250,2,1,287,461
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 37","Fulford Harbour",7,5,19,140,0,0,171,279
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 38","Fulford Harbour",11,10,21,210,1,0,253,441
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 39","Deep Cove",55,6,43,132,0,1,237,440
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 40","Deep Cove",67,12,40,172,1,0,292,449
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 41","Deep Cove",65,8,35,117,1,0,226,381
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 42","Deep Cove",36,13,61,161,0,2,273,413
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 43","Deep Cove",45,11,40,154,0,0,250,411
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 44","Deep Cove",44,28,57,126,0,0,255,403
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 45","Swartz Bay",52,10,33,132,1,0,228,420
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 46","Swartz Bay",66,17,50,131,1,1,266,446
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 47","Swartz Bay",67,8,37,126,2,0,240,417
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 48","Swartz Bay",71,7,38,112,1,0,229,419
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 49","Ardmore",43,41,30,127,0,0,241,355
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 50","Sidney",55,12,29,109,0,2,207,375
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 51","Ardmore",45,60,36,105,0,0,246,462
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 52","Ardmore",53,11,30,116,1,1,212,345
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 53","Ardmore",44,12,31,141,3,0,231,349
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 54","Sidney",60,20,62,129,3,1,275,468
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 55","Sidney",52,12,41,138,2,1,246,418
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 56","Sidney",86,11,47,102,0,0,246,418
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 57","Sidney",30,36,63,115,0,0,244,396
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 58","Sidney",40,24,46,140,1,1,252,430
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 59","Sidney",56,26,31,114,0,3,230,384
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 60","Sidney",44,25,43,141,0,1,254,448
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 61","Sidney",50,21,72,144,1,0,288,522
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 62","Sidney",68,18,34,118,2,1,241,433
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 63","Sidney",40,21,34,124,1,0,220,418
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 64","Sidney",92,20,59,126,0,1,298,551
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 65","Sidney",39,25,34,121,0,0,219,410
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 66","Sidney",67,15,42,136,3,2,265,516
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 67","Sidney",32,18,36,110,0,0,196,368
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 68","Sidney",51,18,29,99,0,0,197,313
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 69","Sidney",47,17,31,101,0,1,197,343
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 70","Sidney",34,15,37,110,0,0,196,348
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 71","Sidney",61,24,52,134,0,3,274,478
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 72","Sidney",77,16,29,136,1,0,259,459
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 73","Sidney",55,17,46,127,0,0,245,417
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 74","Sidney",76,23,47,165,1,2,314,484
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 75","Sidney",90,10,36,97,2,0,235,417
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 76","Sidney",75,8,35,105,0,0,223,392
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 77","Sidney",62,10,46,121,0,0,239,382
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 78","Sidney",53,6,43,126,2,0,230,398
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 79","Sidney",60,18,43,108,1,0,230,401
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 80","Saanichton",58,20,29,96,0,0,203,387
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 81","Saanichton",52,12,44,77,1,1,187,356
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 82","Saanichton",87,28,32,135,1,0,283,463
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 83","Saanichton",67,24,48,169,0,0,308,527
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 84","South Saanich 1",17,91,7,76,0,1,192,379
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 85","Saanichton",35,13,32,125,0,1,206,379
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 86","Saanichton",41,15,37,109,3,0,205,373
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 87","South Saanich 1",34,20,30,109,0,0,193,369
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 88","South Saanich 1",32,39,30,85,0,1,187,404
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 89","Central Saanich",48,29,50,181,2,0,310,520
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 90","Saanichton",44,9,25,130,0,0,208,399
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 91","Central Saanich",54,20,49,145,1,0,269,466
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 92","Central Saanich",64,14,34,103,0,0,215,434
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 93","Central Saanich",49,23,56,145,0,1,274,484
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 94","Brentwood Bay",52,19,50,166,0,0,287,486
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 95","Central Saanich",41,25,31,135,2,1,235,429
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 96","Brentwood Bay",28,17,40,102,1,2,190,368
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 97","Brentwood Bay",42,19,43,180,1,1,286,516
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 98","Keating",60,24,54,136,1,0,275,473
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 99","Keating",73,25,41,132,2,1,274,478
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 100","Keating",75,14,41,111,1,0,242,394
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 101","Keating",66,18,57,119,2,0,262,434
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 102","Keating",66,33,64,170,2,0,335,500
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 103","Keating",46,15,40,114,0,0,215,348
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 104","East Saanich 2",68,26,43,122,1,2,262,440
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 105","Keating",75,22,70,124,0,1,292,516
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 106","Keating",65,16,64,131,5,0,281,441
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 107","Central Saanich",65,28,53,126,0,0,272,416
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 108","East Saanich 2",65,39,46,105,2,1,258,453
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 109","Saanichton",52,22,57,128,1,0,260,418
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 110","Central Saanich",37,27,41,126,0,2,233,392
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 111","Saanichton",45,20,43,93,0,2,203,387
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 112","East Saanich 2",43,41,55,77,0,0,216,373
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 113","Saanichton",67,19,56,135,0,1,278,438
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 114","Saanichton",73,16,31,117,0,1,238,469
