Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sukh Dhaliwal,Pamela Sangha,Jinny Sims,Harpreet Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59033,"Surrey--Newton/Surrey--Newton"," 1","Surrey",112,7,56,33,5,213,363
59033,"Surrey--Newton/Surrey--Newton"," 2","Surrey",140,3,76,55,6,280,436
59033,"Surrey--Newton/Surrey--Newton"," 3","Surrey",125,1,18,7,0,151,303
59033,"Surrey--Newton/Surrey--Newton"," 4","Surrey",111,9,89,66,1,276,456
59033,"Surrey--Newton/Surrey--Newton"," 5","Surrey",128,7,65,35,0,235,477
59033,"Surrey--Newton/Surrey--Newton"," 6","Surrey",140,3,76,55,5,279,483
59033,"Surrey--Newton/Surrey--Newton"," 7","Surrey",112,11,59,55,1,238,500
59033,"Surrey--Newton/Surrey--Newton"," 8","Surrey",84,5,53,35,2,179,365
59033,"Surrey--Newton/Surrey--Newton"," 9","Surrey",62,1,11,4,1,79,226
59033,"Surrey--Newton/Surrey--Newton"," 10","Surrey",98,2,30,12,1,143,331
59033,"Surrey--Newton/Surrey--Newton"," 11","Surrey",140,3,45,15,0,203,388
59033,"Surrey--Newton/Surrey--Newton"," 12","Surrey",147,2,55,9,1,214,393
59033,"Surrey--Newton/Surrey--Newton"," 13","Surrey",120,7,73,52,2,254,532
59033,"Surrey--Newton/Surrey--Newton"," 14","Surrey",90,6,58,45,0,199,425
59033,"Surrey--Newton/Surrey--Newton"," 15","Surrey",131,8,56,38,0,233,460
59033,"Surrey--Newton/Surrey--Newton"," 16","Surrey",91,3,33,19,1,147,371
59033,"Surrey--Newton/Surrey--Newton"," 17","Surrey",117,2,40,12,2,173,415
59033,"Surrey--Newton/Surrey--Newton"," 18","Surrey",67,12,59,42,2,182,395
59033,"Surrey--Newton/Surrey--Newton"," 19","Surrey",127,2,40,9,0,178,410
59033,"Surrey--Newton/Surrey--Newton"," 20","Surrey",94,6,22,16,1,139,359
59033,"Surrey--Newton/Surrey--Newton"," 21","Surrey",127,6,46,21,2,202,528
59033,"Surrey--Newton/Surrey--Newton"," 22","Surrey",130,7,49,16,1,203,543
59033,"Surrey--Newton/Surrey--Newton"," 23","Surrey",137,5,52,49,1,244,485
59033,"Surrey--Newton/Surrey--Newton"," 24","Surrey",130,6,92,48,3,279,486
59033,"Surrey--Newton/Surrey--Newton"," 25","Surrey",130,6,76,44,0,256,500
59033,"Surrey--Newton/Surrey--Newton"," 26","Surrey",123,2,45,44,2,216,359
59033,"Surrey--Newton/Surrey--Newton"," 27","Surrey",134,8,40,47,1,230,421
59033,"Surrey--Newton/Surrey--Newton"," 28","Surrey",143,4,63,68,0,278,524
59033,"Surrey--Newton/Surrey--Newton"," 29A","Surrey",97,8,65,48,2,220,534
59033,"Surrey--Newton/Surrey--Newton"," 29B","Surrey",76,7,54,36,0,173,433
59033,"Surrey--Newton/Surrey--Newton"," 30","Surrey",106,1,48,5,3,163,340
59033,"Surrey--Newton/Surrey--Newton"," 31","Surrey",102,4,36,20,5,167,308
59033,"Surrey--Newton/Surrey--Newton"," 32","Surrey",165,6,62,22,1,256,546
59033,"Surrey--Newton/Surrey--Newton"," 33","Surrey",126,1,33,5,2,167,374
59033,"Surrey--Newton/Surrey--Newton"," 34","Surrey",178,6,69,15,4,272,522
59033,"Surrey--Newton/Surrey--Newton"," 35","Surrey",83,0,34,0,5,122,317
59033,"Surrey--Newton/Surrey--Newton"," 36","Surrey",130,7,69,63,2,271,499
59033,"Surrey--Newton/Surrey--Newton"," 37","Surrey",125,10,65,81,0,281,546
59033,"Surrey--Newton/Surrey--Newton"," 38","Surrey",48,8,46,21,1,124,302
59033,"Surrey--Newton/Surrey--Newton"," 39","Surrey",129,4,41,12,0,186,434
59033,"Surrey--Newton/Surrey--Newton"," 40","Surrey",106,0,40,29,3,178,379
59033,"Surrey--Newton/Surrey--Newton"," 41","Surrey",79,2,29,21,0,131,342
59033,"Surrey--Newton/Surrey--Newton"," 42","Surrey",103,1,53,16,0,173,426
59033,"Surrey--Newton/Surrey--Newton"," 43","Surrey",128,2,52,12,3,197,514
59033,"Surrey--Newton/Surrey--Newton"," 44","Surrey",142,2,34,10,2,190,503
59033,"Surrey--Newton/Surrey--Newton"," 45","Surrey",100,1,44,7,1,153,357
59033,"Surrey--Newton/Surrey--Newton"," 46","Surrey",147,4,63,16,5,235,539
59033,"Surrey--Newton/Surrey--Newton"," 47","Surrey",96,3,26,16,0,141,419
