district_code,name_english,province,pop,pop_lag,dwellings,occupied_dwellings,land_area,density
59001,Abbotsford,British Columbia,101814,97076,39859,37878,175.34,580.7
24001,Abitibi--Baie-James--Nunavik--Eeyou,Quebec,87787,85475,36403,32713,771483.97,0.1
24002,Abitibi--Témiscamingue,Quebec,103491,102794,50987,45535,33444.46,3.1
13001,Acadie--Bathurst,New Brunswick,77791,79340,38754,34544,5063.17,15.4
24003,Ahuntsic-Cartierville,Quebec,117447,110473,54073,50908,21.72,5407.1
35001,Ajax,Ontario,119677,109600,38105,37549,67,1786.4
24004,Alfred-Pellan,Quebec,101373,98045,39078,37948,113.98,889.4
35002,Algoma--Manitoulin--Kapuskasing,Ontario,79483,79801,47361,35658,93436.34,0.9
24005,Argenteuil--La Petite-Nation,Quebec,95781,94208,56597,42508,4958.84,19.3
35003,Aurora--Oak Ridges--Richmond Hill,Ontario,115227,106064,36164,35222,94.63,1217.7
10001,Avalon,Newfoundland and Labrador,86494,81590,44009,34766,6457.79,13.4
24006,Avignon--La Mitis--Matane--Matapédia,Quebec,71897,74547,38122,33093,14461.67,5
48001,Banff--Airdrie,Alberta,135762,105442,52453,48064,12358.29,11
35004,Barrie--Innisfil,Ontario,109286,101584,40106,38071,331.08,330.1
35005,Barrie--Springwater--Oro-Medonte,Ontario,100788,97876,41490,39270,966.1,104.3
48002,Battle River--Crowfoot,Alberta,110223,107140,47750,43129,51977.75,2.1
47001,Battlefords--Lloydminster,Saskatchewan,73506,70034,33785,27776,29491.82,2.5
35006,Bay of Quinte,Ontario,109735,109488,50787,46854,1621.34,67.7
35007,Beaches--East York,Ontario,109468,107084,47849,45977,16.64,6579.8
24007,Beauce,Quebec,108746,106386,49103,46173,4103.54,26.5
24020,Beauport--Côte-de-Beaupré--Île d'Orléans--Charlevoix,Quebec,93674,92496,46564,39947,11179.73,8.4
24008,Beauport--Limoilou,Quebec,96029,92944,50918,48440,33.44,2871.5
13002,Beauséjour,New Brunswick,82292,80416,40844,34287,3995.89,20.6
24009,Bécancour--Nicolet--Saurel,Quebec,94588,93779,46417,42919,2749.31,34.4
24010,Bellechasse--Les Etchemins--Lévis,Quebec,114966,112385,55658,51114,3202.78,35.9
24011,Beloeil--Chambly,Quebec,117343,109955,47816,46569,378.26,310.2
24012,Berthier--Maskinongé,Quebec,100371,98590,50785,43965,4150.6,24.2
10002,Bonavista--Burin--Trinity,Newfoundland and Labrador,74116,76685,43601,31779,16806.97,4.4
24015,Bourassa,Quebec,101032,100286,46646,43115,13.56,7450
48003,Bow River,Alberta,115022,103871,41278,38486,24036.47,4.8
35008,Brampton Centre,Ontario,102270,103122,35417,34096,43.7,2340.2
35009,Brampton East,Ontario,122000,99712,28483,27720,84.9,1437
35010,Brampton North,Ontario,118180,111951,34102,32981,33.11,3568.9
35011,Brampton South,Ontario,121188,107364,40416,38907,46.73,2593.6
35012,Brampton West,Ontario,130000,101757,35010,34307,57.92,2244.4
46001,Brandon--Souris,Manitoba,88170,83814,39667,35779,17842.36,4.9
35013,Brantford--Brant,Ontario,130296,132443,53063,51204,828.81,157.2
24016,Brome--Missisquoi,Quebec,103457,98616,58935,46577,2783.46,37.2
24017,Brossard--Saint-Lambert,Quebec,107582,100828,44695,43071,52.82,2036.9
35014,Bruce--Grey--Owen Sound,Ontario,107679,106475,58058,45360,6114.05,17.6
35015,Burlington,Ontario,123180,120569,51547,50638,75.8,1625.1
59002,Burnaby North--Seymour,British Columbia,102486,100632,42033,39914,114.61,894.2
59003,Burnaby South,British Columbia,111973,105037,49234,45958,46.08,2429.9
48004,Calgary Centre,Alberta,119176,108931,70457,62078,49.2,2422.4
48005,Calgary Confederation,Alberta,122023,111785,58507,54364,54.38,2244.1
48006,Calgary Forest Lawn,Alberta,111830,108183,41364,38784,53.02,2109.3
48007,Calgary Heritage,Alberta,112087,108320,44037,43012,66.93,1674.8
48008,Calgary Midnapore,Alberta,121844,111227,45894,44792,83.72,1455.4
48009,Calgary Nose Hill,Alberta,115795,109286,41103,40387,57.99,1996.7
48010,Calgary Rocky Ridge,Alberta,131823,108901,45765,44797,91.17,1446
48011,Calgary Shepard,Alberta,147520,110364,54774,53324,180.7,816.4
48012,Calgary Signal Hill,Alberta,121392,109647,47206,45972,65.91,1841.8
48013,Calgary Skyview,Alberta,135730,110189,40543,39215,122.56,1107.4
35016,Cambridge,Ontario,115463,111693,44432,43335,346.97,332.8
12001,Cape Breton--Canso,Nova Scotia,71913,75247,37977,31246,8752.81,8.2
11001,Cardigan,Prince Edward Island,36615,36005,18829,14748,2551.09,14.4
59004,Cariboo--Prince George,British Columbia,108907,108252,48916,44655,83018.97,1.3
35088,Carleton,Ontario,102918,89522,36478,35684,1177.85,87.4
47004,Carlton Trail--Eagle Creek,Saskatchewan,80662,72607,33355,29847,28381.48,2.8
12002,Central Nova,Nova Scotia,71962,74597,38651,31579,9307.83,7.7
59005,Central Okanagan--Similkameen--Nicola,British Columbia,110293,104398,54649,48591,15984.9,6.9
