district_code,district_name_english,district_name_french,party,candidate_last,candidate_first,candidate_middle
10001,Avalon,Avalon,Liberal,Efford,R. John,
10001,Avalon,Avalon,NDP,Kehoe,Michael,
10001,Avalon,Avalon,Green,Ferguson,Don,C.
10001,Avalon,Avalon,Conservative,Dalton,Rick,
10002,Bonavista--Exploits,Bonavista--Exploits,Liberal,Simms,Scott,
10002,Bonavista--Exploits,Bonavista--Exploits,Independent,Lannon,John,
10002,Bonavista--Exploits,Bonavista--Exploits,Conservative,Barnes,Rex,
10002,Bonavista--Exploits,Bonavista--Exploits,Green,White,Ed Sailor,
10002,Bonavista--Exploits,Bonavista--Exploits,NDP,McLean,Samuel,Robert
10003,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Liberal,Byrne,Gerry,
10003,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,NDP,Pike,Holly,
10003,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Conservative,Downer,Wynanne,
10003,Humber--St. Barbe--Baie Verte,Humber--St. Barbe--Baie Verte,Green,Durant,Steve,
10004,Labrador,Labrador,Liberal,O'Brien,Lawrence,David
10004,Labrador,Labrador,Green,Martino,Lori-Ann,
10004,Labrador,Labrador,NDP,Crann,Shawn,
10004,Labrador,Labrador,Conservative,Strachan,Merrill,
10004,Labrador,Labrador,Independent,Condon,Ern,
10005,Random--Burin--St. George's,Random--Burin--St. George's,Liberal,Matthews,Bill,
10005,Random--Burin--St. George's,Random--Burin--St. George's,Green,Dollimont,Justin,
10005,Random--Burin--St. George's,Random--Burin--St. George's,Conservative,Peckford,Larry,
10005,Random--Burin--St. George's,Random--Burin--St. George's,NDP,McGrath,Des,
10006,St. John's North,St. John's-Nord,Liberal,Noel,Walter,
10006,St. John's North,St. John's-Nord,Conservative,Doyle,Norman,E
10006,St. John's North,St. John's-Nord,Green,Vokey,Scott,
10006,St. John's North,St. John's-Nord,NDP,Piller,Janine,
10007,St. John's South,St. John's-Sud,Liberal,Coady,Siobhan,
10007,St. John's South,St. John's-Sud,Conservative,Hearn,Loyola,
10007,St. John's South,St. John's-Sud,NDP,Norman,Peg,
10007,St. John's South,St. John's-Sud,Green,Willcott,Stephen,Daniel
11001,Cardigan,Cardigan,Liberal,MacAulay,Lawrence,
11001,Cardigan,Cardigan,NDP,MacKinnon,Dave,
11001,Cardigan,Cardigan,Green,Stiles,Jeremy,
11001,Cardigan,Cardigan,Conservative,McQuaid,Peter,
11002,Charlottetown,Charlottetown,Liberal,Murphy,Shawn,
11002,Charlottetown,Charlottetown,NDP,Crane,Dody,
11002,Charlottetown,Charlottetown,Green,McFadden,Will,
11002,Charlottetown,Charlottetown,Christian Heritage,Judson,Baird,
11002,Charlottetown,Charlottetown,Conservative,Peters,Darren,
11003,Egmont,Egmont,Liberal,McGuire,Joe,
11003,Egmont,Egmont,NDP,Russell,Regena,Kaye
11003,Egmont,Egmont,Conservative,Harper,Reg,
11003,Egmont,Egmont,Green,Novaczek,Irené,
11004,Malpeque,Malpeque,Liberal,Easter,Wayne,
11004,Malpeque,Malpeque,Conservative,Crane,Mary,
11004,Malpeque,Malpeque,Green,Labchuk,Sharon,
11004,Malpeque,Malpeque,NDP,Bingham,Ken,
12001,Cape Breton--Canso,Cape Breton--Canso,Liberal,Cuzner,Rodger,
12001,Cape Breton--Canso,Cape Breton--Canso,Green,Gibson,Seumas,
12001,Cape Breton--Canso,Cape Breton--Canso,NDP,Hartery,Shirley,
12001,Cape Breton--Canso,Cape Breton--Canso,Conservative,MacNeil,Kenzie,
12002,Central Nova,Nova-Centre,Liberal,Green,Susan,L.
12002,Central Nova,Nova-Centre,NDP,MacDonald,Alexis,
12002,Central Nova,Nova-Centre,Conservative,MacKay,Peter,G.
12002,Central Nova,Nova-Centre,Green,Mosher,Rebecca,
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Liberal,Savage,Michael,John
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,NDP,MacAlpine-Gillis,Susan,
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,PC,Parsons,Tracy,
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Conservative,MacDonald,Mike,
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Marxist-Leninist,Spurr,Charles,
12003,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,Green,Marshall,Michael,
12004,Halifax,Halifax,Liberal,Fougere,Sheila,
12004,Halifax,Halifax,Conservative,Keefe,Kevin,Leslie
12004,Halifax,Halifax,Green,Oddy,Michael,
12004,Halifax,Halifax,NDP,McDonough,Alexa,
12005,Halifax West,Halifax-Ouest,Liberal,Regan,Geoff,
12005,Halifax West,Halifax-Ouest,Green,Willison,Martin,
12005,Halifax West,Halifax-Ouest,Conservative,MacPhee,Ken,
12005,Halifax West,Halifax-Ouest,NDP,Carr,Bill,
12006,Kings--Hants,Kings--Hants,Liberal,Brison,Scott,
12006,Kings--Hants,Kings--Hants,Independent,Hennigar,Richard,
12006,Kings--Hants,Kings--Hants,Christian Heritage,Hnatiuk,Jim,
12006,Kings--Hants,Kings--Hants,Conservative,Mullan,Bob,
12006,Kings--Hants,Kings--Hants,Green,Stacey,Kevin,
12006,Kings--Hants,Kings--Hants,NDP,Hambling,Skip,
12007,North Nova,Nova-Nord,Liberal,Brushett,Dianne,
12007,North Nova,Nova-Nord,PC,Moors,Jack,
12007,North Nova,Nova-Nord,Conservative,Casey,Bill,
12007,North Nova,Nova-Nord,Green,Richardson,Sheila ,G.
12007,North Nova,Nova-Nord,NDP,Sagar,Margaret,E.
12008,Sackville--Eastern Shore,Sackville--Eastern Shore,Liberal,Stevens,Dale,
