district_code,name_english,last_winner,incumbent_running
10001,Avalon,Liberal,TRUE
10002,Bonavista--Burin--Trinity,Liberal,TRUE
10003,Coast of Bays--Central--Notre Dame,Liberal,TRUE
10004,Labrador,Liberal,TRUE
10005,Long Range Mountains,Liberal,TRUE
10006,St. John's East,Liberal,TRUE
10007,St. John's South--Mount Pearl,Liberal,TRUE
11001,Cardigan,Liberal,TRUE
11002,Charlottetown,Liberal,TRUE
11003,Egmont,Liberal,TRUE
11004,Malpeque,Liberal,TRUE
12001,Cape Breton--Canso,Liberal,FALSE
12002,Central Nova,Liberal,TRUE
12003,Cumberland--Colchester,Liberal,FALSE
12004,Dartmouth--Cole Harbour,Liberal,TRUE
12005,Halifax,Liberal,TRUE
12006,Halifax West,Liberal,TRUE
12007,Kings--Hants,Liberal,TRUE
12008,Sackville--Preston--Chezzetcook,Liberal,TRUE
12009,South Shore--St. Margarets,Liberal,TRUE
12010,Sydney--Victoria,Liberal,FALSE
12011,West Nova,Liberal,FALSE
13001,Acadie--Bathurst,Liberal,TRUE
13002,Beauséjour,Liberal,TRUE
13003,Fredericton,Liberal,TRUE
13004,Fundy Royal,Liberal,TRUE
13005,Madawaska--Restigouche,Liberal,TRUE
13006,Miramichi--Grand Lake,Liberal,TRUE
13007,Moncton--Riverview--Dieppe,Liberal,TRUE
13008,New Brunswick Southwest,Liberal,TRUE
13009,Saint John--Rothesay,Liberal,TRUE
13010,Tobique--Mactaquac,Liberal,FALSE
24001,Abitibi--Baie-James--Nunavik--Eeyou,NDP,FALSE
24002,Abitibi--Témiscamingue,NDP,FALSE
24003,Ahuntsic-Cartierville,Liberal,TRUE
24004,Alfred-Pellan,Liberal,TRUE
24005,Argenteuil--La Petite-Nation,Liberal,TRUE
24006,Avignon--La Mitis--Matane--Matapédia,Liberal,TRUE
24007,Beauce,People's Party,TRUE
24008,Beauport--Limoilou,Conservative,TRUE
24009,Bécancour--Nicolet--Saurel,Bloc,TRUE
24010,Bellechasse--Les Etchemins--Lévis,Conservative,TRUE
24011,Beloeil--Chambly,NDP,TRUE
24012,Berthier--Maskinongé,NDP,TRUE
