date,outcome,prob
2019-04-28,Conservative majority,0.19696
2019-04-28,Liberal majority,0.23756
2019-04-28,NDP majority,4e-5
2019-04-28,Conservative minority,0.33588
2019-04-28,Liberal minority,0.2294
2019-04-28,NDP minority,1.6e-4
2019-04-27,Conservative majority,0.20864
2019-04-27,Liberal majority,0.23512
2019-04-27,NDP majority,NA
2019-04-27,Conservative minority,0.32176
2019-04-27,Liberal minority,0.2344
2019-04-27,NDP minority,8e-5
2019-04-26,Conservative majority,0.20764
2019-04-26,Liberal majority,0.23588
2019-04-26,NDP majority,NA
2019-04-26,Conservative minority,0.32124
2019-04-26,Liberal minority,0.23516
2019-04-26,NDP minority,8e-5
2019-04-25,Conservative majority,0.20484
2019-04-25,Liberal majority,0.23808000000000001
2019-04-25,NDP majority,NA
2019-04-25,Conservative minority,0.32036
2019-04-25,Liberal minority,0.23664
2019-04-25,NDP minority,8e-5
2019-04-24,Conservative majority,0.20484
2019-04-24,Liberal majority,0.23808000000000001
2019-04-24,NDP majority,NA
2019-04-24,Conservative minority,0.32036
2019-04-24,Liberal minority,0.23664
2019-04-24,NDP minority,8e-5
2019-04-23,Conservative majority,0.192
2019-04-23,Liberal majority,0.24384
2019-04-23,NDP majority,4e-5
2019-04-23,Conservative minority,0.3226
2019-04-23,Liberal minority,0.24148
2019-04-23,NDP minority,4e-5
2019-04-22,Conservative majority,0.18872
2019-04-22,Liberal majority,0.2428
2019-04-22,NDP majority,4e-5
2019-04-22,Conservative minority,0.32372
2019-04-22,Liberal minority,0.24468
2019-04-22,NDP minority,4e-5
2019-04-21,Conservative majority,0.1884
2019-04-21,Liberal majority,0.24296
2019-04-21,NDP majority,4e-5
2019-04-21,Conservative minority,0.32408
2019-04-21,Liberal minority,0.24448
2019-04-21,NDP minority,4e-5
2019-04-20,Conservative majority,0.18828
2019-04-20,Liberal majority,0.24332
2019-04-20,NDP majority,4e-5
2019-04-20,Conservative minority,0.32356
2019-04-20,Liberal minority,0.24476
2019-04-20,NDP minority,4e-5
2019-04-19,Conservative majority,0.19104
2019-04-19,Liberal majority,0.25436
2019-04-19,NDP majority,4e-5
2019-04-19,Conservative minority,0.314
2019-04-19,Liberal minority,0.24052
2019-04-19,NDP minority,4e-5
2019-04-18,Conservative majority,0.19084
2019-04-18,Liberal majority,0.255
2019-04-18,NDP majority,4e-5
2019-04-18,Conservative minority,0.3136
2019-04-18,Liberal minority,0.24048
2019-04-18,NDP minority,4e-5
2019-04-17,Conservative majority,0.18988
2019-04-17,Liberal majority,0.25724
2019-04-17,NDP majority,4e-5
2019-04-17,Conservative minority,0.31164
2019-04-17,Liberal minority,0.24116
2019-04-17,NDP minority,4e-5
