date,Party,pct
2016-01-01,Liberal,NA
2016-01-02,Liberal,NA
2016-01-03,Liberal,46.88362962419435
2016-01-04,Liberal,46.860284137941214
2016-01-05,Liberal,46.836039569876675
2016-01-06,Liberal,46.81092113457849
2016-01-07,Liberal,46.78495254593812
2016-01-08,Liberal,46.40631924313273
2016-01-09,Liberal,46.06057077256504
2016-01-10,Liberal,45.99154229994707
2016-01-11,Liberal,45.88149971890372
2016-01-12,Liberal,45.536562224662504
2016-01-13,Liberal,45.61322136701045
2016-01-14,Liberal,45.700461073354916
2016-01-15,Liberal,45.51666759611479
2016-01-16,Liberal,45.37715641374387
2016-01-17,Liberal,45.47460693769734
2016-01-18,Liberal,45.50368267665712
2016-01-19,Liberal,45.52158141532078
2016-01-20,Liberal,45.53432688605413
2016-01-21,Liberal,45.541176417409176
2016-01-22,Liberal,45.545938317749524
2016-01-23,Liberal,45.5492055846767
2016-01-24,Liberal,45.55133532976548
2016-01-25,Liberal,45.552556585920215
2016-01-26,Liberal,45.55600610779108
2016-01-27,Liberal,45.55906117620067
2016-01-28,Liberal,45.56180125277603
2016-01-29,Liberal,45.56428535391723
2016-01-30,Liberal,46.23453987885816
2016-01-31,Liberal,46.880163251545405
2016-02-01,Liberal,47.51216334697454
2016-02-02,Liberal,48.131929699240374
2016-02-03,Liberal,48.740633782206395
2016-02-04,Liberal,48.6716397395078
2016-02-05,Liberal,48.61767694457011
2016-02-06,Liberal,48.56836630033117
2016-02-07,Liberal,48.52286605969034
2016-02-08,Liberal,48.480490261710585
2016-02-09,Liberal,48.440328619935606
2016-02-10,Liberal,48.40248194941144
2016-02-11,Liberal,48.36670750435083
2016-02-12,Liberal,48.332807709162566
2016-02-13,Liberal,48.30061664418395
2016-02-14,Liberal,48.41373338930457
2016-02-15,Liberal,48.516601773460486
2016-02-16,Liberal,48.616417126811584
2016-02-17,Liberal,48.71425945626887
2016-02-18,Liberal,48.81065095862173
2016-02-19,Liberal,48.76216146574479
2016-02-20,Liberal,48.72442868398681
2016-02-21,Liberal,48.69029232174121
2016-02-22,Liberal,48.65868079565532
2016-02-23,Liberal,48.62906449627164
2016-02-24,Liberal,48.60111517098654
2016-02-25,Liberal,48.57460454682273
2016-02-26,Liberal,48.54936230296727
2016-02-27,Liberal,48.52525519172973
2016-02-28,Liberal,48.50217536958827
2016-02-29,Liberal,48.480033306112844
2016-03-01,Liberal,48.45875319540461
2016-03-02,Liberal,48.43826983799619
2016-03-03,Liberal,48.418526437326
2016-03-04,Liberal,48.39947299179026
2016-03-05,Liberal,48.381065089620655
2016-03-06,Liberal,48.3632629850176
2016-03-07,Liberal,48.34603087603951
2016-03-08,Liberal,48.329336330628465
2016-03-09,Liberal,48.36383667742413
2016-03-10,Liberal,48.39976489209205
2016-03-11,Liberal,48.48070327231973
2016-03-12,Liberal,48.023317902860086
2016-03-13,Liberal,47.57710579920102
2016-03-14,Liberal,46.706446003838565
2016-03-15,Liberal,45.86892358309088
2016-03-16,Liberal,44.9997300232366
2016-03-17,Liberal,44.67876900487387
2016-03-18,Liberal,44.35492350274965
2016-03-19,Liberal,44.858012405682366
2016-03-20,Liberal,45.27433809791162
2016-03-21,Liberal,45.22177324680442
2016-03-22,Liberal,45.301584609454615
2016-03-23,Liberal,45.57645443922034
2016-03-24,Liberal,45.37684799135185
2016-03-25,Liberal,45.22687148722082
2016-03-26,Liberal,45.532327746325834
2016-03-27,Liberal,45.696375638591384
2016-03-28,Liberal,45.65845877067785
2016-03-29,Liberal,45.64351519754409
2016-03-30,Liberal,45.63346609141359
2016-03-31,Liberal,45.62392685438358
2016-04-01,Liberal,45.61577102343318
2016-04-02,Liberal,46.40348148251053
2016-04-03,Liberal,46.981893793207476
2016-04-04,Liberal,47.48587758547923
2016-04-05,Liberal,47.94237675202344
2016-04-06,Liberal,48.36242719487066
2016-04-07,Liberal,47.42310065424739
2016-04-08,Liberal,46.8082133525957
2016-04-09,Liberal,46.89497180974314
2016-04-10,Liberal,46.9613291666249
2016-04-11,Liberal,47.041249911962
2016-04-12,Liberal,47.66781291080053
2016-04-13,Liberal,48.174199535064936
2016-04-14,Liberal,48.04753426176573
2016-04-15,Liberal,47.985021730197005
2016-04-16,Liberal,47.94022964389309
2016-04-17,Liberal,47.908320292653315
2016-04-18,Liberal,47.8774339314542
2016-04-19,Liberal,47.025076167053676
2016-04-20,Liberal,46.279046046142966
