date,Party,sd
2016-01-01,Liberal,NA
2016-01-02,Liberal,NA
2016-01-03,Liberal,2.579625893226719
2016-01-04,Liberal,2.3778663793122936
2016-01-05,Liberal,2.1747354472583207
2016-01-06,Liberal,1.970260360379551
2016-01-07,Liberal,1.7644662000622358
2016-01-08,Liberal,1.4565504249781165
2016-01-09,Liberal,1.4449679158926203
2016-01-10,Liberal,1.3501786727113043
2016-01-11,Liberal,1.4682942901049936
2016-01-12,Liberal,1.5347009248842707
2016-01-13,Liberal,1.697218806314697
2016-01-14,Liberal,1.778393127437738
2016-01-15,Liberal,1.9414208598143197
2016-01-16,Liberal,1.8905304181155629
2016-01-17,Liberal,1.8904995352579306
2016-01-18,Liberal,1.8944161305402971
2016-01-19,Liberal,1.897127303881702
2016-01-20,Liberal,1.9005122116238677
2016-01-21,Liberal,1.8576448790620173
2016-01-22,Liberal,1.8142639638827074
2016-01-23,Liberal,1.7703441477935324
2016-01-24,Liberal,1.7258902281498822
2016-01-25,Liberal,1.6809211406701468
2016-01-26,Liberal,1.6820566160049721
2016-01-27,Liberal,1.6834219894227485
2016-01-28,Liberal,1.6849831318454611
2016-01-29,Liberal,1.68671362110442
2016-01-30,Liberal,1.6406984399330948
2016-01-31,Liberal,1.6604668693750706
2016-02-01,Liberal,1.7068249277072343
2016-02-02,Liberal,1.7583209715657298
2016-02-03,Liberal,1.8132394358044928
2016-02-04,Liberal,1.9238777943154441
2016-02-05,Liberal,1.9711372334861081
2016-02-06,Liberal,1.9937905475862052
2016-02-07,Liberal,2.012989855758625
2016-02-08,Liberal,2.0302287774898113
2016-02-09,Liberal,2.040934297367029
2016-02-10,Liberal,2.0505261818455685
2016-02-11,Liberal,2.059305577122383
2016-02-12,Liberal,2.0674742045548276
2016-02-13,Liberal,2.075173216005404
2016-02-14,Liberal,2.0706505598227496
2016-02-15,Liberal,2.0838498199063777
2016-02-16,Liberal,2.097480683928455
2016-02-17,Liberal,2.111157132187928
2016-02-18,Liberal,2.1247764083022362
2016-02-19,Liberal,2.150159394374492
2016-02-20,Liberal,2.157428745577204
2016-02-21,Liberal,2.163931995416278
2016-02-22,Liberal,2.1701030812196027
2016-02-23,Liberal,2.1760845491428356
2016-02-24,Liberal,2.1819428076414757
2016-02-25,Liberal,2.1877152161389106
2016-02-26,Liberal,2.1934255393893274
2016-02-27,Liberal,2.1990902586739116
2016-02-28,Liberal,2.2047215480884885
2016-02-29,Liberal,2.210328833782737
2016-03-01,Liberal,2.215919680526986
2016-03-02,Liberal,2.221500330377765
2016-03-03,Liberal,2.227076048489841
2016-03-04,Liberal,2.2326513556525343
2016-03-05,Liberal,2.2382301909249502
2016-03-06,Liberal,2.2438160292541793
2016-03-07,Liberal,2.2494119690012786
2016-03-08,Liberal,2.2550207986833932
2016-03-09,Liberal,2.2726331693303825
2016-03-10,Liberal,2.291445421714113
2016-03-11,Liberal,2.545258618683076
2016-03-12,Liberal,2.3381980369916118
2016-03-13,Liberal,2.19397484948868
2016-03-14,Liberal,1.9953319052914473
2016-03-15,Liberal,1.9032344628457243
2016-03-16,Liberal,1.5952467433450461
2016-03-17,Liberal,1.7605333597842858
2016-03-18,Liberal,1.8723017956040713
2016-03-19,Liberal,1.8554453262707942
2016-03-20,Liberal,1.8083822869575144
2016-03-21,Liberal,1.8499968505083537
2016-03-22,Liberal,1.8553421179834504
2016-03-23,Liberal,1.6762434097744372
2016-03-24,Liberal,1.7381943797914077
2016-03-25,Liberal,1.7312052950473447
2016-03-26,Liberal,1.6213154693053973
2016-03-27,Liberal,1.5386498115264338
2016-03-28,Liberal,1.6336224544513436
2016-03-29,Liberal,1.66057941321282
2016-03-30,Liberal,1.6805587387487033
2016-03-31,Liberal,1.6609222478057872
2016-04-01,Liberal,1.6385091102094254
2016-04-02,Liberal,1.8956454088902173
2016-04-03,Liberal,2.0475502675661224
2016-04-04,Liberal,2.181469107431794
2016-04-05,Liberal,2.3404905684729664
2016-04-06,Liberal,2.427839375333451
2016-04-07,Liberal,2.2300086931569267
2016-04-08,Liberal,2.170101571943907
2016-04-09,Liberal,2.195141231491129
2016-04-10,Liberal,2.2550155253326585
2016-04-11,Liberal,2.31613329205407
2016-04-12,Liberal,2.4142889336320414
2016-04-13,Liberal,2.4784643626379026
2016-04-14,Liberal,2.4734540149141084
2016-04-15,Liberal,2.4400282059954526
2016-04-16,Liberal,2.475152245188855
