date,Party,sd
2016-01-01,Liberal,NA
2016-01-02,Liberal,NA
2016-01-03,Liberal,2.833617875179942
2016-01-04,Liberal,2.6009232712439827
2016-01-05,Liberal,2.366959602680182
2016-01-06,Liberal,2.1317607608645384
2016-01-07,Liberal,1.8953581315410062
2016-01-08,Liberal,1.5257070553065815
2016-01-09,Liberal,1.4724082625123152
2016-01-10,Liberal,1.3149742360875334
2016-01-11,Liberal,1.267290055213802
2016-01-12,Liberal,1.2086958475449645
2016-01-13,Liberal,1.2828121431733543
2016-01-14,Liberal,1.2864417082572355
2016-01-15,Liberal,1.3950796782307096
2016-01-16,Liberal,1.3947090831967217
2016-01-17,Liberal,1.4058610327782162
2016-01-18,Liberal,1.4168736034285612
2016-01-19,Liberal,1.4254874043139896
2016-01-20,Liberal,1.4335103774475264
2016-01-21,Liberal,1.361300634126588
2016-01-22,Liberal,1.2872620757261117
2016-01-23,Liberal,1.211551810395278
2016-01-24,Liberal,1.1343058538182653
2016-01-25,Liberal,1.0556420604946528
2016-01-26,Liberal,1.0553640716869146
2016-01-27,Liberal,1.0552228284335947
2016-01-28,Liberal,1.055199306420716
2016-01-29,Liberal,1.0552784603652472
2016-01-30,Liberal,1.1556211961917033
2016-01-31,Liberal,1.311623719439186
2016-02-01,Liberal,1.4847357914896144
2016-02-02,Liberal,1.6608254602558237
2016-02-03,Liberal,1.8386507295888879
2016-02-04,Liberal,1.922345151113745
2016-02-05,Liberal,1.95165062961104
2016-02-06,Liberal,1.9648506600192803
2016-02-07,Liberal,1.975899248696777
2016-02-08,Liberal,1.9859147930547814
2016-02-09,Liberal,1.9905022117833755
2016-02-10,Liberal,1.994448584951049
2016-02-11,Liberal,1.9979639518012646
2016-02-12,Liberal,2.001182594049478
2016-02-13,Liberal,2.0041940500278126
2016-02-14,Liberal,1.9619330817062821
2016-02-15,Liberal,1.9533541375203807
2016-02-16,Liberal,1.9477607580462162
2016-02-17,Liberal,1.9437920117731937
2016-02-18,Liberal,1.9409110791099775
2016-02-19,Liberal,1.9839612974671694
2016-02-20,Liberal,1.9938579634169873
2016-02-21,Liberal,2.00121203109275
2016-02-22,Liberal,2.0073236065404467
2016-02-23,Liberal,2.012683581228913
2016-02-24,Liberal,2.0175392436347983
2016-02-25,Liberal,2.022034765000717
2016-02-26,Liberal,2.026262194796153
2016-02-27,Liberal,2.030284107395753
2016-02-28,Liberal,2.0341450484046404
2016-02-29,Liberal,2.0378778737183323
2016-03-01,Liberal,2.041507509291456
2016-03-02,Liberal,2.0450533038562004
2016-03-03,Liberal,2.0485305660823827
2016-03-04,Liberal,2.05195160522964
2016-03-05,Liberal,2.055326456982308
2016-03-06,Liberal,2.0586634027087003
2016-03-07,Liberal,2.0619693491382285
2016-03-08,Liberal,2.0652501113009265
2016-03-09,Liberal,2.0489531702762034
2016-03-10,Liberal,2.033153264238159
2016-03-11,Liberal,2.109468279779965
2016-03-12,Liberal,1.9664399581020784
2016-03-13,Liberal,1.8881243493887816
2016-03-14,Liberal,1.8018371045578896
2016-03-15,Liberal,1.815087254821811
2016-03-16,Liberal,1.7529028861851486
2016-03-17,Liberal,1.9208424957378174
2016-03-18,Liberal,2.0321296953554553
2016-03-19,Liberal,1.9847697661699957
2016-03-20,Liberal,1.9180062019579722
2016-03-21,Liberal,1.992266919599463
2016-03-22,Liberal,2.0211947501313294
2016-03-23,Liberal,1.8357426630036084
2016-03-24,Liberal,1.9152256264790435
2016-03-25,Liberal,1.9235991945034894
2016-03-26,Liberal,1.7797257043778933
2016-03-27,Liberal,1.6742242825597426
2016-03-28,Liberal,1.7779789609705134
2016-03-29,Liberal,1.805357052242736
2016-03-30,Liberal,1.8251978433213611
2016-03-31,Liberal,1.7976759188835771
2016-04-01,Liberal,1.7670760962455834
2016-04-02,Liberal,1.9898564670425007
2016-04-03,Liberal,2.131653991193487
2016-04-04,Liberal,2.2570007889212502
2016-04-05,Liberal,2.4156324828909566
2016-04-06,Liberal,2.5117296199410086
2016-04-07,Liberal,2.346783553948516
2016-04-08,Liberal,2.293627004368143
2016-04-09,Liberal,2.296592171506535
2016-04-10,Liberal,2.3306807499858784
2016-04-11,Liberal,2.3682499245018307
2016-04-12,Liberal,2.441372867428488
2016-04-13,Liberal,2.4824773757210186
2016-04-14,Liberal,2.4818383986019805
2016-04-15,Liberal,2.4573779811547363
2016-04-16,Liberal,2.490454328467724
2016-04-17,Liberal,2.491873734697611
